dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,fiscal_year,total,dept_name,dept_code,abbreviation,dept_major_code
Art Museum,0.0,0.0,0.0,2550000.0,0.0,0.0,0.0,2015,2550000.0,Art Museum,34,,34
Atwater Kent Museum,234719.0,0.0,0.0,50000.0,0.0,0.0,0.0,2015,284719.0,Atwater Kent Museum,18,Atwater Kent,18
Auditing (City Controller),7549687.0,497450.0,25000.0,0.0,0.0,0.0,0.0,2015,8072137.0,City Controller's Office,61,,61
Board of Ethics,894854.0,96000.0,14000.0,0.0,0.0,0.0,0.0,2015,1004854.0,Board of Ethics,45,,45
Board of Revision of Taxes,796660.0,20200.0,15727.0,0.0,0.0,0.0,0.0,2015,832587.0,Board of Revision of Taxes,63,BRT,63
City Commissioners,5387427.0,3490770.0,541617.0,0.0,0.0,0.0,0.0,2015,9419814.0,City Commissioner's Office,73,City Commissioners,73
City Council,13899124.0,2004485.0,410650.0,100.0,0.0,100.0,100.0,2015,16314559.0,City Council,01,,01
City Planning Commission,2252584.0,79592.0,40652.0,0.0,0.0,0.0,0.0,2015,2372828.0,City Planning Commission,51,,51
City Representative,403358.0,561730.0,54000.0,0.0,0.0,0.0,0.0,2015,1019088.0,Office of the City Representative,41,City Rep,41
City Treasurer,780122.0,118444.0,22224.0,0.0,0.0,0.0,0.0,2015,920790.0,Office of the City Treasurer,40,City Treasurer,40
Civil Service Commission,143541.0,29500.0,1094.0,0.0,0.0,52837133.0,0.0,2015,53011268.0,Civil Service Commission,55,,55
Commerce,1889967.0,333481.0,26654.0,500000.0,0.0,0.0,0.0,2015,2750102.0,Office of the Director of Commerce,42,Commerce,42
Commerce-Convention Center Subsidy,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,2015,15000000.0,Commerce: Convention Center Subsidy,42-CC,,42
Commerce-Economic Stimulus,0.0,1294448.0,0.0,0.0,0.0,0.0,0.0,2015,1294448.0,Commerce: Economic Stimulus,42-ES,,42
Director-Legal Services,0.0,41827017.0,0.0,0.0,0.0,0.0,0.0,2015,41827017.0,MDO: Legal Services,10-LS,,10
District Attorney,31762490.0,1816172.0,503621.0,0.0,0.0,0.0,0.0,2015,34082283.0,District Attorney's Office,69,DAO,69
Finance,8936046.0,5130961.0,110774.0,4675000.0,0.0,0.0,0.0,2015,18852781.0,Office of the Director of Finance,35,Finance,35
Finance-Community College Subsidy,0.0,0.0,0.0,26909207.0,0.0,0.0,0.0,2015,26909207.0,Finance: Community College Subsidy,35-CC,,35
Finance-Employee Benefits (1),1817314257.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,1817314257.0,Finance: Employee Benefits,35-EB,Employee Benefits,35
Finance-Hero Scholarship Awards,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,2015,25000.0,Finance: Hero Scholarship Awards,35-HA,,35
Finance-Indemnities,0.0,0.0,0.0,33660000.0,0.0,0.0,0.0,2015,33660000.0,Finance: Indemnities,35-IN,,35
Finance-Refunds,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,2015,250000.0,Finance: Refunds,35-R,,35
Finance-Schoo District Contribution,0.0,0.0,0.0,69110300.0,0.0,0.0,0.0,2015,69110300.0,Finance: School District Contribution,35-SD,,35
Finance-Witness Fees,0.0,171518.0,0.0,0.0,0.0,0.0,0.0,2015,171518.0,Finance: Witness Fees,35-WF,,35
Fire,182883661.0,5100593.0,10613414.0,0.0,0.0,8162000.0,0.0,2015,206759668.0,Fire Department,13,Fire,13
First Judicial District,93202681.0,10656574.0,2391868.0,0.0,0.0,0.0,0.0,2015,106251123.0,First Judicial District,84,FJD,84
Fleet Management,15740507.0,5104396.0,26963211.0,0.0,0.0,0.0,0.0,2015,47808114.0,Office of Fleet Management,25,Fleet,25
Free Library,33919457.0,2752077.0,2002659.0,0.0,0.0,0.0,0.0,2015,38674193.0,The Free Library of Philadelphia,52,Free Library,52
