dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year,dept_name,dept_code,abbreviation,dept_major_code
Art Museum,0.0,0.0,0.0,2550000.0,0.0,0.0,0.0,2550000.0,2017,Art Museum,34,,34
Atwater Kent Museum,244817.0,0.0,0.0,50000.0,0.0,0.0,0.0,294817.0,2017,Atwater Kent Museum,18,Atwater Kent,18
Auditing (City Controller),8009512.0,397450.0,25000.0,0.0,0.0,0.0,0.0,8431962.0,2017,City Controller's Office,61,,61
Board of Ethics,961403.0,96000.0,14000.0,0.0,0.0,0.0,0.0,1071403.0,2017,Board of Ethics,45,,45
Board of Revision of Taxes,819627.0,120200.0,15727.0,0.0,0.0,0.0,0.0,955554.0,2017,Board of Revision of Taxes,63,BRT,63
City Commissioners,5638818.0,3797350.0,603617.0,0.0,0.0,0.0,0.0,10039785.0,2017,City Commissioner's Office,73,City Commissioners,73
City Council,14309858.0,1904485.0,510650.0,100.0,0.0,100.0,100.0,16725293.0,2017,City Council,01,,01
City Planning Commission,2369484.0,129592.0,40652.0,0.0,0.0,0.0,0.0,2539728.0,2017,City Planning Commission,51,,51
City Representative,589381.0,481730.0,54000.0,0.0,0.0,0.0,0.0,1125111.0,2017,Office of the City Representative,41,City Rep,41
City Treasurer,1040058.0,118444.0,22224.0,0.0,0.0,0.0,0.0,1180726.0,2017,Office of the City Treasurer,40,City Treasurer,40
Civil Service Commission,148882.0,29500.0,1094.0,0.0,0.0,0.0,10000000.0,10179476.0,2017,Civil Service Commission,55,,55
Commerce,2107565.0,2175481.0,26654.0,500000.0,0.0,0.0,0.0,4809700.0,2017,Office of the Director of Commerce,42,Commerce,42
Commerce-Convention Center Subsidy,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,15000000.0,2017,Commerce: Convention Center Subsidy,42-CC,,42
Commerce-Economic Stimulus,0.0,3354448.0,0.0,0.0,0.0,0.0,0.0,3354448.0,2017,Commerce: Economic Stimulus,42-ES,,42
District Attorney,33800485.0,2597257.0,546328.0,0.0,0.0,0.0,0.0,36944070.0,2017,District Attorney's Office,69,DAO,69
Finance,6911556.0,3029912.0,103109.0,2935000.0,0.0,0.0,0.0,12979577.0,2017,Office of the Director of Finance,35,Finance,35
Finance-Community College Subsidy,0.0,0.0,0.0,29909207.0,0.0,0.0,0.0,29909207.0,2017,Finance: Community College Subsidy,35-CC,,35
Finance-Employee Benefits,1229793961.0,0.0,0.0,0.0,0.0,0.0,0.0,1229793961.0,2017,Finance: Employee Benefits,35-EB,Employee Benefits,35
Finance-Hero Scholarship Awards,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,25000.0,2017,Finance: Hero Scholarship Awards,35-HA,,35
Finance-Indemnities,0.0,0.0,0.0,40675000.0,0.0,0.0,0.0,40675000.0,2017,Finance: Indemnities,35-IN,,35
Finance-Refunds,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,250000.0,2017,Finance: Refunds,35-R,,35
Finance-School District Contribution,0.0,0.0,0.0,104263617.0,0.0,0.0,0.0,104263617.0,2017,Finance: School District Contribution,35-SD,,35
Finance-Witness Fees,0.0,171518.0,0.0,0.0,0.0,0.0,0.0,171518.0,2017,Finance: Witness Fees,35-WF,,35
Fire,201369162.0,5375153.0,7421014.0,0.0,0.0,7647000.0,0.0,221812329.0,2017,Fire Department,13,Fire,13
First Judicial District,97254698.0,10656574.0,2391868.0,0.0,0.0,0.0,0.0,110303140.0,2017,First Judicial District,84,FJD,84
Fleet Management,16613280.0,5104396.0,26463211.0,0.0,0.0,0.0,0.0,48180887.0,2017,Office of Fleet Management,25,Fleet,25
Fleet Management -Vehicle Lease/Purch.,0.0,4500000.0,8465000.0,0.0,0.0,0.0,0.0,12965000.0,2017,Fleet: Vehicle Lease/Purchases,25-V,,25
Free Library,35454254.0,2324077.0,2302659.0,0.0,0.0,0.0,0.0,40080990.0,2017,The Free Library of Philadelphia,52,Free Library,52
Historical Commission,429943.0,980.0,809.0,0.0,0.0,0.0,0.0,431732.0,2017,Historical Commission,32,,32
Human Relations Commission,2127519.0,34657.0,28031.0,0.0,0.0,0.0,0.0,2190207.0,2017,Commission on Human Relations,54,Human Relations,54
Human Services,23454344.0,78896204.0,868952.0,0.0,0.0,0.0,0.0,103219500.0,2017,Department of Human Services,22,DHS,22
L&I-Board of Building Standards,75419.0,0.0,0.0,0.0,0.0,0.0,0.0,75419.0,2017,L&I: Board of Building and Standards,29,,29
L&I-Board of L&I Review,159201.0,10436.0,0.0,0.0,0.0,0.0,0.0,169637.0,2017,L&I: Board of Review,27,,27
L&I-Zoning Board of Adjustments,337749.0,34541.0,0.0,0.0,0.0,0.0,0.0,372290.0,2017,Zoning Board of Adjustments,30,ZBA,30
Labor Relations,1082792.0,5277.0,8160.0,0.0,0.0,0.0,0.0,1096229.0,2017,Labor,03,,03
Law,7934005.0,8410034.0,248676.0,0.0,0.0,0.0,0.0,16592715.0,2017,Law Department,44,Law,44
Licenses & Inspections,21272576.0,11053079.0,1286464.0,0.0,0.0,0.0,0.0,33612119.0,2017,Department of Licenses and Inspections,26,L&I,26
Managing Director,19115427.0,19129401.0,803779.0,0.0,0.0,0.0,0.0,39048607.0,2017,Managing Director's Office,10,MDO,10
Managing Director-Legal Services,0.0,45793831.0,0.0,0.0,0.0,0.0,0.0,45793831.0,2017,MDO: Legal Services,10-LS,,10
Mayor - Office of Community Schools & Pre-K,1704925.0,25115000.0,400000.0,250000.0,0.0,0.0,0.0,27469925.0,2017,Office of Children and Families,66,OCF,66
Mayor - Office of the Chief Administrative Officer,3962776.0,1637049.0,16665.0,0.0,0.0,0.0,0.0,5616490.0,2017,Office of the Chief Administrative Officer,65,CAO,65
Mayor - Planning and Development,416000.0,40000.0,60000.0,500000.0,0.0,0.0,0.0,1016000.0,2017,Mayor's Office of Planning and Development,62,,62
