dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year,dept_name,dept_code,abbreviation,dept_major_code
Art Museum,0.0,0.0,0.0,2040000.0,0.0,0.0,0.0,2040000.0,2021,Art Museum,34,,34
Atwater Kent Museum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,Atwater Kent Museum,18,Atwater Kent,18
Auditing (City Controller),9045839.0,497450.0,25000.0,0.0,0.0,0.0,0.0,9568289.0,2021,City Controller's Office,61,,61
Board of Ethics,915196.0,52500.0,7500.0,0.0,0.0,0.0,0.0,975196.0,2021,Board of Ethics,45,,45
Board of Revision of Taxes,987587.0,37900.0,17727.0,0.0,0.0,0.0,0.0,1043214.0,2021,Board of Revision of Taxes,63,BRT,63
City Commissioners,6714174.0,5011061.0,572617.0,0.0,0.0,0.0,0.0,12297852.0,2021,City Commissioner's Office,73,City Commissioners,73
City Council,14877138.0,1976885.0,428650.0,25000100.0,0.0,100.0,100.0,42282973.0,2021,City Council,01,,01
City Representative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,Office of the City Representative,41,City Rep,41
City Treasurer,1368170.0,193544.0,22224.0,0.0,0.0,0.0,0.0,1583938.0,2021,Office of the City Treasurer,40,City Treasurer,40
Civil Service Commission,177148.0,29500.0,1094.0,0.0,0.0,0.0,0.0,207742.0,2021,Civil Service Commission,55,,55
Commerce,2394341.0,1216153.0,26654.0,0.0,0.0,0.0,0.0,3637148.0,2021,Office of the Director of Commerce,42,Commerce,42
Commerce-Convention Center Subsidy,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,15000000.0,2021,Commerce: Convention Center Subsidy,42-CC,,42
Commerce-Economic Stimulus,0.0,3015000.0,0.0,0.0,0.0,0.0,0.0,3015000.0,2021,Commerce: Economic Stimulus,42-ES,,42
District Attorney,30262904.0,2693738.0,420017.0,0.0,0.0,0.0,0.0,33376659.0,2021,District Attorney's Office,69,DAO,69
Finance,10312396.0,2626660.0,35616.0,1250000.0,0.0,24500000.0,25000000.0,63724672.0,2021,Office of the Director of Finance,35,Finance,35
Finance-Budget Stabilization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,Finance: Budget Stabilization Reserve,35-BSR,,35
Finance-Community College Subsidy,0.0,0.0,0.0,44110159.0,0.0,0.0,0.0,44110159.0,2021,Finance: Community College Subsidy,35-CC,,35
Finance-Employee Benefits,1287159003.0,0.0,0.0,0.0,0.0,0.0,0.0,1287159003.0,2021,Finance: Employee Benefits,35-EB,Employee Benefits,35
Finance-Hero Scholarship Awards,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,25000.0,2021,Finance: Hero Scholarship Awards,35-HA,,35
Finance-Indemnities,0.0,0.0,0.0,49246000.0,0.0,0.0,0.0,49246000.0,2021,Finance: Indemnities,35-IN,,35
Finance-Refunds,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,250000.0,2021,Finance: Refunds,35-R,,35
Finance-Reg #32,2650000.0,0.0,0.0,0.0,0.0,0.0,0.0,2650000.0,2021,Finance: Reg #32,35-R32,,35
Finance-School District Contribution,0.0,0.0,0.0,252578558.0,0.0,0.0,0.0,252578558.0,2021,Finance: School District Contribution,35-SD,,35
Finance-Witness Fees,0.0,171518.0,0.0,0.0,0.0,0.0,0.0,171518.0,2021,Finance: Witness Fees,35-WF,,35
