dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,fiscal_year,total,dept_name,dept_code,abbreviation,dept_major_code
Art Museum,0.0,0.0,0.0,2300000.0,0.0,0.0,0.0,2012,2300000.0,Art Museum,34,,34
Atwater Kent Museum,218630.0,0.0,0.0,50000.0,0.0,0.0,0.0,2012,268630.0,Atwater Kent Museum,18,Atwater Kent,18
Auditing,7033602.0,522450.0,0.0,0.0,0.0,0.0,0.0,2012,7556052.0,City Controller's Office,61,,61
Board of Building Standards,71542.0,0.0,59.0,0.0,0.0,0.0,0.0,2012,71601.0,L&I: Board of Building and Standards,29,,29
Board of Ethics,700000.0,96000.0,14000.0,0.0,0.0,0.0,0.0,2012,810000.0,Board of Ethics,45,,45
Board of L.&I. Review,140645.0,15076.0,0.0,0.0,0.0,0.0,0.0,2012,155721.0,L&I: Board of Review,27,,27
Board of Revision of Taxes,687073.0,20200.0,15727.0,0.0,0.0,0.0,0.0,2012,723000.0,Board of Revision of Taxes,63,BRT,63
City Commissioners,5511210.0,3051350.0,541617.0,0.0,0.0,0.0,0.0,2012,9104177.0,City Commissioner's Office,73,City Commissioners,73
City Council,12283837.0,1905600.0,859535.0,100.0,0.0,100.0,100.0,2012,15049272.0,City Council,01,,01
City Planning,2136956.0,84592.0,35652.0,0.0,0.0,0.0,0.0,2012,2257200.0,City Planning Commission,51,,51
City Representative,338082.0,520584.0,49100.0,0.0,0.0,0.0,0.0,2012,907766.0,Office of the City Representative,41,City Rep,41
City Treasurer,745937.0,136538.0,22224.0,0.0,0.0,0.0,0.0,2012,904699.0,Office of the City Treasurer,40,City Treasurer,40
Civil Service,139309.0,29500.0,1500.0,0.0,0.0,0.0,0.0,2012,170309.0,Civil Service Commission,55,,55
Clerk of Quarter Sessions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,0.0,Clerk of Quarter Sessions,64,,64
Commerce,1761678.0,486481.0,26654.0,0.0,0.0,0.0,0.0,2012,2274813.0,Office of the Director of Commerce,42,Commerce,42
Commerce-Economic Stimulus,0.0,1372143.0,0.0,0.0,0.0,0.0,0.0,2012,1372143.0,Commerce: Economic Stimulus,42-ES,,42
Community College Subsidy,0.0,0.0,0.0,25409207.0,0.0,0.0,0.0,2012,25409207.0,Finance: Community College Subsidy,35-CC,,35
Convention Center Subsidy,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,2012,15000000.0,Commerce: Convention Center Subsidy,42-CC,,42
Director of Finance,7593274.0,4255961.0,104525.0,750000.0,0.0,0.0,0.0,2012,12703760.0,Office of the Director of Finance,35,Finance,35
District Attorney,28907203.0,1645672.0,502121.0,0.0,0.0,0.0,0.0,2012,31054996.0,District Attorney's Office,69,DAO,69
