dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,fiscal_year,total,dept_name,dept_code,abbreviation,dept_major_code
Art Museum,0.0,0.0,0.0,3000000.0,0.0,0.0,0.0,2009,3000000.0,Art Museum,34,,34
Atwater Kent Museum,264000.0,6000.0,0.0,50000.0,0.0,0.0,0.0,2009,320000.0,Atwater Kent Museum,18,Atwater Kent,18
Auditing,7565685.0,596944.0,92619.0,0.0,0.0,0.0,0.0,2009,8255248.0,City Controller's Office,61,,61
Board of Building Standards,112733.0,0.0,59.0,0.0,0.0,0.0,0.0,2009,112792.0,L&I: Board of Building and Standards,29,,29
Board of Ethics,835000.0,125000.0,40000.0,0.0,0.0,0.0,0.0,2009,1000000.0,Board of Ethics,45,,45
Board of L.&I. Review,198108.0,23722.0,628.0,0.0,0.0,0.0,0.0,2009,222458.0,L&I: Board of Review,27,,27
Board of Revision of Taxes,8128256.0,338186.0,144702.0,0.0,0.0,0.0,0.0,2009,8611144.0,Board of Revision of Taxes,63,BRT,63
Camp William Penn,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,2009,100000.0,Camp William Penn,19,,19
Capital Program Office,2533997.0,323455.0,89184.0,0.0,0.0,572000.0,0.0,2009,3518636.0,Capital Program Office,07,,07
City Commissioners,5345789.0,3048011.0,601797.0,0.0,0.0,0.0,0.0,2009,8995597.0,City Commissioner's Office,73,City Commissioners,73
City Council,13283838.0,3688820.0,859535.0,100.0,0.0,100.0,100.0,2009,17832493.0,City Council,01,,01
City Planning,3152503.0,114813.0,60738.0,0.0,0.0,0.0,0.0,2009,3328054.0,City Planning Commission,51,,51
City Representative/Commerce,1717912.0,1544347.0,93895.0,4200000.0,0.0,0.0,0.0,2009,7556154.0,Office of the City Representative,41,City Rep,41
City Treasurer,672992.0,73088.0,24224.0,0.0,0.0,0.0,0.0,2009,770304.0,Office of the City Treasurer,40,City Treasurer,40
Civil Service,142647.0,24500.0,2062.0,0.0,0.0,0.0,0.0,2009,169209.0,Civil Service Commission,55,,55
Clerk of Quarter Sessions,4930938.0,28734.0,57342.0,0.0,0.0,0.0,0.0,2009,5017014.0,Clerk of Quarter Sessions,64,,64
Commerce-Economic Stimulus,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,2009,2000000.0,Commerce: Economic Stimulus,42-ES,,42
Community College Subsidy,0.0,0.0,0.0,28467924.0,0.0,0.0,0.0,2009,28467924.0,Finance: Community College Subsidy,35-CC,,35
Convention Center Subsidy,0.0,0.0,0.0,0.0,0.0,0.0,39954522.0,2009,39954522.0,Commerce: Convention Center Subsidy,42-CC,,42
Debt Service (Sinking Fund),0.0,91421364.0,0.0,0.0,111146240.0,0.0,0.0,2009,202567604.0,Sinking Fund Commission,37,Sinking Fund,37
Director of Finance,9530137.0,8042131.0,575555.0,0.0,0.0,3000000.0,0.0,2009,21147823.0,Office of the Director of Finance,35,Finance,35
District Attorney,29604687.0,1828524.0,554162.0,0.0,0.0,0.0,0.0,2009,31987373.0,District Attorney's Office,69,DAO,69
Fairmount Park Commission,10006560.0,3566359.0,1117621.0,1050000.0,0.0,0.0,0.0,2009,15740540.0,Fairmount Park Commission,17,,17
Finance-Contribution to School District,0.0,0.0,0.0,38490000.0,0.0,0.0,0.0,2009,38490000.0,Finance: School District Contribution,35-SD,,35
Finance-Employee Benefits,1004944233.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,1004944233.0,Finance: Employee Benefits,35-EB,Employee Benefits,35
Finance-PGW  Reimbursement,0.0,0.0,0.0,18000000.0,0.0,0.0,0.0,2009,18000000.0,Finance: PGW Reimbursement,35-PGW,,35
Fire,172281307.0,6528843.0,6593415.0,0.0,0.0,7290400.0,0.0,2009,192693965.0,Fire Department,13,Fire,13
First Judicial District,88815623.0,23216226.0,2520354.0,0.0,0.0,0.0,0.0,2009,114552203.0,First Judicial District,84,FJD,84
Fleet Management,18687192.0,4208252.0,27187980.0,0.0,0.0,0.0,0.0,2009,50083424.0,Office of Fleet Management,25,Fleet,25
Fleet Management -Vehicle Purch.,0.0,0.0,13100000.0,0.0,0.0,0.0,0.0,2009,13100000.0,Fleet: Vehicle Lease/Purchases,25-V,,25
Free Library,34682920.0,1744502.0,3817643.0,0.0,0.0,0.0,0.0,2009,40245065.0,The Free Library of Philadelphia,52,Free Library,52
Hero Scholarship Awards,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,2009,25000.0,Finance: Hero Scholarship Awards,35-HA,,35
Historical Commission,330495.0,71084.0,6041.0,0.0,0.0,0.0,0.0,2009,407620.0,Historical Commission,32,,32
Human Relations,2119686.0,47131.0,19274.0,0.0,0.0,0.0,0.0,2009,2186091.0,Commission on Human Relations,54,Human Relations,54
Human Services,102382665.0,510428310.0,3497961.0,0.0,0.0,0.0,0.0,2009,616308936.0,Department of Human Services,22,DHS,22
Indemnities,0.0,0.0,0.0,25613915.0,0.0,0.0,0.0,2009,25613915.0,Finance: Indemnities,35-IN,,35
Labor Relations,511436.0,21414.0,16500.0,0.0,0.0,0.0,0.0,2009,549350.0,Labor,03,,03
Law,11415383.0,4152911.0,280024.0,0.0,0.0,0.0,0.0,2009,15848318.0,Law Department,44,Law,44
Legal Services,0.0,37506660.0,0.0,0.0,0.0,0.0,0.0,2009,37506660.0,MDO: Legal Services,10-LS,,10
Licenses & Inspection,17204314.0,1846856.0,584498.0,0.0,0.0,0.0,0.0,2009,19635668.0,Department of Licenses and Inspections,26,L&I,26
Licenses & Inspection-Demolition,0.0,8000000.0,0.0,0.0,0.0,0.0,0.0,2009,8000000.0,L&I: Demolition,26-D,,26
Managing Director,10643679.0,10292979.0,1017256.0,0.0,0.0,0.0,0.0,2009,21953914.0,Managing Director's Office,10,MDO,10
Managing Director - Office of Technology,9252172.0,28557792.0,337634.0,0.0,0.0,0.0,0.0,2009,38147598.0,Office of Innovation and Technology,04,OIT,04
Mayor - Mural Arts Program,660945.0,339055.0,0.0,0.0,0.0,0.0,0.0,2009,1000000.0,Mural Arts Program,50,Mural Arts,50
Mayor - Scholarships,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,2009,200000.0,Mayor's Office: Scholarships,05-S,,05
Mayor's Office,6192305.0,828546.0,76695.0,4221.0,0.0,0.0,0.0,2009,7101767.0,Mayor's Office,05,Mayor,05
Mayor's Office of Transportation,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,500000.0,Mayor's Office of Transportation and Utilities,46,,46
Office of Behavioral Health / Mental Retardation Services,2144414.0,12117538.0,0.0,0.0,0.0,0.0,0.0,2009,14261952.0,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,15
Office of Housing and Comm. Dev.,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,2009,5000000.0,Office of Housing and Community Development,06,,06
Office of Supportive Housing,6601227.0,33201779.0,372029.0,35050.0,0.0,0.0,0.0,2009,40210085.0,Office of Homeless Services,24,OHS,24
Personnel,3954669.0,722530.0,55609.0,0.0,0.0,0.0,0.0,2009,4732808.0,Office of Human Resources,56,OHR,56
Police,508468005.0,7412029.0,8121715.0,0.0,0.0,0.0,0.0,2009,524001749.0,Police Department,11,Police,11
