dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,fiscal_year,total,abbreviation,dept_code,dept_name,dept_major_code
Art Museum,0.0,0.0,0.0,2250000.0,0.0,0.0,0.0,2007,2250000.0,,34,Art Museum,34
Atwater Kent Museum,264000.0,6000.0,0.0,0.0,0.0,0.0,0.0,2007,270000.0,Atwater Kent,18,Atwater Kent Museum,18
Auditing,7460782.0,596944.0,92619.0,0.0,0.0,0.0,0.0,2007,8150345.0,,61,City Controller's Office,61
Board of Building Standards,108397.0,527.0,628.0,0.0,0.0,0.0,0.0,2007,109552.0,,29,L&I: Board of Building and Standards,29
Board of L.&I. Review,190488.0,28162.0,628.0,0.0,0.0,0.0,0.0,2007,219278.0,,27,L&I: Board of Review,27
Board of Revision of Taxes,7785852.0,338186.0,144702.0,0.0,0.0,1325499.0,0.0,2007,9594239.0,BRT,63,Board of Revision of Taxes,63
Camp William Penn,142506.0,96087.0,43835.0,612.0,0.0,0.0,0.0,2007,283040.0,,19,Camp William Penn,19
Capital Program Office,907051.0,349562.0,89184.0,0.0,0.0,572000.0,0.0,2007,1917797.0,,07,Capital Program Office,07
City Commissioners,4737354.0,2786964.0,601797.0,0.0,0.0,0.0,0.0,2007,8126115.0,City Commissioners,73,City Commissioner's Office,73
City Council,11541891.0,2388820.0,859535.0,0.0,0.0,0.0,0.0,2007,14790246.0,,01,City Council,01
City Planning,3178157.0,114813.0,60738.0,0.0,0.0,0.0,0.0,2007,3353708.0,,51,City Planning Commission,51
City Representative/Commerce,1526137.0,6298192.0,93895.0,2200000.0,0.0,0.0,0.0,2007,10118224.0,City Rep,41,Office of the City Representative,41
City Treasurer,719339.0,73088.0,24224.0,0.0,0.0,0.0,0.0,2007,816651.0,City Treasurer,40,Office of the City Treasurer,40
Civil Service,137161.0,24500.0,2062.0,0.0,0.0,0.0,0.0,2007,163723.0,,55,Civil Service Commission,55
Clerk of Quarter Sessions,4719217.0,28734.0,57342.0,0.0,0.0,0.0,0.0,2007,4805293.0,,64,Clerk of Quarter Sessions,64
Commerce-Economic Stimulus,0.0,6000000.0,0.0,0.0,0.0,0.0,0.0,2007,6000000.0,,42ES,Commerce: Economic Stimulus,42
Community College Subsidy,0.0,0.0,0.0,23467924.0,0.0,0.0,0.0,2007,23467924.0,,35CC,Finance: Community College Subsidy,35
Convention Center Subsidy,0.0,0.0,0.0,0.0,0.0,0.0,31199538.0,2007,31199538.0,,42CC,Commerce: Convention Center Subsidy,42
Debt Service (Sinking Fund),0.0,94107024.0,0.0,0.0,105214343.0,0.0,0.0,2007,199321367.0,Sinking Fund,37,Sinking Fund Commission,37
Director of Finance,9276420.0,9406345.0,575555.0,0.0,0.0,375900.0,0.0,2007,19634220.0,Finance,35,Office of the Director of Finance,35
District Attorney,27764122.0,1739124.0,854162.0,0.0,0.0,288627.0,0.0,2007,30646035.0,DAO,69,District Attorney's Office,69
Fairmount Park Commission,8671102.0,2692509.0,668621.0,850000.0,0.0,0.0,0.0,2007,12882232.0,,17,Fairmount Park Commission,17
Finance-Contribution to School District,0.0,0.0,0.0,35000000.0,0.0,0.0,0.0,2007,35000000.0,,35SD,Finance: School District Contribution,35
Finance-Employee Benefits,864479338.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,864479338.0,,35EB,Finance: Employee Benefits,35
Finance-PGW  Reimbursement,0.0,0.0,0.0,18000000.0,0.0,0.0,0.0,2007,18000000.0,,35PGW,Finance: PGW Reimbursement,35
Fire,162127648.0,5546083.0,5777415.0,0.0,0.0,7010000.0,0.0,2007,180461146.0,Fire,13,Fire Department,13
First Judicial District,84839061.0,23783226.0,2520354.0,0.0,0.0,0.0,0.0,2007,111142641.0,FJD,84,First Judicial District,84
Fleet Management,16666856.0,4219000.0,21687980.0,0.0,0.0,0.0,0.0,2007,42573836.0,Fleet,25,Office of Fleet Management,25
Fleet Management -Vehicle Purch.,0.0,0.0,12600000.0,0.0,0.0,0.0,0.0,2007,12600000.0,,25V,Fleet: Vehicle Lease/Purchases,25
Free Library,34137564.0,1352202.0,3958802.0,0.0,0.0,0.0,0.0,2007,39448568.0,Free Library,52,The Free Library of Philadelphia,52
Hero Scholarship Awards,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,2007,25000.0,,35HA,Finance: Hero Scholarship Awards,35
Historical Commission,294618.0,21084.0,6041.0,0.0,0.0,0.0,0.0,2007,321743.0,,32,Historical Commission,32
Human Relations,2090420.0,47131.0,19274.0,0.0,0.0,0.0,0.0,2007,2156825.0,Human Relations,54,Commission on Human Relations,54
Human Services,88690277.0,516276600.0,4482961.0,29326.0,0.0,0.0,0.0,2007,609479164.0,DHS,22,Department of Human Services,22
Indemnities,0.0,0.0,0.0,25113915.0,0.0,0.0,0.0,2007,25113915.0,,35IN,Finance: Indemnities,35
Labor Relations,548351.0,21414.0,16500.0,0.0,0.0,0.0,0.0,2007,586265.0,,03,Labor,03
Law,10374648.0,4496152.0,285024.0,0.0,0.0,0.0,0.0,2007,15155824.0,Law,44,Law Department,44
Legal Services,0.0,34268833.0,0.0,0.0,0.0,0.0,0.0,2007,34268833.0,,10LS,MDO: Legal Services,10
Licenses & Inspection,16658569.0,3506034.0,623198.0,0.0,0.0,0.0,0.0,2007,20787801.0,L&I,26,Department of Licenses and Inspections,26
Licenses & Inspection-Demolition,0.0,8000000.0,0.0,0.0,0.0,0.0,0.0,2007,8000000.0,,26D,L&I: Demolition,26
Managing Director,7428222.0,4808160.0,767256.0,0.0,0.0,0.0,0.0,2007,13003638.0,MDO,10,Managing Director's Office,10
Mayor - Mural Arts Program,509253.0,347493.0,0.0,0.0,0.0,0.0,0.0,2007,856746.0,Mural Arts,50,Mural Arts Program,50
Mayor - Scholarships,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,2007,200000.0,,05S,Mayor's Office: Scholarships,05
Mayor's Office,4020129.0,778546.0,126208.0,4221.0,0.0,0.0,0.0,2007,4929104.0,Mayor,05,Mayor's Office,05
Mayor's Office of Comm. Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,0.0,CEO,08,Mayor's Office of Community Empowerment and Opportunity,08
Mayor's Office of Information Svcs.,7428278.0,5172955.0,187634.0,0.0,0.0,287791.0,0.0,2007,13076658.0,OIT,04,Office of Innovation and Technology,04
Office of Behavioral Health / Mental Retardation Services,2345902.0,12128834.0,0.0,0.0,0.0,0.0,0.0,2007,14474736.0,DBH/IDS,15,Behavioral Health and Intellectual Disability Services,15
Office of Emerg. Shelter Services,6657211.0,22357175.0,431569.0,35050.0,0.0,0.0,0.0,2007,29481005.0,OHS,24,Office of Homeless Services,24
Office of Housing and Comm. Dev.,244025.0,1143231.0,0.0,0.0,0.0,0.0,0.0,2007,1387256.0,,06,Office of Housing and Community Development,06
