dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,fiscal_year,class_900,total,dept_name,dept_code,abbreviation,dept_major_code
Art Museum,0.0,0.0,0.0,2300000.0,0.0,0.0,2011,0,2300000.0,Art Museum,34,,34
Atwater Kent Museum,198630.0,0.0,0.0,50000.0,0.0,0.0,2011,0,248630.0,Atwater Kent Museum,18,Atwater Kent,18
Auditing,6889116.0,402450.0,0.0,0.0,0.0,0.0,2011,0,7291566.0,City Controller's Office,61,,61
Board of Building Standards,71542.0,0.0,59.0,0.0,0.0,0.0,2011,0,71601.0,L&I: Board of Building and Standards,29,,29
Board of Ethics,681100.0,110400.0,18500.0,0.0,0.0,0.0,2011,0,810000.0,Board of Ethics,45,,45
Board of L.&I. Review,140645.0,15076.0,0.0,0.0,0.0,0.0,2011,0,155721.0,L&I: Board of Review,27,,27
Board of Revision of Taxes,6135579.0,264048.0,102932.0,0.0,0.0,0.0,2011,0,6502559.0,Board of Revision of Taxes,63,BRT,63
Capital Program Office,0.0,0.0,0.0,0.0,0.0,0.0,2011,0,0.0,Capital Program Office,07,,07
City Commissioners,5511210.0,2741350.0,541617.0,0.0,0.0,0.0,2011,0,8794177.0,City Commissioner's Office,73,City Commissioners,73
City Council,12283837.0,1905600.0,859535.0,0.0,0.0,0.0,2011,0,15048972.0,City Council,01,,01
City Planning,2425995.0,72491.0,52763.0,0.0,0.0,0.0,2011,0,2551249.0,City Planning Commission,51,,51
City Representative,338082.0,554409.0,53100.0,0.0,0.0,0.0,2011,0,945591.0,Office of the City Representative,41,City Rep,41
City Treasurer,745937.0,136538.0,22224.0,0.0,0.0,0.0,2011,0,904699.0,Office of the City Treasurer,40,City Treasurer,40
Civil Service,139309.0,29500.0,1500.0,0.0,0.0,0.0,2011,0,170309.0,Civil Service Commission,55,,55
Clerk of Quarter Sessions,4471844.0,25861.0,51608.0,0.0,0.0,0.0,2011,0,4549313.0,Clerk of Quarter Sessions,64,,64
Commerce,1817402.0,345109.0,27765.0,0.0,0.0,0.0,2011,0,2190276.0,Office of the Director of Commerce,42,Commerce,42
Commerce-Economic Stimulus,0.0,1452386.0,0.0,0.0,0.0,0.0,2011,0,1452386.0,Commerce: Economic Stimulus,42-ES,,42
Community College Subsidy,0.0,0.0,0.0,26467924.0,0.0,0.0,2011,0,26467924.0,Finance: Community College Subsidy,35-CC,,35
Convention Center Subsidy,0.0,15000000.0,0.0,0.0,0.0,0.0,2011,0,15000000.0,Commerce: Convention Center Subsidy,42-CC,,42
Debt Service (Sinking Fund),0.0,89640843.0,0.0,0.0,121394847.0,0.0,2011,0,211035690.0,Sinking Fund Commission,37,Sinking Fund,37
Director of Finance,7799767.0,4258961.0,112914.0,0.0,0.0,0.0,2011,0,12171642.0,Office of the Director of Finance,35,Finance,35
District Attorney,26914328.0,1645672.0,502121.0,0.0,0.0,0.0,2011,0,29062121.0,District Attorney's Office,69,DAO,69
Division of Technology,17514280.0,42948900.0,6968852.0,0.0,0.0,0.0,2011,0,67432032.0,Office of Innovation and Technology,04,OIT,04
Finance-Employee Benefits,964887316.0,0.0,0.0,0.0,0.0,0.0,2011,0,964887316.0,Finance: Employee Benefits,35-EB,Employee Benefits,35
Finance-PGW Reimbursement,0.0,0.0,0.0,18000000.0,0.0,0.0,2011,0,18000000.0,Finance: PGW Reimbursement,35-PGW,,35
Fire,169151934.0,6568283.0,6516290.0,0.0,0.0,6525583.0,2011,0,188762090.0,Fire Department,13,Fire,13
First Judicial District,75934061.0,20894603.0,2268319.0,0.0,0.0,0.0,2011,0,99096983.0,First Judicial District,84,FJD,84
Fleet Management,16074382.0,5183396.0,26179711.0,0.0,0.0,0.0,2011,0,47437489.0,Office of Fleet Management,25,Fleet,25
Fleet Management -Vehicle Lease/Purch.,0.0,1000000.0,3000000.0,0.0,0.0,0.0,2011,0,4000000.0,Fleet: Vehicle Lease/Purchases,25-V,,25
Free Library,29268037.0,1772666.0,1927659.0,0.0,0.0,0.0,2011,0,32968362.0,The Free Library of Philadelphia,52,Free Library,52
Hero Scholarship Awards,0.0,0.0,0.0,25000.0,0.0,0.0,2011,0,25000.0,Finance: Hero Scholarship Awards,35-HA,,35
Historical Commission,385995.0,11906.0,6041.0,0.0,0.0,0.0,2011,0,403942.0,Historical Commission,32,,32
Human Relations,2017263.0,36100.0,13574.0,0.0,0.0,0.0,2011,0,2066937.0,Commission on Human Relations,54,Human Relations,54
Human Services,95737121.0,478358813.0,2269539.0,0.0,0.0,0.0,2011,0,576365473.0,Department of Human Services,22,DHS,22
Indemnities,0.0,0.0,0.0,42000000.0,0.0,0.0,2011,0,42000000.0,Finance: Indemnities,35-IN,,35
Labor Relations,511436.0,3414.0,8500.0,0.0,0.0,0.0,2011,0,523350.0,Labor,03,,03
Law,10586545.0,7813911.0,265024.0,0.0,0.0,0.0,2011,0,18665480.0,Law Department,44,Law,44
Legal Services,0.0,35941187.0,0.0,0.0,0.0,0.0,2011,0,35941187.0,MDO: Legal Services,10-LS,,10
Licenses & Inspection,14710053.0,8026422.0,332450.0,0.0,0.0,0.0,2011,0,23068925.0,Department of Licenses and Inspections,26,L&I,26
Managing Director,12896469.0,4097385.0,989982.0,0.0,0.0,0.0,2011,0,17983836.0,Managing Director's Office,10,MDO,10
Mayor - Mural Arts Program,475000.0,525000.0,0.0,0.0,0.0,0.0,2011,0,1000000.0,Mural Arts Program,50,Mural Arts,50
Mayor - Scholarships,0.0,0.0,0.0,200000.0,0.0,0.0,2011,0,200000.0,Mayor's Office: Scholarships,05-S,,05
Mayor's Office,3104922.0,684669.0,49293.0,0.0,0.0,0.0,2011,0,3838884.0,Mayor's Office,05,Mayor,05
Mayor's Office of Transportation,500000.0,0.0,0.0,0.0,0.0,0.0,2011,0,500000.0,Mayor's Office of Transportation and Utilities,46,,46
Office of Behavioral Health  Mental Retardation Services,1549549.0,12722023.0,0.0,0.0,0.0,0.0,2011,0,14271572.0,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,15
Office of Community Services,0.0,0.0,0.0,0.0,0.0,0.0,2011,0,0.0,Mayor's Office of Community Empowerment and Opportunity,08,CEO,08
