dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,fiscal_year,total,dept_name,dept_code,abbreviation,dept_major_code
Art Museum,0.0,0.0,0.0,2300000.0,0.0,0.0,0.0,2013,2300000.0,Art Museum,34,,34
Atwater Kent Museum,218630.0,0.0,0.0,50000.0,0.0,0.0,0.0,2013,268630.0,Atwater Kent Museum,18,Atwater Kent,18
Auditing,6927481.0,497450.0,25000.0,0.0,0.0,0.0,0.0,2013,7449931.0,City Controller's Office,61,,61
Board of Building Standards,70169.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,70169.0,L&I: Board of Building and Standards,29,,29
Board of Ethics,788000.0,96000.0,14000.0,0.0,0.0,0.0,0.0,2013,898000.0,Board of Ethics,45,,45
Board of L.&I. Review,140645.0,11962.0,0.0,0.0,0.0,0.0,0.0,2013,152607.0,L&I: Board of Review,27,,27
Board of Revision of Taxes,672613.0,20200.0,15727.0,0.0,0.0,0.0,0.0,2013,708540.0,Board of Revision of Taxes,63,BRT,63
City Commissioners,5329126.0,2976350.0,541617.0,0.0,0.0,0.0,0.0,2013,8847093.0,City Commissioner's Office,73,City Commissioners,73
City Counci,13283837.0,1654485.0,610650.0,20000100.0,0.0,100.0,100.0,2013,35549272.0,City Council,01,,01
City Planning,2091813.0,79592.0,40652.0,0.0,0.0,0.0,0.0,2013,2212057.0,City Planning Commission,51,,51
City Representative,338082.0,506529.0,45000.0,0.0,0.0,0.0,0.0,2013,889611.0,Office of the City Representative,41,City Rep,41
City Treasurer,745937.0,118444.0,22224.0,0.0,0.0,0.0,0.0,2013,886605.0,Office of the City Treasurer,40,City Treasurer,40
Civil Service,136309.0,29500.0,1094.0,0.0,0.0,0.0,0.0,2013,166903.0,Civil Service Commission,55,,55
Commerce,1821678.0,333481.0,26654.0,500000.0,0.0,0.0,0.0,2013,2681813.0,Office of the Director of Commerce,42,Commerce,42
Commerce-Economic Stimulus,0.0,1294448.0,0.0,0.0,0.0,0.0,0.0,2013,1294448.0,Commerce: Economic Stimulus,42-ES,,42
Community College Subsidy,0.0,0.0,0.0,25409207.0,0.0,0.0,0.0,2013,25409207.0,Finance: Community College Subsidy,35-CC,,35
Convention Center Subsidy,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,2013,15000000.0,Commerce: Convention Center Subsidy,42-CC,,42
Director of Finance,7888399.0,4230961.0,110775.0,750000.0,0.0,0.0,0.0,2013,12980135.0,Office of the Director of Finance,35,Finance,35
District Attorney,28907203.0,1645672.0,502121.0,0.0,0.0,0.0,0.0,2013,31054996.0,District Attorney's Office,69,DAO,69
Finance-Contribution  to School District,0.0,0.0,0.0,48990000.0,0.0,0.0,0.0,2013,48990000.0,Finance: School District Contribution,35-SD,,35
Finance-Employee Benefits,1118256727.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,1118256727.0,Finance: Employee Benefits,35-EB,Employee Benefits,35
Finance-PGW Reimbursement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,0.0,Finance: PGW Reimbursement,35-PGW,,35
Fire,170191934.0,4945593.0,6687414.0,0.0,0.0,7480263.0,0.0,2013,189305204.0,Fire Department,13,Fire,13
First Judicial District,85869031.0,13155430.0,2345861.0,0.0,0.0,0.0,0.0,2013,101370322.0,First Judicial District,84,FJD,84
Fleet Management,15582207.0,4864396.0,24463211.0,0.0,0.0,0.0,0.0,2013,44909814.0,Office of Fleet Management,25,Fleet,25
Free Library,29283037.0,2597077.0,1802659.0,0.0,0.0,0.0,0.0,2013,33682773.0,The Free Library of Philadelphia,52,Free Library,52
Hero Scholarship Awards,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,2013,25000.0,Finance: Hero Scholarship Awards,35-HA,,35
Historical Commission,385995.0,980.0,809.0,0.0,0.0,0.0,0.0,2013,387784.0,Historical Commission,32,,32
Human Relations,1950787.0,34657.0,13031.0,0.0,0.0,0.0,0.0,2013,1998475.0,Commission on Human Relations,54,Human Relations,54
Human Services (1),40492544.0,69343226.0,1201765.0,0.0,0.0,0.0,0.0,2013,111037535.0,Department of Human Services,22,DHS,22
Indemnities,0.0,0.0,0.0,32457600.0,0.0,0.0,0.0,2013,32457600.0,Finance: Indemnities,35-IN,,35
Law,6511834.0,6010034.0,248676.0,0.0,0.0,0.0,0.0,2013,12770544.0,Law Department,44,Law,44
Legal Services,0.0,37066187.0,0.0,0.0,0.0,0.0,0.0,2013,37066187.0,MDO: Legal Services,10-LS,,10
Licenses & Inspection,14244790.0,7112502.0,303613.0,0.0,0.0,0.0,0.0,2013,21660905.0,Department of Licenses and Inspections,26,L&I,26
Management-Vehicle Lease/Purch.,0.0,4500000.0,5965000.0,0.0,0.0,0.0,0.0,2013,10465000.0,Fleet: Vehicle Lease/Purchases,25-V,,25
Managing Director,15206524.0,16677032.0,526819.0,0.0,0.0,0.0,0.0,2013,32410375.0,Managing Director's Office,10,MDO,10
Mayor - Mural Arts Program,439000.0,501800.0,0.0,0.0,0.0,0.0,0.0,2013,940800.0,Mural Arts Program,50,Mural Arts,50
Mayor - Office of Labor Relations,529931.0,3277.0,8160.0,0.0,0.0,0.0,0.0,2013,541368.0,Labor,03,,03
Mayor - Scholarships,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,2013,200000.0,Mayor's Office: Scholarships,05-S,,05
Mayor's Office,3090676.0,590336.0,30165.0,0.0,0.0,0.0,0.0,2013,3711177.0,Mayor's Office,05,Mayor,05
Mayor's Office of Transportation,464515.0,81400.0,0.0,0.0,0.0,0.0,0.0,2013,545915.0,Mayor's Office of Transportation and Utilities,46,,46
Office of Arts & Culture & the Creative  Economy,198750.0,393800.0,7000.0,2070688.0,0.0,0.0,0.0,2013,2670238.0,"Office of Arts, Culture, and the Creative Economy",58,Arts & Culture,58
Office of Behavioral Health and  Intellectual Disability,1341311.0,12930261.0,0.0,0.0,0.0,0.0,0.0,2013,14271572.0,Behavioral Health and Intellectual Disability Services,15,DBH/IDS,15
Office of Housing and Comm Dev.,0.0,2520000.0,0.0,0.0,0.0,0.0,0.0,2013,2520000.0,Office of Housing and Community Development,06,,06
Office of Human Resources,4400457.0,882070.0,64932.0,0.0,0.0,0.0,0.0,2013,5347459.0,Office of Human Resources,56,OHR,56
Office of Innovation and Technology,17614280.0,46640550.0,5789420.0,0.0,0.0,0.0,0.0,2013,70044250.0,Office of Innovation and Technology,04,OIT,04
Office of Property Assessment,10187072.0,1425748.0,101932.0,0.0,0.0,0.0,0.0,2013,11714752.0,Office of Property Assessment,59,OPA,59
Office of Supportive Housing,7652567.0,31611621.0,344127.0,32421.0,0.0,0.0,0.0,2013,39640736.0,Office of Homeless Services,24,OHS,24
Office of the Inspector General,1132622.0,115375.0,7825.0,0.0,0.0,0.0,0.0,2013,1255822.0,Office of the Inspector General,48,OIG,48
Parks and Recreation,36239901.0,5776525.0,2293805.0,3471000.0,0.0,0.0,0.0,2013,47781231.0,Department of Parks and Recreation,16,Parks & Recreation,16
Police,540116495.0,7197427.0,9504321.0,0.0,0.0,0.0,0.0,2013,556818243.0,Police Department,11,Police,11
Prisons,118602295.0,103177807.0,4768744.0,1301757.0,0.0,0.0,0.0,2013,227850603.0,Philadelphia Prison System,23,Prisons,23
Procurement,2236253.0,1866267.0,49054.0,0.0,0.0,0.0,0.0,2013,4151574.0,Procurement Department,38,Procurement,38
Property-SEPTA Subsidy,0.0,66360000.0,0.0,0.0,0.0,0.0,0.0,2013,66360000.0,Public Property: SEPTA Subsidy,20-SS,,20
Property-Space Rentals,0.0,17267661.0,0.0,0.0,0.0,0.0,0.0,2013,17267661.0,Public Property: Space Rentals,20-SR,,20
Public Health,40217036.0,66057548.0,4871737.0,0.0,0.0,500000.0,0.0,2013,111646321.0,Department of Public Health,14,Public Health,14
Public Property,7307104.0,33404008.0,1159608.0,0.0,0.0,23157453.0,0.0,2013,65028173.0,Department of Public Property,20,Public Property,20
Public Property-Utilities,0.0,32015165.0,0.0,0.0,0.0,0.0,0.0,2013,32015165.0,Public Property: Utilities,20-U,,20
Records,2845219.0,1083779.0,78758.0,1456.0,0.0,0.0,0.0,2013,4009212.0,Department of Records,31,Records,31
Refunds,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,2013,250000.0,Finance: Refunds,35-R,,35
Register of Wills,3222596.0,75486.0,33210.0,0.0,0.0,0.0,0.0,2013,3331292.0,Register of Wills,68,,68
Revenue,15241875.0,3568349.0,527526.0,0.0,0.0,0.0,0.0,2013,19337750.0,Department of Revenue,36,Revenue,36
Service (Sinking Fund),0.0,95040642.0,0.0,0.0,127432925.0,0.0,0.0,2013,222473567.0,Sinking Fund Commission,37,Sinking Fund,37
Sheriff,13322083.0,445042.0,321532.0,0.0,0.0,0.0,0.0,2013,14088657.0,Office of the Sheriff,70,Sheriff,70
Streets,20315190.0,4726338.0,2201750.0,5000.0,0.0,0.0,0.0,2013,27248278.0,Streets Department,12,Streets,12
Streets - Sanitation,45145923.0,37767517.0,1608212.0,48171.0,0.0,0.0,0.0,2013,84569823.0,Streets: Sanitation,12-S,,12
Witness Fees,0.0,171518.0,0.0,0.0,0.0,0.0,0.0,2013,171518.0,Finance: Witness Fees,35-WF,,35
Youth Commission,50000.0,40000.0,4080.0,0.0,0.0,0.0,0.0,2013,94080.0,Youth Commission,47,,47
Zoning Bd. of Adi.,320960.0,34541.0,0.0,0.0,0.0,0.0,0.0,2013,355501.0,Zoning Board of Adjustments,30,ZBA,30
Zoning Code Commission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,0.0,Zoning Code Commission,57,,57
