0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,268.3,213.0,270.2,222.7,175.1,278.0,328.7,547.0,475.7,491.8,410.5,434.3
Grants Revenue,(80.8),34.0,41.6,(8.6),(69.7),(114.5),(87.0),(155.3),(61.7),(34.7),(36.0),(48.3)
Community Development,(7.6),(5.1),(4.4),2.6,(5.9),(1.9),(3.2),(5.6),(10.5),(2.8),(4.0),(5.3)
Vehicle Rental Tax,6.4,7.0,7.5,7.9,8.4,8.8,9.3,9.6,5.0,5.4,5.8,6.3
Hospital Assessment Fund,10.3,9.6,11.4,10.8,10.4,30.8,9.1,8.5,32.1,10.3,30.8,27.5
Housing Trust Fund,12.2,12.5,13.0,13.6,14.1,14.3,14.6,15.1,15.0,15.4,15.3,15.8
Other Funds,25.2,30.9,28.3,39.3,25.2,27.9,12.9,(4.0),3.5,14.3,20.5,46.9
TOTAL OPERATING FUNDS,234.1,301.8,367.6,288.3,157.6,243.4,284.4,415.3,"459,0",499.7,442.8,477.2
Capital Improvement,96.8,91.5,90.1,74.6,65.7,63.7,"50,5",42.0,34.3,23.8,25.0,23.0
industrial & Commercial Dev.,3.8,3.8,3.8,4.1,4.1,4.1,4.1,4.1,4.1,3.5,3.5,3.5
TOTAL CAPITAL FUNDS,100.6,95.3,93.9,78.7,69.8,67.8,54.6,46.1,38.4,27.3,28.5,26.5
TOTAL FUND EQUITY,334.7,397.1,461.5,367.0,227.3,311.2,339.0,461.4,497.4,527.0,471.3,503.7
