0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued,Not Accrued,Estimated Revenues
REVENUES Real Estate Tax,9.1,11.0,8.5,7.9,6.8,20.1,56.9,146.3,363.0,30.6,15.1,8.9,684.3,,,684.3
"Total Wage, Earnings, Net Profits",134.1,135.4,120.8,110.7,120.7,112.4,152.0,121.1,139.0,171.8,130.3,112.7,1561.2,(12.2),,1549.0
Realty Transfer Tax,36.4,22.8,24.6,28.8,22.1,23.7,23.7,19.0,23.0,24.9,24.2,26.2,299.4,(6.6),,292.8
Sales Tax,24.4,29.7,12.5,13.4,13.3,10.2,11.9,11.2,10.3,11.4,13.1,13.1,174.5,,,174.5
Business Income & Receipts Tax,266.4,26.8,19.6,35.1,2.5,8.8,19.1,5.1,50.0,250.3,59.0,8.7,751.4,(269.2),,482.1
Beverage Tax,5.7,6.2,5.6,7.0,5.1,5.0,5.1,5.2,5.3,5.6,5.7,5.9,67.4,,,67.4
Other Taxes,2.7,2.6,4.2,4.3,4.4,4.4,4.5,5.5,7.5,8.4,10.2,10.5,69.2,9.1,,78.3
Locally Generated Non-tax,22.8,20.8,28.5,23.6,39.9,28.5,34.0,27.9,32.8,32.4,"35,9",30.0,357.1,,,357.1
Total Other Governments,14.4,45.2,82.7,13.3,52.8,12.1,7.4,13.9,4.9,9.3,9.8,21.9,287.7,13.0,,300.6
Total PICA Other Governments,53.0,37.8,32.6,23.2,32.2,57.5,34.9,26.5,51.3,41.7,41.4,38.7,470.6,,,470.6
Interfund Transfers,0.0,0.0,0.0,0.0,34.3,0.0,0.0,0.0,0.0,0.0,0.0,25.5,59.8,,65.8,125.6
Total Current Revenue,568.9,338.2,339.4,267.3,334.1,282.7,349.5,381.7,687.3,586.5,344.9,302.1,4782.5,(265.9),65.8,4582.5
Collection of prior year(s) revenue,(71.3),17.7,11.9,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(39.9),,,
Other fund balance adjustments TOTAL CASH RECEIPTS,497.6,356.0,351.3,269.0,334.1,282.7,349.5,381.7,687.3,586.5,344.9,302.1,4742.6,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Vouchers Payable,Encum- brances,Estimated Obligations
EXPENSES AND OBLIGATIONS Payroll,50.4,202.6,136.7,150.8,153.9,140.3,202.3,139.6,140.3,140.3,153.9,144.9,1756.0,65.1,4.1,1825.2
Employee Benefits,45.9,41.5,46.3,48.8,54.6,49.9,71.7,51.7,51.9,51.9,56.6,53.5,624.4,16.1,0.5,641.0
Pension,3.6,(0.5),16.8,81.0,(0.6),3.2,(0.5),(0.3),543.1,(5.2),(0.3),(0.3),640.0,13.9,,653.9
Purchase of Services,33.3,49.4,68.6,77.6,43.6,65.5,43.4,42.2,191.1,67.8,65.3,48.2,796.1,25.5,157.2,978.8
"Materials, Equipment",5.1,2.1,3.6,6.1,8.2,8.2,7.6,7.4,9.2,7.7,7.8,10.0,83.2,3.0,29.3,115.4
"Contributions, Indemnities",19.4,1.6,11.9,65.4,14.5,73.6,10.9,16.5,71.2,10.0,7.6,78.9,381.5,,,381.5
Debt Service-Short Term,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,5.2,,,5.2
Debt Service-Long Term,118.6,0.3,0.0,0.0,0.2,0.2,5.4,43.2,0.4,0.2,0.2,11.9,180.5,,,180.5
Interfund Charges,0.0,0.4,0.0,"0,0","0,3",0.2,32.0,3.7,0.0,4.8,"0,0",3.9,45.2,22.0,,67.2
Advances & Misc. Pmts. / Labor Obligations,0.0,0.0,0.0,"0,0",0.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,25.0,,,25.0
Current Year Appropriation,276.3,297.2,283.9,429.7,274.7,344.7,376.4,307.6,1010.9,281.1,294.7,359.9,4537.1,145.6,191.1,4873.8
Prior Yr. Expenditures against Encumbrances,41.0,25.1,24.5,24.3,13.4,93.6,18.5,12.9,5.8,7.6,3.0,3.5,273.3,,,
Prior Yr. Salaries & Vouchers Payable,46.9,8.8,(22.3),59.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5,,,
,,,,,,,,,,,,,,,,
TOTAL DISBURSEMENTS,364.2,331.1,286.1,513.2,288.1,438.4,394.9,320.5,1016.7,288.8,"297,7",363.4,4903.0,,,
,,,,,,,,,,,,,,,,
Excess (Def) of Receipts over Disbursements,133.4,24.9,65.2,(244.2),46.0,(155.6),(45.4),61.2,(329.4),297.7,47.2,(61.3),,,,
Opening Balance,758.8,892.2,917.1,1282.3,1038.1,1084.0,928.4,883.0,944.2,614.9,912.6,659.8,,,,
TRAN,0.0,0.0,300.0,0.0,"0,0",0.0,0.0,"0,0",0.0,0.0,(300.0),0.0,,,,
,,,,,,,,,,,,,,,,
CLOSING BALANCE,892.2,917.1,1282.3,1038.1,1084.0,928.4,883.0,944.2,614.9,"912,6",659.8,598.4,,,,
