0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued,Not Accrued,Estimated Revenues
REVENUES Real Estate Tax,9.2,8.5,6.5,6.0,7.7,15.3,53.1,371.5,123.5,29.0,12.7,8.4,651.5,,,651.5
"Total Wage, Earnings, Net Profits",137.7,114.0,115.3,134.3,119.7,110.7,150.2,117.9,131.2,153.4,124.8,113.0,1522.3,,,1522.3
Realty Transfer Tax,38.3,29.0,20.8,27.5,17.2,17.9,16.9,13.1,18.9,19.5,19.0,21.3,259.6,(4.0),,255.6
Sales Tax,28.6,29.0,12.0,11.9,14.6,13.1,13.5,15.8,12.4,12.2,14.6,18.4,195.9,2.2,,198.1
Business Income & Receipts Tax,6.9,6.9,16.4,14.9,2.6,8.3,13.1,6.2,53.2,248.0,67.3,8.3,452.2,,,452.2
Beverage Tax,6.9,6.5,6.7,7.6,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,91.3,1.1,,92.4
Other Taxes,10.2,9.5,12.2,10.3,9.8,9.3,9.2,11.3,7.8,15.4,10.6,9.5,125.0,,,125.0
Locally Generated Non-tax,24.3,29.4,21.4,30.7,21.6,20.5,25.3,24.6,28.3,23.0,27.3,26.4,302.9,,,302.9
Total Other Governments,22.9,52.3,77.9,59.9,17.5,6.4,6.8,13.3,13.5,9.5,11.9,15.0,307.0,9.7,,316.6
Total PICA Other Governments,25.8,37.2,29.7,17.2,38.4,41.0,33.8,27.5,52.3,42.7,42.4,39.7,427.6,0.0,,427.6
Interfund Transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,30.5,,33.7,64.2
Total Current Revenue,310.7,322.5,318.8,320.3,257.2,250.6,329.7,609.2,449.1,560.7,338.6,298.4,4365.8,9.0,33.7,4408.4
Collection of prior year(s) revenue Other fund balance adjustments,40.9,0.2,12.5,(2.8),0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.8,,,
TOTAL CASH RECEIPTS,351.6,322.6,331.4,317.6,257.2,250.6,329.7,609.2,449.1,560.7,338.6,298.4,4416.6,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Payable,brances,Obligations
EXPENSES AND OBLIGATIONS Payroll,69.7,172.3,133.4,127.2,135.9,124.4,124.4,124.4,173.5,124.4,136.0,128.2,1573.9,73.7,3.5,1651.1
Employee Benefits,45.8,36.2,65.6,33.7,53.1,48.5,48.5,48.5,67.9,48.5,53.1,50.0,599.4,16.1,"0,5",616.0
Pension,3.7,(6.5),4.8,64.2,(6.3),(2.5),(7.0),(5.6),511.9,95.0,(3.1),(2.6),646.0,34.3,,680.2
Purchase of Services,42.6,50.8,76.3,89.1,83.3,67.1,60.0,63.5,79.5,80.5,59.9,78.6,831.2,23.8,81.8,936.8
"Materials, Equipment",3.0,3.8,8.5,6.8,9.1,7.6,7.8,6.8,7.8,9.0,8.6,8.9,87.7,4.0,16.2,108.0
"Contributions, Indemnities",14.3,5.0,10.2,8.8,9.8,3.3,4.4,5.5,11.9,5.7,106.5,10.6,196.0,,,196.0
Debt Service-Short Term,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.3,,,5.3
Debt Service-Long Term,96.1,0.5,0.0,0.6,0.0,13.2,8.3,21.3,0.5,0.0,0.0,11.4,152.1,,,152.1
Interfund Charges,"0,4","0,0","0,0",0.0,0.0,1.4,0.1,1.8,0.0,0.1,0.9,5.9,"10,5",25.6,,36.0
Advances & Misc. Pmts. / Labor Obligations,"0,0","0,0","0,0",0.0,0.0,7.3,7.3,7.3,7.3,7.3,7.3,7.3,"50,9",,,50.9
Current Year Appropriation,275.5,262.2,298.9,330.4,284.9,270.2,253.8,273.5,860.3,370.6,369.2,303.3,4152.9,177.5,102.0,4432.4
Prior Yr. Expenditures against Encumbrances,38.3,25.3,19.3,9.0,7.1,4.2,9.6,6.4,5.9,2.7,1.0,2.0,130.9,,,
Prior Yr. Salaries & Vouchers Payable,77.4,(24.5),(9.5),89.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.3,,,
,,,,,,,,,,,,,,,,
TOTAL DISBURSEMENTS,391.2,263.0,308.8,429.2,292.1,274.4,263.4,279.9,866.2,373.3,370.2,305.3,4417.1,,,
Excess (Def) of Receipts over Disbursements,(39.6),59.6,22.6,(111.7),(34.8),(23.8),66.3,329.3,(417.2),187.3,(31.6),(6.9),,,,
Opening Balance,533.9,494.3,553.9,576.5,464.8,555.0,531.2,597.5,926.7,509.6,696.9,540.3,,,,
TRAN,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,(125.0),0.0,,,,
,,,,,,,,,,,,,,,,
CLOSING BALANCE,494.3,553.9,576.5,464.8,555.0,531.2,597.5,926.7,509.6,696.9,540.3,533.4,,,,
