0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued,Estimated Revenues,
REVENUES Real Estate Tax,4.1,8.6,3.7,4.0,4.1,11.5,34.2,269.6,122.6,11.7,7.2,7.3,488.7,,488.7,
"Total Wage, Earnings, Net Profits",91.4,109.7,78.8,92.9,100.4,89.9,120.0,88.7,103.6,"95,9",107.5,88.1,"1167,0",,1167.0,
Realty Transfer Tax,19.7,12.5,7.5,7.9,9.3,9.6,7.6,5.8,8.0,10.3,10.9,10.8,119.8,,119.8,
Sales Tax,21.4,23.4,20.7,19.4,21.3,18.6,19.5,22.8,18.1,20.2,21.5,20.6,247.5,,247.5,
Business Privilege Tax,2.4,13.0,11.4,8.4,(0.7),9.2,7.6,7.4,41.8,118.1,113.3,28.9,360.8,,360.8,
Other Taxes,7.7,12.4,9.9,6.2,7.7,7.7,6.6,6.4,8.2,9.9,7.0,8.0,97.7,,97.7,
Locally Generated Non-tax,20.5,21.2,19.6,13.8,24.9,22.1,17.9,24.1,29.5,22.0,"25,0",30.4,271.0,,271.0,
Total Other Governments,"0,2",101.0,91.8,114.6,13.4,22.3,17.0,5.9,102.6,27.0,113.3,"98,8",707.9,124.9,832.8,
Total PICA Other Governments,15.7,26.2,8.1,25.2,21.0,10.1,23.9,22.2,23.6,31.6,42.7,"28,9",279.2,,279.2,
Interfund Transfers,8.4,0.2,0.1,1.1,0.2,0.0,0.0,0.0,0.2,0.2,"0,2",22.0,"32,6",31.6,64.2,
Total Current Revenue,191.5,328.2,251.6,293.5,201.6,201.0,254.3,452.9,458.3,346.9,448.6,343.9,3772.3,156.5,3928.7,
Collection of prior year(s) revenue,112.2,"57,0",0.0,"0,0","0,0",0.0,"0,0",0.0,0.0,"0,0",0.0,0.0,169.2,,,
Other fund balance adjustments,0.0,0.0,0.0,0.0,0.0,"0,0",0.0,0.0,"0,0",0.0,0.0,"0,0",0.0,,,
TOTAL CASH RECEIPTS,"303,7",385.2,251.6,293.5,201.6,201.0,254.3,452.9,458.3,"346,9",448.6,343.9,3941.5,,,
EXPENSES AND OBLIGATIONS,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Vouchers Payable,Encum- brances,Estimated Obligations
Payroll,83.2,110.2,113.9,104.2,103.5,142.2,108.4,98.8,109.3,98.1,97.5,146.1,1315.4,48.5,0.0,1363.9
Employee Benefits,40.0,34.0,42.4,41.4,40.9,43.8,31.1,41.4,46.3,37.0,38.0,36.1,472.4,15.0,"0,0",487.4
Pension,3.7,(3.4),10.9,51.8,(3.2),1.2,(2.5),(1.8),349.5,89.3,(3.0),0.0,492.5,"0,0",0.0,"492,5"
Purchase of Services,52.9,68.2,63.1,66.6,93.3,97.0,86.2,86.8,72.2,133.2,93.7,77.8,990.9,30.0,130.0,1150.9
"Materials, Equipment",1.9,4.2,7.6,5.0,5.5,4.4,4.1,5.0,4.1,11.4,"8,9",9.7,71.8,4.8,4.0,"80,6"
"Contributions, Indemnities",15.1,5.1,3.4,8.9,2.2,9.9,2.1,1.9,8.3,11.5,37.0,0.0,105.4,4.0,0.0,"109,4"
Debt Service-Short Term,"0,0",0.0,0.0,0.0,0.0,"0,0",0.0,"0,0",0.0,0.0,0.0,11.0,11.0,"0,0",0.0,11.0
Debt Service-Long Term,34.7,1.1,11.1,0.6,5.6,5.9,25.2,1.2,3.4,12.9,5.0,3.7,110.4,"0,0",0.0,110.4
Interfund Charges,2.5,"0,0","0,0",0.0,"0,0",0.0,0.0,0.0,0.0,0.0,"0,0",0.0,2.5,25.4,"0,0",28.0
"Advances, Subsidies",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,0","0,0",0.0,0.0
Current Year Appropriation,234.0,219.4,252.4,278.5,247.8,304.4,254.6,233.3,593.1,393.3,277.1,284.4,"3572,3",127.7,"134,0",3834.1
,,,,,,,,,,,,,,,,
Prior Year Encumbrances,51.9,31.1,8.8,5.1,1.9,2.1,1.5,5.4,1.8,4.2,2.7,2.4,118.9,,,134.0
Prior Year Vouchers Payable,55.2,"45,9",(1.1),(0.9),(0.9),0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.2,,,"124,7"
TOTAL DISBURSEMENTS,341.1,"296,4",260.1,282.7,248.8,306.5,256.1,238.7,594.9,397.5,279.8,286.8,3789.4,,,
,,,,,,,,,,,,,,,,
Excess (Def) of Receipts over Disbursements,(37.4),88.8,(8.5),10.8,(47.2),(105.5),(1.8),214.2,(136.6),(50.6),"168,8",57.1,,,,
Opening Balance,(30.6),217.0,305.8,297.3,308.1,260.9,155.4,153.6,367.8,231.3,"180,6",64.5,,,,
TRANS,285.0,0.0,0.0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,(285.0),0.0,,,,
,,,,,,,,,,,,,,,,
CLOSING BALANCE,217.0,305.8,297.3,308.1,260.9,155.4,153.6,367.8,231.3,180.6,64.5,121.6,,,,
