0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued,Estimated Revenues,
REVENUES Real Estate Tax,7.3,7.3,5.9,5.5,5.6,14.9,38.8,242.7,117.1,22.6,9.7,9.3,486.7,,486.7,
"Total Wage, Earnings, Net Profits",89.4,111.3,85.2,102.3,93.4,91.6,121.6,89.9,105.1,98.8,104.2,"91,4",1184.3,,1184.3,
Realty Transfer Tax,10.2,13.9,11.9,9.3,9.1,9.3,9.6,6.2,8.4,10.1,11.0,11.9,120.9,,120.9,
,,,,,,,,,,,,,,,,
Sales Tax,19.4,22.0,20.3,19.4,"21,5",18.8,19.9,23.3,18.5,20.1,23.9,21.6,248.6,,248.6,
Business Privilege Tax,3.6,3.6,9.7,9.5,(2.1),9.0,8.2,5.6,26.2,159.5,115.5,20.9,369.3,,369.3,
Other Taxes,8.2,9.7,"6,6",6.7,8.3,7.5,7.3,6.9,7.2,12.8,8.5,"8,4",98.0,,98.0,
Locally Generated Non-tax,19.4,22.8,16.9,17.5,21.2,23.9,21.3,"20,7",24.1,20.3,23.5,26.8,258.0,,258.0,
Total Other Governments,3.7,53.2,98.3,69.1,7.2,22.1,13.5,7.8,22.2,8.2,5.5,44.3,355.0,42.6,397.6,
Total PICA Other Governments,26.0,21.4,22.6,21.6,24.7,20.8,25.9,21.6,23.1,29.3,29.1,24.9,290.9,,290.9,
Interfund Transfers,8.4,0.0,0.1,0.0,0.5,3.1,0.2,0.7,1.1,3.0,"0,2",11.1,28.4,23.1,51.5,
Total Current Revenue,195.6,265.1,"277,5",260.8,189.4,221.0,266.2,425.4,352.9,384.6,330.9,270.6,3440.1,65.7,3505.8,
Collection of prior year(s) revenue,18.7,122.0,1.0,10.5,"0,0",0.0,"0,0",0.0,"0,0",0.0,0.0,0.0,152.1,,,
Other fund balance adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TOTAL CASH RECEIPTS,214.3,387.1,278.6,271.3,189.4,221.0,266.2,425.4,352.9,384.6,330.9,270.6,3592.2,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Vouchers Payable,Encum- brances,Estimated Obligations
EXPENSES AND OBLIGATIONS Payroll,73.7,111.6,99.0,99.2,121.8,99.8,110.4,112.0,99.8,110.4,112.0,135.7,1285.4,54.2,,1339.6
Employee Benefits,38.1,39.5,"36,4",39.0,40.5,36.0,36.0,"39,0",36.0,36.0,39.0,40.5,"456,0",12.4,,468.4
Pension,3.7,(6.3),6.6,82.4,0.0,0.0,"3,7",0.0,363.1,101.1,"0,0",0.0,554.3,,,554.3
Purchase of Services,53.1,46.2,51.3,74.4,58.1,43.0,64.6,"46,8",55.1,82.2,45.3,48.9,"668,9",22.8,67.2,"759,0"
"Materials, Equipment",2.0,5.7,8.9,5.2,5.1,4.8,5.3,4.2,4.9,5.2,5.0,5.3,61.6,4.0,13.3,79.0
"Contributions, Indemnities",11.0,7.8,8.7,1.8,3.1,8.7,3.7,3.9,7.8,7.9,17.9,30.0,112.3,5.2,,117.5
Debt Service-Short Term,0.0,0.0,0.0,"0,0","0,0","0,0",0.0,"0,0",0.0,"0,0","0,0",11.0,11.0,,,11.0
Debt Service-Long Term,53.1,7.7,0.0,0.4,0.4,8.5,7.6,34.0,0.4,"0,8",0.4,6.5,119.7,,,119.7
Interfund Charges,0.5,"0,0",0.0,0.0,0.0,0.8,0.0,0.0,0.0,"0,0","0,0",3.7,5.0,22.1,,27.1
"Advances, Subsidies",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"0,0","0,0","0,0",4.0,,,4.0
Current Year Appropriation,235.2,212.2,211.0,302.3,228.9,201.6,231.4,240.0,571.0,343.6,219.6,281.6,3278.4,120.7,80.5,3479.6
Prior Yr. Expenditures against Encumbrances,39.6,22.9,13.7,6.2,9.7,9.9,7.6,6.3,4.9,4.4,2.8,2.3,130.3,,,
Prior Yr. Salaries & Vouchers Payable,67.0,(5.0),3.0,39.3,(8.5),0.0,0.0,"0,0",0.0,0.0,0.0,0.0,95.8,,,
TOTAL DISBURSEMENTS,341.9,230.1,"227,7",347.8,230.1,211.5,239.0,246.3,575.9,348.0,222.4,283.9,3504.5,,,
Excess (Def) of Receipts over Disbursements,(127.6),157.0,50.9,(76.5),(40.7),9.5,27.3,179.1,(223.1),36.6,108.6,(13.3),,,,
Opening Balance,108.9,(18.7),138.3,189.2,112.7,72.0,254.5,281.8,460.9,"237,8",274.4,209.9,,,,
TRANS,0.0,0.0,0.0,0.0,0.0,173.0,"0,0",0.0,"0,0",0.0,(173.0),"0,0",,,,
,,,,,,,,,,,,,,,,
CLOSING BALANCE,(18.7),138.3,189.2,112.7,72.0,254.5,281.8,"460,9",237.8,274.4,209.9,196.6,,,,
