0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued,Not Accrued,Estimated Revenues
REVENUES Real Estate Tax,9.2,8.5,6.5,6.0,5.8,34.3,64.1,317.6,138.5,29.0,14.0,12.9,646.3,,,646.3
"Total Wage, Earnings, Net Profits",137.7,114.0,115.3,134.3,119.4,112.0,170.0,122.4,136.1,157.8,129.5,117.3,1565.8,,,1565.8
Realty Transfer Tax,38.3,29.0,20.8,27.5,28.7,21.8,36.9,13.7,17.5,17.1,17.7,18.1,287.1,,,287.1
Sales Tax,28.6,29.0,12.0,11.9,14.6,12.7,11.9,16.2,12.2,11.9,14.4,26.3,201.6,2.9,,204.5
Business Income & Receipts Tax,6.9,6.9,16.4,14.9,0.9,6.1,29.4,5.7,48.6,240.2,49.3,8.3,433.8,,(20.3),413.5
Beverage Tax,6.9,6.5,6.7,7.6,6.1,6.0,6.5,7.8,8.8,9.3,8.8,9.2,90.1,2.3,,92.4
Other Taxes,10.2,9.5,12.2,10.3,9.7,10.2,9.8,9.2,8.9,13.9,9.8,9.4,123.1,,,123.1
Locally Generated Non-tax,24.3,29.4,21.4,30.7,24.1,27.8,26.5,24.1,27.8,21.7,26.8,25.8,310.4,,,310.4
Total Other Governments,22.9,52.3,77.9,59.9,16.8,7.0,15.2,10.1,14.1,10.7,11.6,14.5,313.0,(5.1),,307.9
Total PICA Other Governments,25.8,37.2,29.7,17.2,41.8,13.1,62.7,29.5,54.3,44.7,44.4,41.0,441.3,0.0,,441.3
Interfund Transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,30.5,,32.9,63.4
Total Current Revenue,310.7,322.5,318.8,320.3,267.9,250.9,432.8,556.4,466.9,556.2,326.4,313.2,4443.0,0.1,32.9,4455.7
Collection of prior year(s) revenue Other fund balance adjustments,40.9,0.2,12.5,(2.8),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.8,,,
TOTAL CASH RECEIPTS,351.6,322.6,331.4,317.6,267.9,250.9,432.8,556.4,466.9,556.2,326.4,313.2,4493.8,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Payable,brances,Obligations
EXPENSES AND OBLIGATIONS Payroll,69.7,172.3,133.4,127.2,135.9,121.6,179.9,134.5,127.5,127.5,139.4,131.9,1600.7,72.5,3.5,1676.7
Employee Benefits,45.8,36.2,65.6,33.7,42.2,46.2,47.0,50.5,69.9,50.5,55.1,52.0,594.7,20.8,"0,5",616.0
Pension,3.7,(6.5),4.8,64.2,(6.0),(2.5),(6.5),(5.6),511.9,95.0,(3.1),(2.6),646.8,36.6,,683.4
Purchase of Services,42.6,50.8,76.3,89.1,61.0,48.2,61.3,63.5,79.5,80.5,59.9,78.6,791.3,23.8,124.7,939.9
"Materials, Equipment",3.0,3.8,8.5,6.8,5.3,6.1,6.9,6.8,7.8,9.0,8.6,8.9,81.6,4.0,22.4,108.0
"Contributions, Indemnities",14.3,5.0,10.2,8.8,11.5,5.0,5.5,3.5,9.9,5.7,108.5,8.1,196.0,,,196.0
Debt Service-Short Term,0.0,0.1,0.1,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,4.6,5.3,,,5.3
Debt Service-Long Term,96.1,0.5,0.0,0.6,9.2,7.4,31.2,4.3,0.5,0.0,0.0,2.2,152.1,,,152.1
Interfund Charges,"0,4","0,0","0,0",0.0,0.0,0.0,"0,0",1.8,0.0,0.1,0.9,5.9,9.0,27.0,,36.0
Advances & Misc. Pmts. / Labor Obligations,"0,0","0,0","0,0",0.0,0.0,"0,0","0,0",10.2,10.2,10.2,10.2,10.2,"50,9",,,50.9
Current Year Appropriation,275.5,262.2,298.9,330.4,259.2,232.1,325.6,269.5,817.2,378.6,379.5,299.8,4128.4,184.7,151.2,4464.3
Prior Yr. Expenditures against Encumbrances,38.3,25.3,19.3,9.0,6.7,3.4,4.3,6.4,5.9,2.7,1.0,2.0,124.3,,,
Prior Yr. Salaries & Vouchers Payable,77.4,(24.5),(9.5),89.8,31.0,5.8,(26.1),26.1,0.0,0.0,0.0,0.0,170.1,,,
,,,,,,,,,,,,,,,,
TOTAL DISBURSEMENTS,391.2,263.0,308.8,429.2,296.8,241.2,303.9,301.9,823.1,381.3,380.5,301.7,4422.8,,,
,,,,,,,,,,,,,,,,
Excess (Def) of Receipts over Disbursements,(39.6),59.6,22.6,(111.7),(28.9),9.7,128.9,254.4,(356.2),174.9,(54.2),11.5,,,,
Opening Balance,533.9,494.3,553.9,576.5,464.8,435.9,570.6,699.5,953.9,597.8,772.6,593.5,,,,
TRAN,0.0,0.0,0.0,0.0,"0,0",125.0,0.0,0.0,0.0,0.0,(125.0),0.0,,,,
,,,,,,,,,,,,,,,,
CLOSING BALANCE,494.3,553.9,576.5,464.8,435.9,570.6,699.5,953.9,597.8,772.6,593.5,605.0,,,,
