0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,(Amounts in,$millions),,,,,,,,,Under,Current
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,Mar 31,April 30,May 31,June 30,Total,Accrued,,(Over),Revenues
REVENUES,,,,,,,,,,,,,,,,,
Property Taxes,5.9,7.0,5.2,3.9,4.5,13.5,34.0,"195,7",95.7,22.4,"15,8",9.8,413.4,0.0,,0.0,413.4
"Wage, Earnings, NP Tax",95.8,99.8,"76,1",90.2,98.9,84.8,105.4,86.0,94.4,95.8,107.3,"96,9","1,131.4",,,"0,0","1,131.4"
Realty Transfer Tax,10.9,9.7,"9,8",8.9,9.1,12.6,9.0,"6,6","9,1",9.7,9.5,9.8,114.7,,,"0,0",114.7
Sales Tax,10.0,11.9,9.9,9.4,10.7,15.5,18.2,22.3,19.8,16.4,22.0,21.3,"187,3",20.0,,0.0,207.3
Business Privilege Tax,5.0,8.1,8.5,"8,5",(7.5),8.8,6.7,5.8,18.5,141.9,"137,8",34.6,376.7,,,"0,0",376.7
Other Taxes,7.8,9.5,7.2,6.6,9.4,7.9,6.6,8.1,5.5,"10,0",7.8,8.3,94.7,,,0.0,94.7
Locally Generated Non-tax,18.4,19.8,16.7,18.0,18.8,20.1,19.9,"19,0",23.4,18.1,23.6,35.9,"251,9","0,0",,"0,0",251.9
Other Governments,4.0,54.8,"56,6","164,0",24.6,"13,6",17.5,69.5,70.0,87.3,50.9,75.3,"688,1",167.6,,"0,0",855.7
Other Governments-PICA,25.0,19.9,16.4,25.3,"26,6",20.2,44.0,25.5,35.0,23.3,29.8,16.2,307.2,6.0,,"0,0",313.2
Interfund Transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.9,0.6,2.0,5.7,27.2,,"0,0",32.9
Total Current Revenue,182.8,"240,5",206.4,334.8,195.1,"197,0",261.3,"439,6",372.4,425.9,405.1,310.0,"3,571.1",220.8,,(0.0),"3,791.9"
,,,,,,,,,,,,,,,,,
Collection of 6-30-09/Govt.,14.5,"84,7",0.0,0.0,0.0,0.0,0.0,"0,0",0.0,"0,0",0.0,0.0,99.2,0.0,,,
Other Fund Balance Adj.,0.0,0.0,"15,0",,,,,,,,,"0,0",15.0,,,,
Non-revenue receipts Non-budget items,,,,,,,,,,,,,"0,0 0.0",,,,
TOTAL CASH RECEIPTS,197.3,325.2,221.4,"334,8",195.1,197.0,261.3,439.6,372.4,425.9,405.1,"310,0","3,685.2",,,,
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,V.P.,Encum- brances,Mergers,Budget Obliga- tions
Payroll,87.6,106.0,112.7,104.1,103.9,155.5,104.7,105.4,124.7,105.4,"105,4","131,8","1,347.3","28,9",0.0,0.0,"1,376.2"
Employee Benefits,39.1,41.1,40.2,41.2,42.4,36.1,"36,3",39.2,39.9,36.2,"37,3",36.5,"465,4","19,7",0.0,"0,0",485.1
Pension,3.7,(2.8),13.4,49.2,(2.8),1.7,(2.7),"0,0",203.7,"86,7",0.0,"0,0",350.1,0.0,,"0,0",350.1
Purchase of Services,22.2,"29,6",92.6,"129,4","101,7","90,5",79.2,87.0,102.9,"86,8","86,7",70.1,978.8,41.0,130.0,"0,0","1,149.8"
"Materials, Equipment",1.5,1.5,5.9,6.2,4.1,3.1,6.9,7.0,8.2,8.8,8.0,7.1,68.3,4.8,4.0,0.0,77.1
"Contributions, Indemnities",5.7,0.5,11.5,9.8,2.4,10.7,2.6,6.0,8.4,11.0,"28,0","27,5",124.1,4.0,"0,0",0.0,128.1
Debt Service-Short Term,0.0,0.0,0.0,0.0,0.0,"0,0",0.0,"0,0","0,0","0,0","0,0","5,0",5.0,,,"0,0",5.0
Debt Service-Long Term,8.5,29.7,0.0,5.0,5.7,6.4,16.8,7.3,3.4,6.2,8.7,5.2,102.9,0.0,"0,0",0.0,102.9
Interfund Charges,0.3,0.5,0.0,0.0,0.0,0.0,0.0,"0,0",0.0,0.0,"0,0",1.4,2.2,26.3,0.0,0.0,28.5
"Advances, Subsidies","0,0",24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,"25,0",0.0,,0.0,25.0
Current Year Appropriation,168.6,230.3,"276,3","344,9",257.4,"304,0",243.8,251.9,491.4,341.1,274.1,285.4,"3,469.2",124.7,"134,0","0,0","3,727.8"
Prior Year Encumbrances,46.1,0.0,16.5,36.6,4.9,"16,6",2.8,6.2,5.9,5.0,5.6,2.9,"149,1",0.0,0.0,0.0,161.3
Prior Year Vouchers Payable,50.2,13.0,0.0,"0,0","0,0",0.0,"0,0","0,0",0.0,"0,0","0,0",0.0,63.2,124.7,134.0,,
TOTAL DISBURSEMENTS,264.9,243.3,292.8,"381,5",262.3,320.6,246.6,258. 1,497.2,346.1,279.7,"288,3","3,681.5",,,,
Excess (Def) of Receipts,,,,,,,,,,,,,,,,,
over Disbursements,(67.6),81.9,(71.4),(46.7),(67.2),(123.6),14.7,"181,5",(124.8),79.8,125.3,21.8,3.6,,,,
Opening Balance,7.8,(59.8),22.1,220.7,174.0,111.8,(11.8),"2,9",184.4,"59,6",139.4,(10.3),7.8,,,,
TRANS,0.0,"0,0",270.0,0.0,5.0,0.0,"0,0",0.0,0.0,0.0,(275.0),0.0,0.0,,,,
,,,,,,,,,,,,,,,,,
CLOSING BALANCE,(59.8),22.1,220.7,174.0,111.8,(11.8),2.9,184.4,"59,6",139.4,(10.3),11.4,11.4,,,,
