0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,342.1,401.0,372.5,476.2,477.8,433.4,528.9,798.3,507.2,729.8,500.7,472.5
Grants Revenue,(123.7),(63.2),(55.9),(116.6),(180.8),(271.3),(246.3),(299.3),(367.9),(353.6),(212.1),(119.4)
Community Development,(4.1),(3.4),(4.7),(1.6),(4.4),(5.4),(5.3),(8.3),(2.2),2.6,(2.7),(6.4)
Vehicle Rental Tax,6.4,7.0,1.6,2.1,2.6,3.0,3.4,3.7,4.1,4.5,5.7,6.1
Hospital Assessment Fund,11.2,26.5,34.0,12.6,12.5,15.1,14.3,13.5,20.0,13.7,26.2,12.4
Housing Trust Fund,25.9,26.8,27.7,28.7,29.4,30.1,30.0,30.3,30.7,31.0,19.3,18.2
Other Funds,8.7,9.0,7.8,7.9,7.9,7.6,7.5,7.5,7.0,7.2,13.5,19.3
TOTAL OPERATING FUNDS,266.5,403.7,383.1,409.4,345.0,212.5,332.4,545.7,198.9,435.1,350.5,402.8
Capital Improvement,114.2,114.6,105.2,98.5,89.6,78.6,71.0,61.5,54.4,51.3,41.8,32.3
Industrial & Commercial Dev.,5.1,5.1,5.4,5.4,5.4,5.4,5.4,5.4,9.6,9.6,9.6,9.6
TOTAL CAPITAL FUNDS,119.3,119.7,110.7,104.0,95.0,84.0,76.4,66.9,64.0,60.9,51.4,41.9
TOTAL FUND EQUITY,385.8,523.4,493.7,513.3,440.0,296.5,408.8,612.7,262.9,496.0,402.0,444.7
