0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,268.3,213.0,270.2,222.7,144.2,351.8,378.3,624.7,288.4,374.3,298.3,252.6
Grants Revenue,(80.8),34.0,41.6,(8.6),(69.9),(122.8),(140.3),(185.5),(130.1),(162.0),(198.3),(127.7)
Community Development,(7.6),(5.1),(4.4),2.6,(4.1),(2.8),(4.6),(4.5),(4.4),(4.3),(6.5),(7.1)
Vehicle Rental Tax,6.4,7.0,7.5,7.9,5.1,5.5,5.8,6.2,5.0,5.5,4.9,5.3
Hospital Assessment Fund,10.3,9.6,11.4,10.8,5.5,7.4,7.5,7.2,16.5,8.7,26.3,16.6
Housing Trust Fund,12.2,12.5,13.0,13.6,15.8,14.7,14.3,14.4,13.9,13.4,13.3,13.7
Other Funds,25.2,30.9,28.3,39.3,21.4,23.6,11.3,20.5,5.5,11.9,11.3,21.8
TOTAL OPERATING FUNDS,234.1,301.8,367.6,288.3,118.0,277.4,272.3,483.0,194.8,247.5,149.3,175.2
Capital Improvement,96.8,91.5,90.1,74.6,67.6,60.6,53.6,46.6,39.6,32.6,25.6,18.6
Industrial & Commercial Dev.,3.8,3.8,3.8,4.1,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.6
TOTAL CAPITAL FUNDS,100.6,95.3,93.9,78.7,71.1,64.1,57.1,50.1,43.1,36.1,29.1,22.2
TOTAL FUND EQUITY,334.7,397.1,461.5,367.0,189.2,341.5,329.4,533.1,237.9,283.6,178.5,197.4
