0,1,2,3,4,5,6,7,8,9,10,11,12
"Projection as September 30, 2021",July 31,Aug 31,Sept 30,Oct 31,Nov 30,Amounts in Dec 31,Millions Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,707.4,833.3,792.9,596.7,521.6,410.3,409.4,628.3,390.7,760.3,794.7,798.8
Grants Revenue,833.6,945.8,882.2,880.8,640.1,587.7,652.3,509.7,469.7,594.7,1241.3,1149.2
Community Development,(3.7),(6.3),(3.5),(13.8),(4.2),(6.5),(8.1),(4.9),(3.8),1.4,2.0,(6.7)
Vehicle Rental Tax,8.4,9.1,2.9,3.6,4.3,5.0,5.7,6.4,7.1,7.8,8.5,9.2
Hospital Assessment Fund,14.8,17.6,27.7,15.3,15.0,32.1,17.2,16.2,22.5,17.2,43.7,19.2
Housing Trust Fund,83.0,80.9,80.2,78.1,76.0,73.9,71.8,69.7,67.6,65.5,63.4,61.3
Budget Stabilization Fund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Funds,10.8,10.8,10.6,10.5,10.3,10.2,10.0,9.9,9.7,9.6,9.4,9.3
TOTAL OPERATING FUNDS,1654.2,1891.3,1793.0,1571.1,1263.0,1112.6,1158.2,1235.2,963.5,1456.4,2162.9,2040.2
Capital Improvement,125.2,488.1,462.4,456.6,447.1,437.6,428.1,418.6,409.1,399.6,390.1,380.6
Industrial & Commercial Dev.,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2
TOTAL CAPITAL FUNDS,135.5,498.4,472.6,466.9,457.4,447.9,438.4,428.9,419.4,409.9,400.4,390.9
,,,,,,,,,,,,
TOTAL FUND EQUITY,1789.7,2389.6,2265.6,2037.9,1720.4,1560.5,1596.5,1664.0,1382.8,1866.3,2563.3,2431.1
