0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Actual Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,Estimate April 30,May 31,June 30
General,308.6,366.7,351.6,365.1,331.4,285.1,257.6,402.5,413.7,545.3,306.8,274.2
Grants Revenue,150.7,58.2,26.6,47.6,47.7,37.6,100.0,85.0,55.0,50.0,20.0,20.0
Community Development,(20.6),8.3,12.5,11.6,10.8,12.7,3.0,(3.0),(3.0),(3.0),(3.0),"0,0"
Vehicle Rental Tax,5.1,5.5,5.9,3.9,4.4,4.8,5.2,5.6,6.0,3.5,3.9,4.3
Other Funds,7.0,10.7,14.3,11.2,11.2,14.3,11.0,11.0,11.0,11.0,9.0,9.0
TOTAL OPERATING FUNDS,450.8,449.4,410.9,439.4,"405,5",354.5,376.8,501.1,482.7,606.8,336.7,307.5
Capital Improvement,225.0,218.8,210.7,202.0,193.7,187.3,179.3,171.3,163.3,155.3,147.3,139.3
Industrial & Commercial Dev.,3.6,3.7,3.7,4.9,3.9,3.9,3.4,"4,0",4.0,4.0,4.0,4.0
TOTAL CAPITAL FUNDS,228.6,222.5,214.4,206.9,197.6,191.2,182.7,175.3,167.3,159.3,151.3,143.3
TOTAL FUND EQUITY,679.4,671.9,625.3,"646,3","603,1",545.7,559.5,676.4,650.0,766.1,488.0,450.8
