0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued,Estimated Revenues,
REVENUES,,,,,,,,,,,,,,,,
Real Estate Tax,4.1,8.6,3.7,4.0,4.1,11.5,40.4,243.3,120.1,28.2,10.2,10.5,488.7,,488.7,
"Total Wage, Earnings, Net Profits",91.4,109.7,78.8,92.9,100.4,89.9,111.7,91.0,99.2,101.1,111.7,89.2,1167.0,,1167.0,
Realty Transfer Tax,19.7,12.5,7.5,7.9,9.3,9.6,9.5,6.0,8.6,9.3,10.0,10.0,119.8,,119.8,
Sales Tax,21.4,23.4,20.7,19.4,21.3,18.6,"18,4",23.4,19.5,19.6,21.5,20.3,247.5,,247.5,
Business Privilege Tax,2.4,13.0,11.4,8.4,(0.7),9.2,5.0,5.4,17.3,130.1,127.1,32.2,360.8,,360.8,
Other Taxes,7.7,12.4,9.9,6.2,7.7,7.7,5.8,8.4,4.7,10.9,7.8,8.5,97.7,,97.7,
Locally Generated Non-tax,20.5,21.2,19.6,13.8,24.9,22.1,24.5,21.4,28.0,22.4,26.8,29.6,274.8,,274.8,
Total Other Governments,0.2,101.0,91.8,114.6,13.4,22.3,17.0,4.8,152.4,13.9,28.1,149.3,708.8,137.0,845.8,
Total PICA Other Governments,15.7,26.2,8.1,25.2,21.0,"10,1",35.9,27.2,29.3,23.4,34.6,22.5,279.2,,279.2,
Interfund Transfers,8.4,0.2,"0,1",1.1,0.2,0.0,0.2,0.2,0.2,0.2,0.2,1.6,12.6,39.6,52.2,
Total Current Revenue,191.5,328.2,251.6,293.5,201.6,201.0,268.3,"431,0",479.2,359.0,378.1,373.8,3756.8,176.6,3933.5,
,,,,,,,,,,,,,,,,
Collection of prior year(s) revenue,112.2,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.2,,,
Other fund balance adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
TOTAL CASH RECEIPTS,"303,7",385.2,251.6,293.5,201.6,201.0,268.3,431.0,479.2,359.0,378.1,373.8,3926.0,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Vouchers Payable,Encum- brances,Estimated Obligations
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,,,
Payroll,83.2,110.2,113.9,104.2,"103,5",142.2,104.6,99.1,107.0,99.1,100.1,147.1,1314.2,48.5,0.0,1362.7
Employee Benefits,40.0,34.0,42.4,41.4,40.9,43.8,42.6,36.7,40.3,36.5,37.7,36.1,472.4,15.0,0.0,487.4
Pension,3.7,(3.4),10.9,51.8,(3.2),1.2,3.7,0.0,327.1,100.7,0.0,0.0,492.5,0.0,0.0,492.5
Purchase of Services,52.9,68.2,63.1,66.6,93.3,97.0,88.8,87.9,108.4,90.0,96.4,77.5,990.0,30.0,130.0,1150.0
"Materials, Equipment",1.9,4.2,7.6,5.0,5.5,4.4,6.1,7.3,8.1,7.1,6.9,6.2,70.3,4.8,4.0,79.1
"Contributions, Indemnities",15.1,5.1,3.4,8.9,2.2,9.9,1.5,4.7,7.1,9.3,25.8,12.4,"105,4",4.0,0.0,109.4
Debt Service-Short Term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,"11,0",0.0,0.0,11.0
Debt Service-Long Term,34.7,1.1,11.1,"0,6",5.6,5.9,5.1,21.7,1.2,0.6,13.0,9.8,110.4,"0,0",0.0,110.4
Interfund Charges,2.5,0.0,0.0,0.0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,0.0,2.5,25.5,0.0,28.0
"Advances, Subsidies",0.0,0.0,0.0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current Year Appropriation,234.0,219.4,252.4,278.5,247.8,304.4,252.3,257.3,"599,3",343.2,279.9,300.2,3568.7,127.8,134.0,3830.5
Prior Year Encumbrances,51.9,31.1,8.8,5.1,1.9,2.1,6.8,2.7,4.9,4.2,2.7,2.4,124.5,,,
Prior Year Vouchers Payable,55.2,"45,9",(1.1),(0.9),(0.9),0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.2,,,
TOTAL DISBURSEMENTS,341.1,296.4,"260,1",282.7,248.8,306.5,259.1,260.0,604.1,347.4,282.6,302.6,3791.4,,,
Disbursements,(37.4),88.8,(8.5),10.8,(47.2),(105.5),9.1,171.0,(124.9),11.6,"95,5",71.3,,,,
Opening Balance,(30.6),217.0,305.8,297.3,308.1,260.9,155.4,164.5,"335,6",210.6,222.3,32.7,,,,
TRANS,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(285.0),0.0,,,,
CLOSING BALANCE,217.0,305.8,297.3,308.1,260.9,155.4,164.5,335.6,210.6,222.3,32.7,104.0,,,,
