0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
REVENUES,July 31,Aug 31,Sept 30,Oct 31,Nov 30,(Amounts in Dee 31,$millions) Jan 31,Feb 28,Mar 31,April 30,May 31,June 30,Total,Accrued,,Under (Over),Budget Revenues
Property Taxes,9.1,7.4,5.4,7.2,4.9,13.3,34.3,201.1,79.7,18.4,6.5,7.4,394.5,,,0.0,394.5
"Wage. Earnings, NP Tax","95,9",105.8,69.9,98.1,103.6,92.0,119.1,88.0,114.6,103.1,114.4,93.4,"1,215.8",,,0.0,"1,215.8"
Realty Transfer Tax,21.6,20.6,15.8,18.2,12.4,14.4,"16,5",11.4,14.4,13.7,20.5,17.4,"197,0",,,8.0,"205,0"
Sales Tax,12.0,10.7,11.3,9.3,13.2,11.0,12.0,12.4,10.2,10.7,12.1,11.2,135.9,,,0.0,135.9
Business Privilege Tax,7.4,3.3,14.2,(1.0),(4.1),1.6,14.5,30.1,25.3,176.7,146.4,23.8,438.2,,,0.0,438.2
Other Taxes,5.2,7.5,6.0,"6,4",5.9,4.9,4.8,6.5,5.5,8.3,5.6,4.7,71.2,,,(2.0),69.2
Locally Generated Non-tax,18.0,22.5,19.1,16.9,23.6,41.5,23.2,13.5,20.2,18.3,17.8,35.3,269.7,,,5.1,274.8
Other Governments,4.1,137.1,6.4,180.9,9.2,13.2,"31,1",51.2,54.9,53.7,98.2,50.0,687.8,106.8,,(4.6),790.0
Other Governments-PICA,18.8,33.1,14.7,26.2,15.7,17.9,33.3,27.0,18.7,11.7,27.8,13.0,257.7,4.2,,0.1,262.0
Interfund Transfers,0.0,0.0,0.9,0.4,0.5,0.5,0.4,0.5,0.6,0.5,0.5,23.7,28.5,,,(3.8),24.7
Total Current Revenue,192.1,348.0,183.7,380.8,"184,9",210.3,289.1,441.5,"344,1",415.1,"447,3",280.0,"3,696.3","111,0",,2.8,"3,810,1"
Collection of 6-30-07/Govt.,49.3,,,,,,,,,,,,,,,,
Other Fund Balance Adj. Non-revenue receipts Non-budget items,7.9,31.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 (7.0),"90.3 0.9 0,0 0.0",0.0,,,
TOTAL CASH RECEIPTS,249.3,379.0,193.7,360.6,"184,9",210.3,289.1,441.5,344.1,415.1,447.3,273.0,"3,787.9",,,,
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,V.P.,Encum- brances,Mergers,Budget Obliga- tions
Payroil,60.0,151.2,105.8,115.8,105.1,101.8,155.0,102.4,104.3,94.8,112.9,160.4,"1,369.5",12.5,0.0,(11.6),"1,370.4"
Employee Benefits,37.7,45.2,"35,8",51.6,38.4,64.7,49.3,38.3,41.7,34.2,36.7,31.0,504.6,29.1,0.7,(22.7),"511,7"
Pension,3.7,363.0,(2.6),16.5,(2.1),(2.6),0.4,(2.7),(2.6),55.9,(2.7),12.5,436.7,,,0.0,436.7
Purchase of Services,23.9,73.0,82.6,89.7,109.3,97.2,"99,9",67.3,95.3,81.2,109.1,87.2,"1,015.7",20.2,157.4,(0.1),"1,193.2"
"Materiais, Equipment",5.8,"6,5",6.8,6.0,5.6,8.5,5.6,6.4,6.3,5.7,6.3,2.6,72.1,4.8,17.3,(3.8),90.4
"Contributions, Indemnities",16.1,5.3,7.8,2.4,0.1,6.2,0.7,5.3,1.6,8.2,40.5,18.7,112.9,2.0,0.0,(0.5),"114,4"
Debt Service-Short Term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,,,2.0,10.0
Debt Service-Long Term,6.1,2.3,18.8,0.4,7.2,2.3,"7,0",9.9,19.1,3.7,14.7,2.0,93.4,,,(4.3),89.1
Interfund Charges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1.4),0.0,0.0,32.2,30.9,,,0.0,"30,9"
"Advances, Subsidies",32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,,,,32.3
Current Year Appropriation,"185,6",646.5,255.0,282.4,"263,6",278.1,317.9,226.8,264.4,283.6,317.5,"354,7","3,676.2",69.6,"175,4",(41.0),"3,879,1"
Prior Year Encumbrances,60.3,37.7,12.3,11.5,8.0,21.5,4.5,4.8,4.7,5.3,4.3,4.5,179.4,0.3,47.0,"24,5",0.0
Prtor Year Vouchers Payable,67.9,46.3,11.9,1.0,0.0,,,,,,,,127.1,"68,9",222.5,,
TOTAL DISBURSEMENTS,"313,9",730.5,279.2,294.9,271.6,299.6,322.4,231.8,269.0,288.9,321.8,359.3,"3,982.7",,,,
Excess (Def) of Receipts,,,,,,,,,,,,,,,,,
over Disbursements,(64.6),(351.5),(85.5),65.7,(86.7),(89.3),(33.3),"209,9",75.1,126.2,125.5,(86.3),(194.8),,,,
Opaning Bafance TRANS,505.8,441.2,289.7,204.3,270.0,183.3,"94,0",60.7,270.6,345.7,471.8,397.3,505.8,,,,
,,200.0,,,,,,,,,(200.0),,0.0,,,,
CLOSING BALANCE,441.2,"289,7",204.3,270.0,183.3,94.0,60.7,270.6,345.7,"471,8","397,3","311,0",311.0,,,,
