0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued,,Estimated Revenues
REVENUES Real Estate Tax,7.3,7.3,5.9,5.5,5.3,14.8,39.4,244.7,119.5,22.6,9.7,9.4,491.5,,,491.5
"Total Wage, Earnings, Net Profits",89.4,111.3,85.2,102.3,97.6,90.1,112.4,91.6,105.4,99.1,104.5,91.7,1180.5,,,"1180,5"
Realty Transfer Tax,"10,2",13.9,11.9,9.3,7.5,8.7,9.4,6.0,7.9,9.6,10.3,11.2,115.9,,,115.9
Sales Tax,19.4,22.0,20.3,19.4,21.5,20.5,20.3,23.9,18.4,20.1,23.0,21.5,250.2,,,250.2
Business Income & Receipts Tax,3.6,3.6,9.7,"9,5",(0.9),(0.0),12.8,5.6,35.7,164.8,119.8,22.2,386.4,,,"386,4"
Other Taxes,8.2,9.7,6.6,6.7,7.3,7.1,6.5,6.9,7.8,13.5,"8,6",8.2,97.2,,,97.2
Locally Generated Non-tax,19.4,22.8,16.9,17.5,25.7,22.4,19.6,28.3,23.3,20.3,23.5,25.7,265.3,,,265.3
Total Other Governments,3.7,53.2,98.3,69.1,4.6,"17,4",19.6,8.5,"10,8",38.2,5.5,30.0,358.9,36.5,,"395,4"
Total PICA Other Governments,26.0,21.4,22.6,21.6,23.1,25.4,22.2,22.8,23.4,27.9,27.8,25.7,289.8,,,289.8
Interfund Transfers,8.4,0.0,0.1,0.0,0.0,"0,0","0,0",0.9,1.1,2.2,1.2,11.1,25.0,20.3,,"45,3"
Total Current Revenue,195.6,265.1,277.5,260.8,191.7,206.4,262.2,439.2,353.2,418.3,333.8,256.8,3460.5,56.7,,3517.2
,,,,,,,,,,,,,,,,
Collection of prior year(s) revenue,18.7,122.0,1.0,10.5,0.0,0.0,"0,0",0.0,0.0,0.0,0.0,0.0,152.1,,,
Other fund balance adjustments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TOTAL CASH RECEIPTS,214.3,387.1,278.6,"271,3",191.7,206.4,262.2,439.2,353.2,418.3,333.8,256.8,3612.6,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Vouchers Payable,Encum- brances,Estimated Obligations
EXPENSES AND OBLIGATIONS Payroll,73.7,111.6,99.0,99.2,136.1,96.3,103.8,117.3,109.4,109.4,111.0,117.6,1284.5,54.2,,1338.7
Employee Benefits,38.1,"39,5",36.4,39.0,41.2,"36,6","40,0",39.9,36.6,36.7,37.5,39.8,461.2,12.4,,"473,6"
Pension,3.7,(6.3),6.6,82.4,(4.4),(0.6),(6.0),"0,0",377.9,101.1,0.0,0.0,"554,3",,,554.3
Purchase of Services,53.1,46.2,51.3,74.4,"47,5",45.4,39.9,55.2,74.5,81.1,47.8,48.1,664.6,22.8,67.2,754.7
"Materials, Equipment",2.0,5.7,8.9,5.2,6.1,4.6,6.2,4.5,4.9,5.4,5.3,5.2,64.0,4.0,13.3,"81,4"
"Contributions, Indemnities",11.0,7.8,8.7,1.8,5.2,12.0,3.1,3.2,3.1,3.2,49.2,3.1,111.4,5.2,,116.7
Debt Service-Short Term,0.0,0.0,"0,0",0.0,"0,0",0.0,"0,0","0,0","0,0",0.0,0.0,4.0,4.0,,,4.0
Debt Service-Long Term,53.1,"7,7",0.0,"0,4",6.1,5.4,30.7,8.3,0.4,0.8,"0,4",6.5,119.7,,,119.7
Interfund Charges,0.5,0.0,0.0,0.0,0.0,0.0,0.0,"0,0",0.0,0.0,"0,0",4.5,5.0,22.1,,27.1
"Advances, Subsidies","0,0",0.0,0.0,0.0,"0,0",0.0,0.0,0.0,4.0,0.0,"0,0","0,0",4.0,,,"4,0"
Current Year Appropriation,235.2,212.2,211.0,"302,3",237.7,"199,6",217.8,228.5,610.8,337.8,251.2,228.8,3272.9,"120,7",80.5,3474.1
Prior Yr. Expenditures against Encumbrances,39.6,22.9,13.7,6.2,3.4,1.4,1.2,8.7,7.0,6.8,5.9,5.6,122.3,,,
Prior Yr. Salaries & Vouchers Payable,67.0,(5.0),3.0,39.3,(53.9),49.9,(32.7),28.1,"0,0","0,0","0,0",0.0,95.8,,,
TOTAL DISBURSEMENTS,341.9,230.1,227.7,347.8,187.2,250.9,186.3,265.3,617.8,344.5,257.1,234.4,3491.0,,,
Excess (Def) of Receipts over Disbursements,(127.6),157.0,50.9,(76.5),4.5,(44.6),75.9,173.9,(264.6),"73,7",76.6,22.4,,,,
Opening Balance,108.9,(18.7),138.3,189.2,"112,7",117.2,245.7,321.5,495.4,230.8,304.6,208.2,,,,
TRANS,0.0,0.0,0.0,"0,0","0,0",173.0,"0,0","0,0","0,0","0,0",(173.0),0.0,,,,
,,,,,,,,,,,,,,,,
CLOSING BALANCE,(18.7),138.3,189.2,112.7,117.2,245.7,"321,5","495,4",230.8,304.6,208.2,"230,6",,,,
