0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,(Amounts In Dec 31,Smillions) Jan 31,Fab 28,Mar 31,April 30,May 31,June 30,Total,Accrued,,(Over),Revenuss
REVENUES Property Taxes,9.1,"7,4",5.4,6.4,5.9,13.7,34.3,201.7,79.7,18.4,6.5,6.1,394.5,,,0.0,394.5
"Wags, Earnings, NP Tax",95.9,"105,6",89.9,105.5,114.9,106.4,"121,1",79.8,111.6,100.1,100.4,"84,4","1,215.B",,,"0,0","1,215,8"
Realty Transfer Tax,21.6,20.6,15.8,15.5,16.6,17.8,19.8,11.8,15.0,14.3,19.1,17.2,205.0,,,0.0,205.0
Sales Tax,"12,0",10.7,11.3,11.6,12.2,11.2,10.3,12.4,10.2,10.7,12.1,11.2,135.9,,,0.0,135.9
Businase Privilaga Tax,7.4,3.3,14.2,19.0,1.2,15.3,8.2,1.4,23.8,176.7,"146,4",21.3,438.2,,,0.0,438.2
Other Taxes,5.2,7.5,6.0,4.9,"3,1",5.2,6.3,"5,3",5.4,9.0,6.4,4.8,69.2,,,0.0,"69,2"
Locally Generated Non-tax,18.0,"22,5",19.1,20.8,18.1,21.0,25.6,19.4,26.8,17.6,19.1,48.8,274.8,,,"0,0",274.8
Other Governments,4.1,137.1,6.4,99.1,20.4,17.5,30.9,"68,8","69,9","53,4",105.5,66.9,680.0,110.0,,"0,0",790.0
Other Governments-PICA,18.8,33.1,14.7,24.2,26.3,3.5,22.6,"37,7",25.2,9.7,28.2,13.8,257.8,4.2,,0.0,262.0
Interfund Transfers,0.0,"0,0",0.9,0.5,0.4,0.5,0.3,0.4,0.5,0.4,0.4,20.4,24.7,,,0.0,24.7
Total Current Revenue,192.1,348.0,183.7,307.7,219.2,212.2,279.3,438.6,368.0,410.4,444.0,292.9,"3,695.9",114.2,,0.0,"3,810.1"
,,,,,,,,,,,,,,,,,
Collection of 6-30-07/Govt.,49.3,31.0,10.0,0.0,0.0,"0,0",0.0,0.0,0.0,"0,0",0.0,0.0,90.3,0.0,,,
Other Fund Balance Adj.,"7,9",,,,,,,,,,,(7.0),0.9,,,,
Non-revenus receipts,,,,,,,,,,,,,0.0,,,,
Non-budget items,,,,,,,,,,,,,0.0,,,,
TOTAL CASH RECEIPTS,"249,3","379,0","193,7",307.7,219.2,212.2,"279,3",438.6,368.0,410.4,"444,0","285,9","3,787,3",,,,
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,V.P.,Encum- brances,Mergere,Budget Obliga- tions
Payroll,60.0,151.2,105.8,105.3,112.6,103.4,153.9,101.5,105.4,"95,0",113.0,151.0,"1,358.1",12.3,0.0,0.0,"1,370.4"
Employee Benefits,37.7,45.2,35.8,37.5,37.3,46.3,51.7,36.6,46.6,34.6,40.0,31.6,480.9,30.2,0.7,0.0,511.7
Pension,"3,7","363,0",(2.6),8.0,(2.1),(1.9),1.4,(1.7),(1.6),58.7,(1.7),13.5,"436,7",,,0.0,436.7
Purchase of Services,23.9,73.0,82.6,101.7,"79,4",81.5,99.9,67.3,107.3,83.2,123.1,"87,3","1,010.2",22.6,160.4,0.0,"1,193.2"
"Materiais, Equipment",5.8,6.5,6.8,4.7,5.6,5.4,5.4,6.1,6.8,6.4,6.1,2.5,68.2,4.7,17.5,0.0,90.4
"Contributions, Indemnitias",16.1,5.3,7.8,0.3,3.1,6.3,0.7,5.3,0.4,8.1,40.3,18.3,112.1,2.3,0.0,0.0,114.4
Debt Service-Short Term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,,,"0,0",10.0
Debt Service-Long Term,6.1,2.3,18.8,0.7,7.9,2.8,6.6,6.6,18.1,3.6,14.0,1.4,89.1,,,0.0,89.1
Interfund Charges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1.4),0.0,0.0,32.2,30.9,,,0.0,30.9
"Advances, Subsidies",32.3,"0,0",0.0,0.0,"0,0",0.0,0.0,0.0,"0,0",0.0,0.0,D.O,32.3,,,,32.3
Current Year Appropriation,185.6,646.5,255.0,"258,3",243.8,243.8,319.6,221.7,281.8,"289,7",334.8,347.9,"3,628.4",72.0,178.6,0.0,"3,879.1"
Prior Year Encumbrances,60.3,"37,7",12.3,8.0,"3,4",3.6,4.5,4.8,4.7,5.3,4.3,4.5,"153,5",0.3 72.3,47.0 225.6,20.0,220.8
Prior Year Vouchers Payable,67.9,46.3,11.9,0.8,0.3,,,,,,,,127.2,,,,
TOTAL DISBURSEMENTS,313.9,730.5,279.2,267.0,247.5,247.5,324.2,226.4,286.4,294.9,339.2,352.4,"3,909.1",,,,1
Excess (Daf) of Receipts,,,,,,,,,,,,,,,,,
over Disbursements,(64.6),(351.5),(85.5),40.7,(28.3),(35.3),(44.9),212.2,81.6,"115,5",104.8,(66.5),(121.6),,,,
Opaning Batance,505.8,441.3,289.8,204.3,244.9,216.6,"181,3",136.5,348.6,430.2,545.7,"450,5",505.8,,,,
TRANS,,200.0,,,,,,,,,(200.0),,0.0,,,,
,,,,,,,,,,,,,,,,,
CLOSING BALANCE,"441,3",289.8,204.3,"244,9",216.6,"181,3",136.5,348.6,430.2,545.7,450.5,384.0,"384,0",,,,
