0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,441.2,289.7,204.3,270.0,183.3,94.0,60.7,270.6,345.7,471.8,397.3,311.0
Grants Revenue,64.7,86.5,71.8,82.4,68.6,48.3,61.8,70.0,70.0,70.0,70.0,70.0
Community Development,(15.9),(5.3),(4.7),(8.8),(6.2),(4.6),(7.4),(7.0),(7.0),(7.0),(7.0),"0,0"
Vehicle Rental Tax,5.2,"5,7",3.8,4.2,4.8,5.2,5.6,6.0,6.4,4.3,4.7,5.1
Other Funds,8.2,10.1,8.8,11.4,15.8,11.0,11.8,9.0,9.0,9.0,9.0,9.0
TOTAL OPERATING FUNDS,"503,4",386.7,284.0,359.2,266.3,153.9,132.5,348.6,424.1,548.1,474.0,395.1
Capital Improvement,154.0,148.9,136.2,136.2,137.4,128.9,121.1,115.1,109.1,103.1,97.1,91.1
Industrial & Commercial Dev.,4.7,4.7,4.1,4.1,4.1,4.1,5.0,5.0,5.0,5.0,5.0,5.0
TOTAL CAPITAL FUNDS,158.7,153.6,140.3,140.3,141.5,133.0,126.1,120.1,114.1,108.1,102.1,96.1
TOTAL FUND EQUITY,662.1,540.3,"424,3","499,5",407.8,286.9,258.6,468.7,538.2,656.2,576.1,491.2
