0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,410.4,352.0,334.2,260.3,402.1,318.7,361.9,653.4,337.8,548.3,408.7,400.4
Grants Revenue,(117.0),(14.1),(64.8),(71.1),(105.7),(161.0),(183.6),(223.6),(272.7),(270.3),(168.0),(114.5)
Community Development,(3.1),(6.4),(2.5),(0.1),(3.5),(2.6),(7.9),(5.2),(5.1),(3.5),(4.2),(5.8)
Vehicle Rental Tax,7.3,7.8,2.4,2.8,3.4,3.7,4.0,4.3,4.7,5.2,5.6,6.1
Hospital Assessment Fund,12.4,12.1,46.0,12.7,12.5,18.6,9.6,9.4,45.5,10.3,32.6,11.2
Housing Trust Fund,18.6,18.5,18.8,19.4,19.8,24.0,18.2,17.8,18.1,18.1,18.6,19.0
Other Funds,15.3,11.4,17.2,14.5,35.1,27.7,14.4,17.8,6.3,6.5,6.3,6.6
TOTAL OPERATING FUNDS,343.8,381.2,351.3,238.5,363.6,229.2,216.7,474.0,134.7,314.6,299.5,323.1
Capital Improvement,146.2,137.7,124.6,119.6,113.2,103.2,92.6,84.6,76.4,69.4,50.5,41.9
Industrial & Commercial Dev.,4.1,4.1,4.1,4.1,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.5
TOTAL CAPITAL FUNDS,150.2,141.8,128.6,123.7,117.6,107.6,97.0,89.0,80.8,73.8,55.0,46.4
TOTAL FUND EQUITY,494.0,523.0,479.9,362.2,481.2,336.8,313.6,562.9,215.6,388.4,354.5,369.5
