0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued,Estimated Revenues,
REVENUES Real Estate Tax,8.2,7.4,7.1,6.9,6.1,13.0,39.2,293.4,110.6,26.9,7.6,6.8,533.2,,533.2,
"Total Wage, Earnings, Net Profits",111.4,90.4,94.8,115.9,96.7,97.6,134.8,98.4,106.6,140.0,92.2,91.2,1269.9,,1269.9,
Realty Transfer Tax,15.2,13.0,12.7,12.2,11.7,12.1,12.8,9.8,17.5,14.8,15.0,13.8,160.5,,160.5,
Sales Tax,21.6,23.6,21.4,21.2,22.7,21.0,20.5,26.7,19.6,19.2,24.0,23.4,264.9,,264.9,
Business Income & Receipts Tax,5.3,5.4,18.8,17.1,(3.3),7.1,9.8,4.4,51.0,236.8,104.2,4.8,461.3,,461.3,
Other Taxes,7.8,10.7,7.3,7.6,8.2,7.4,7.5,7.9,7.1,11.5,8.3,7.7,98.9,,98.9,
Locally Generated Non-tax,27.4,23.3,19.9,19.9,23.0,17.1,23.7,27.4,23.3,24.4,53.3,25.3,308.0,,308.0,
Total Other Governments,2.9,54.0,70.2,61.8,56.9,3.9,15.8,9.5,9.7,13.1,14.3,11.8,324.0,26.0,349.9,
Total PICA Other Governments,20.2,28.0,24.4,18.7,34.9,20.2,28.6,28.2,30.9,24.6,34.3,30.4,323.4,,323.4,
Interfund Transfers,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,28.4,38.5,66.9,
Total Current Revenue,220.0,264.3,276.5,281.3,256.9,199.4,292.7,505.6,376.3,511.3,367.1,221.1,3772.5,64.5,3837.0,
Collection of prior year(s) revenue,5.0,15.1,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1,,,
Other fund balance adjustments,,,,,,,,,,,,,,,,
TOTAL CASH RECEIPTS,224.9,279.4,276.5,297.4,256.9,199.4,292.7,505.6,376.3,511.3,367.1,221.1,3808.6,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Vouchers Payable,Encum- brances,Estimated Obligations
EXPENSES AND OBLIGATIONS Payroll,84.7,108.3,105.6,149.2,139.0,113.8,111.6,104.9,106.5,143.5,106.1,127.8,1401.0,52.0,,1453.0
Employee Benefits,34.0,42.6,41.0,76.8,49.5,35.2,41.5,37.3,56.2,47.8,38.0,41.5,541.4,17.7,,559.1
Pension,3.7,(5.0),4.7,56.2,(5.5),(3.6),(5.7),120.4,511.6,(2.5),(3.1),(3.6),667.5,,,667.5
Purchase of Services,35.1,60.7,58.2,75.2,63.0,50.1,47.9,64.9,62.3,64.7,56.9,58.0,696.8,23.7,79.1,799.6
"Materials, Equipment",2.6,4.6,8.3,5.9,4.9,4.8,6.5,4.7,6.4,6.6,10.9,9.0,75.1,4.7,16.9,96.7
"Contributions, Indemnities",16.6,3.0,11.0,5.4,90.3,38.2,3.7,5.4,8.9,4.9,17.9,3.0,208.2,1.2,,209.4
Debt Service-Short Term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,0","0,5",0.5,,,0.5
Debt Service-Long Term,8.2,64.0,0.1,0.0,5.5,17.0,22.4,(0.3),0.1,0.0,0.1,5.0,122.0,,,122.0
Interfund Charges/Payments to Other Funds,0.3,0.0,0.0,0.0,"0,0",0.0,0.0,"0,0",0.0,0.0,15.7,9.0,24.9,22.1,,47.0
Advances & Misc. Pmts. / Labor Obligations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,1.8,27.3,38.7,,,38.7
Current Year Appropriation,185.1,278.1,228.9,368.7,346.6,255.5,227.7,337.2,752.1,274.7,244.1,277.4,3776.2,121.4,95.9,3993.5
Prior Yr. Expenditures against Encumbrances,39.3,17.5,11.8,12.2,2.3,1.4,4.4,1.4,4.4,0.7,2.4,2.0,99.8,,,
Prior Yr. Salaries & Vouchers Payable,20.1,20.4,(19.3),25.4,20.2,(14.2),12.1,(14.9),(93.2),94.2,0.0,0.0,50.8,,,
TOTAL DISBURSEMENTS,244.4,316.0,221.5,406.2,369.2,242.6,244.3,323.7,663.3,369.6,246.5,279.4,3926.8,,,
Excess (Def) of Receipts over Disbursements,(19.5),(36.6),55.1,(108.8),(112.3),(43.2),48.4,181.9,(287.1),141.7,120.6,(58.3),,,,
Opening Balance,434.3,414.8,378.2,433.3,324.4,212.1,268.9,317.3,499.2,212.1,353.8,374.4,,,,
TRAN,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,(100.0),0.0,,,,
,,,,,,,,,,,,,,,,
CLOSING BALANCE,414.8,378.2,433.3,324.4,212.1,268.9,317.3,499.2,212.1,353.8,374.4,316.1,,,,
