0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Actual Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,I June 30
General,441.3,289.8,204.3,270.0,183.3,94.0,29.2,270.3,384.6,503.9,371.0,248.4
Grants Revenue,64.7,86.5,71.8,82.4,68.6,48.3,61.8,48.8,51.4,49.7,70.0,70.0
Community Development,(15.9),(5.3),(4.7),(8.8),(6.2),(4.6),(7.4),(4.5),1.3,(5.4),(7.0),0.0
Vehicle Rental Tax,5.2,5.7,3.8,4.2,4.8,5.2,5.6,6.0,3.4,4.3,4.7,5.1
Other Funds,8.2,"10,1",8.8,11.4,15.8,11.0,11.8,12.2,11.2,9.3,9.0,9.0
TOTAL OPERATING FUNDS,503.5,386.8,284.0,359.2,266.3,153.9,101.0,332.8,451.9,561.8,447.7,"332,5"
Capital Improvement,154.0,148.9,136.2,136.2,137.4,128.9,121.1,108.9,105.9,100.0,94.0,88.0
Industrial & Commercial Dev.,4.7,4.7,4.1,4.1,4.1,4.1,4.2,4.0,4.0,4.2,4.5,4.5
TOTAL CAPITAL FUNDS,158.7,153.6,140.3,140.3,141.5,133.0,125.3,112.9,109.9,104.2,98.5,92.5
TOTAL FUND EQUITY,662.2,540.4,424.3,499.5,407.8,286.9,226.3,445.7,561.8,666.0,546.2,425.0
