0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,(Amounts in Dec 31,$millions) Jan 31,Feb 28,Mar 31,April 30,May 31,June 30,Total,Accrued,,Under (Over),Budget Revenues
REVENUES Property Taxes,9.7,6.4,6.5,5.2,5.2,10.7,29.8,157.6,139.9,20.6,5.9,10.8,408.3,4.5,,0.0,412.8
"Wage, Earnings, NP Tax",99.6,103.7,85.0,85.9,107.1,87.4,102.1,105.2,90.6,89.9,100.3,82.3,"1,139.1",,,0.0,"1,139.1"
Realty Transfer Tax,14.8,16.7,12.6,10.0,6.7,8.9,8.9,5.4,7.3,7.5,7.5,5.9,112.2,-1.6,,0.0,110.6
Sales Tax,11.0,13.1,10.6,10.3,11.7,9.5,11.5,12.1,9.6,9.7,11.3,9.4,129.8,-1.8,,0.0,128.0
Business Privilege Tax,-1.3,3.7,15.4,7.6,-2.7,17.1,12.2,3.8,32.6,186.0,90.1,6.2,370.7,-5.0,,0.0,365.7
Other Taxes,6.3,9.1,7.2,7.6,9.5,6.4,7.6,5.8,6.4,10.5,8.2,5.7,90.3,,,0.0,90.3
Locally Generated Non-tax,18.5,23.7,39.7,14.0,20.7,15.2,17.3,"22,5",22.1,19.1,20.3,36.2,269.3,6.3,,0.0,275.6
Other Governments,46.0,65.2,73.9,80.9,19.0,20.3,21.0,122.0,19.6,58.0,105.3,60.4,691.6,118.0,,0.0,809.6
PICA Debt Service,-1.7,"0,0",-13.6,-5.5,-10.9,0.0,-10.2,-6.1,0.0,-10.7,-6.6,-5.3,-70.5,,,0.0,-70.5
PICA City Account,31.3,0.0,33.8,49.8,32.5,0.0,47.5,37.5,0.0,56.8,38.1,20.3,347.6,4.5,,0.0,352.1
Other Governments-PICA,"29,6",0.0,20.2,44.3,21.6,0.0,37.3,31.4,0.0,46.1,31.5,15.0,"277,1",4.5,,0.0,281.6
Interfund Transfers,0.4,0.4,43.7,"0,5","0,5",43.6,0.4,0.4,10.7,0.0,0.4,34.9,135.9,,,"0,0",135.9
Total Current Revenue,234.6,242.0,314.8,266.3,199.3,219.1,248.1,466.2,338.8,447.4,380.8,266.8,"3,624.3",124.9,,0.0,"3,749.2"
,,,,,,,,,,,,,,,,,
Collection of 6-30-08/Govt.,85.5,45.2,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.9,0.0,,,136.9
Other Fund Balance Adj.,-8.0,-8.0,0.0,,,,,,,,,0.0,-16.0,,,,
Non-revenue receipts Non-budget items,,,,,,,,,,,,,0.0 0.0,,,,
TOTAL CASH RECEIPTS,312.1,279.2,314.8,272.5,199.3,219.1,248.1,466.2,338.8,447.4,380.8,266.8,"3,745.1",,,,
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,V.P.,Encum- brances,Mergers,Revised Obliga- tions
Payroll,84.7,118.2,109.5,119.7,108.5,148.0,107.7,105.8,99.8,112.7,101.9,145.4,"1,361.9",58.9,"0,0",0.0,"1,420.8"
Employee Benefits,46.4,44.4,41.6,42.7,40.0,42.0,43.8,41.4,42.9,40.4,43.1,28.2,496.9,7.2,"0,0",0.0,504.1
Pension,3.7,(2.3),(2.9),15.0,388.9,(1.1),1.5,(2.1),(1.7),70.6,(1.7),(6.8),461.1,0.0,,0.0,461.1
Purchase of Services,26.6,36.5,96.5,"75,7",49.0,94.5,125.4,92.5,107.7,108.2,88.3,84.8,985.7,56.4,146.8,0.0,"1,188.9"
"Materials, Equipment",5.2,2.7,9.4,5.7,4.9,"7,4",7.0,4.2,5.3,5.9,4.4,12.8,74.9,7.0,5.3,0.0,87.2
"Contributions, Indemnities",13.9,2.7,9.5,4.6,2.5,9.2,3.4,7.5,9.4,2.1,2.7,58.7,126.2,4.0,0.0,0.0,130.2
Debt Service-Short Term,0.0,0.0,0.0,0.0,"0,0","0,0",0.0,0.0,0.0,"0,0",0.0,9.3,9.3,,,0.0,9.3
Debt Service-Long Term,16.1,4.5,10.2,0.1,8.3,5.5,13.4,9.0,8.1,0.0,18.1,5.7,99.0,0.0,"0,0",0.0,99.0
Interfund Charges,0.0,0.4,0.0,"0,0",0.0,0.0,0.0,0.0,0.0,"0,0","0,0",29.6,30.0,0.0,0.0,0.0,30.0
"Advances, Subsidies",0.0,"22,7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,0.0,,0.0,22.7
Current Year Appropriation,"196,6",229.8,273.8,263.5,602.1,305.5,302.2,258.3,271.5,339.9,256.8,367.7,"3,667.7",133.5,152.1,0.0,"3,953.3"
Prior Year Encumbrances,52.3,36.0,25.2,10.3,7.1,15.0,19.2,3.2,4.1,5.4,4.6,6.0,188.4,,,0.0,188.4
Prior Year Vouchers Payable,59.4,26.2,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.2,133.5,152.1,,92.2
TOTAL DISBURSEMENTS,308.3,292.0,305.6,273.8,609.2,320.5,321.4,261.5,275.6,345.3,261.4,373.7,"3,948.3",,,,
Excess (Def) of Receipts,,,,,,,,,,,,,,,,,
over Disbursements,3.8,(12.8),9.2,(1.3),(409.9),(101.4),(73.3),204.7,63.2,102.1,119.4,(107.0),(203.2),,,,
Opening Balance,227.6,231.4,218.6,227.8,226.5,166.6,65.2,(8.1),"196,7",259.9,362.0,131.4,227.6,,,,
TRANS,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,(350.0),0.0,0.0,,,,
,,,,,,,,,,,,,,,,,
CLOSING BALANCE,231.4,218.6,227.8,226.5,166.6,65.2,(8.1),196.7,259.9,362.0,131.4,24.4,24.4,,,,
