0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued / Adjust.,Estimated Revenues,
REVENUES Real Estate Tax,8.3,7.8,7.8,7.8,7.5,9.9,40.7,282.6,117.1,23.9,10.4,14.1,538.1,(10.1),527.9,
"Total Wage, Earnings, Net Profits",117.0,97.3,96.6,124.8,100.7,105.8,123.9,112.9,117.8,143.1,100.6,103.5,1343.9,(1.0),1342.9,
Realty Transfer Tax,15.8,17.0,20.0,13.3,13.9,23.1,14.7,10.2,11.9,23.7,17.6,22.1,203.1,(1.5),201.7,
Sales Tax,22.3,22.2,10.8,10.5,11.6,10.5,11.3,11.4,10.8,8.3,10.1,12.0,151.9,(8.1),143.8,
Business Income & Receipts Tax,4.1,1.9,17.7,7.1,0.7,3.8,23.9,8.3,"59,9",265.5,65.5,10.4,468.8,(2.5),466.3,
Other Taxes,7.9,10.3,8.6,7.4,8.1,7.7,7.5,8.4,7.4,11.1,8.0,7.6,99.9,(0.7),99.2,
Locally Generated Non-Tax,26.4,19.2,19.4,24.8,19.5,19.6,26.0,21.4,30.4,22.4,26.6,20.8,276.4,20.9,297.3,
Total Other Governments,2.5,48.4,66.0,69.6,16.5,9.7,6.8,11.8,9.3,13.4,13.1,20.3,287.4,18.9,306.3,
Total PICA Other Governments,25.2,13.7,31.1,26.5,27.9,15.3,36.7,32.6,24.8,24.3,54.8,25.7,338.6,(0.6),338.0,
Interfund Transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,17.9,26.0,44.0,
Total Current Revenue,229.4,237.8,277.9,291.7,206.4,205.5,291.5,499.6,389.5,535.8,306.5,254.4,3726.1,"44,9",3767.5,
Collection of prior year(s) revenue,10.3,8.7,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8,,,
Other fund balance adjustments,,,,,,,,,,,,,,,,
TOTAL CASH RECEIPTS,239.7,246.5,277.9,303.5,206.4,205.5,291.5,499.6,389.5,535.8,306.5,254.4,3756.9,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Vouchers Payable / Adjust.,Encum- brances,Estimated Obligations
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,,,
Payroll,79.5,108.8,122.7,154.3,107.9,121.0,116.3,110.1,154.5,104.0,130.4,126.3,1435.7,67.2,3.2,1506.2
Employee Benefits,42.8,42.3,51.8,54.3,43.0,42.8,40.7,40.8,39.2,41.2,35.9,71.6,546.4,(12.6),1.8,535.6
Pension,3.7,(6.5),4.0,55.8,(7.4),(2.1),(6.1),(5.7),535.8,(2.3),(2.4),(5.5),561.3,14.8,,576.1
Purchase of Services,39.6,31.6,84.1,68.8,52.1,71.0,50.9,54.5,82.9,51.9,63.4,61.7,712.4,5.3,91.9,809.7
"Materials, Equipment",3.2,5.0,8.5,9.1,4.4,4.6,5.0,4.9,5.5,6.7,5.2,7.0,69.1,4.2,19.0,92.3
"Contributions, Indemnities",19.4,4.6,4.2,9.9,4.4,14.9,2.3,9.8,1.7,3.8,72.8,3.2,150.9,"0,3",0.0,151.2
Debt Service-Short Term,0.0,"0,0",0.0,0.0,"0,0","0,0",0.0,"0,0",0.0,"0,0","0,0",0.1,0.1,"0,0",,0.1
Debt Service-Long Term,18.7,66.5,0.1,0.0,10.5,9.2,21.0,"0,5",0.1,"0,0",5.2,0.0,131.9,0.4,,132.2
Interfund Charges,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3,0.0,5.9,7.0,30.5,,37.5
Advances & Misc. Pmts. / Labor Obligations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,0.0,0.0,,,"0,0"
Current Year Appropriation,207.2,252.3,275.5,352.2,214.8,261.3,230.5,214.8,819.7,205.6,310.5,270.3,3614.8,110.1,116.0,3840.9
Prior Yr. Expenditures against Encumbrances,48.1,19.0,18.2,7.1,3.2,4.5,6.8,2.2,0.5,4.2,1.0,1.6,116.3,,,
Prior Yr. Salaries & Vouchers Payable,22.8,33.6,2.1,18.1,(23.3),23.1,10.9,(8.9),(115.1),115.5,4.6,(9.2),74.3,,,
TOTAL DISBURSEMENTS,278.2,304.9,295.7,377.4,194.7,288.9,248.3,208.2,705.1,325.3,316.1,262.7,3805.4,,,
Excess (Def) of Receipts over Disbursements,(38.5),(58.5),(17.7),(73.9),11.8,(83.3),43.2,291.4,(315.6),210.5,(9.6),(8.3),,,,
Opening Balance,448.9,410.4,352.0,334.2,"260,3",402.1,318.7,361.9,653.4,337.8,548.3,408.7,,,,
TRAN,0.0,"0,0","0,0",0.0,130.0,"0,0",0.0,"0,0",0.0,0.0,(130.0),0.0,,,,
,,,,,,,,,,,,,,,,
CLOSING BALANCE,410.4,"352,0",334.2,260.3,402.1,318.7,361.9,653.4,337.8,548.3,408.7,400.4,,,,
