0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30
General,889.8,876.2,907.6,810.1,702.8,784.2,904.7,1276.2,795.8,767.1,665.3,573.8
Grants Revenue,(17.2),(0.6),24.6,14.3,(34.0),(68.8),(64.6),173.8,32.2,354.4,(8.7),50.3
Community Development,(2.5),(1.4),(1.6),0.7,(2.8),(7.8),(12.4),(2.1),(7.8),5.2,(0.4),(6.5)
Vehicle Rental Tax,5.0,5.7,6.4,7.0,7.6,8.1,8.6,9.1,9.5,9.9,5.3,5.8
Hospital Assessment Fund,20.5,20.0,45.8,22.1,21.7,41.0,24.0,23.9,37.1,25.9,31.4,13.8
Housing Trust Fund,58.5,56.4,55.4,62.2,61.4,61.1,61.3,58.4,55.5,56.2,54.1,65.3
Budget Stabilization Fund,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3
Other Funds,10.9,10.1,9.8,9.6,9.3,9.4,9.0,9.1,9.2,9.2,7.8,7.5
TOTAL OPERATING FUNDS,999.2,1000.8,1082.2,960.3,800.2,861.5,965.0,1582.7,965.8,1262.1,789.0,744.3
Capital Improvement,102.6,451.0,425.5,409.6,398.9,387.4,375.3,361.6,340.9,331.3,306.3,291.3
Industrial & Commercial Dev.,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.2,10.2,10.2,10.2,10.2
TOTAL CAPITAL FUNDS,112.7,461.0,435.6,419.6,409.0,397.5,385.4,371.8,351.0,341.5,316.5,301.5
TOTAL FUND EQUITY,1111.9,1461.8,1517.8,1380.0,1209.2,1259.0,1350.4,1954.5,1316.9,1603.6,1105.5,1045.7
