0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,(Amounts in,$millions),,,,,,,,,Under,Budget
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,Mar 31,April 30,May 31,June 30,Total,Accrued,,(Over),Revenues
REVENUES Property Taxes,9.7,6.4,6.5,5.2,5.1,14.1,33.0,202.5,99.2,22.9,7.9,10.0,422.6,,,0.0,422.6
"Wage, Earnings, NP Tax",99.6,103.7,85.0,85.9,98.7,81.3,105.7,87.6,94.3,97.6,109.2,90.6,"1,139.1",,,0.0,"1,139.1"
Realty Transfer Tax,14.8,16.7,12.6,10.0,11.3,13.2,13.4,8.9,12.3,"13,2",14.6,14.1,155.0,,,"0,0",155.0
Sales Tax,11.0,13.1,10.6,10.3,11.0,10.7,10.7,12.2,10.5,10.5,11.6,11.1,133.3,,,0.0,133.3
Business Privilege Tax,-1.3,3.7,15.4,7.6,-1.8,6.6,8.2,6.0,18.9,146.0,140.0,35.3,384.8,,,"0,0",384.8
Other Taxes,"6,3",9.1,7.2,7.6,"6,8","6,4",6.2,8.6,5.9,11.0,7.4,7.7,90.2,,,"0,0",90.2
Locally Generated Non-tax,18.5,"23,7",39.7,14.0,23.1,29.2,26.2,20.4,27.8,21.6,24.9,31.0,300.1,0.0,,0.0,300.1
Other Governments,"46,0",65.2,73.9,80.9,"27,5",14.7,80.8,77.2,71.1,86.4,38.6,59.2,721.6,88.0,,0.0,809.6
Other Governments-PICA,29.6,0.0,20.2,44.3,27.2,7.1,27.6,23.3,26.7,20.8,24.8,20.2,271.8,9.8,,0.0,281.6
Interfund Transfers,"0,4",0.4,43.7,0.5,1.1,46.4,"1,9",2.0,3.2,3.1,"1,9",9.5,114.1,,,"0,0",114.1
Total Current Revenue,234.6,242.0,314.8,266.3,"209,8","229,7",313.8,448.6,369.9,433.2,381.0,"288,7","3,732.6",97.8,,"0,0","3,830.4"
,,,,,,,,,,,,,,,,,
Collection of 6-30-08/Govt.,85.5,45.2,0.0,6.2,1.9,"0,0",0.0,0.0,0.0,"0,0","0,0",0.0,138.8,0.0,,,138.8
Other Fund Balance Adj.,-8.0,"-8,0","0,0",,,,,,,,,"0,0",-16.0,,,,
Non-revenue receipts Non-budget items,,,,,,,,,,,,,0.0 0.0,,,,
TOTAL CASH RECEIPTS,312.1,279.2,314.8,272.5,"211,7",229.7,"313,8","448,6",369.9,433.2,"381,0",288.7,"3,855.3",,,,
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,V.P.,Encum- brances,Mergers,Revised Obliga- tions
Payroll,84.7,118.2,109.5,119.7,108.4,"108,4",135.6,"110,4",110.4,110.4,"137,6",110.4,"1,363.7",51.5,0.0,0.0,"1,415.2"
Employee Benefits,46.4,44.4,41.6,"42,7",37.7,"46,0","44,5",35.7,37.6,35.6,"36,8","35,3",484.4,19.7,"0,0",0.0,504.1
Pension,3.7,(2.3),(2.9),"15,0",381.9,"0,0",3.7,0.0,"0,0",62.0,0.0,"0,0","461,1",0.0,,"0,0",461.1
Purchase of Services,26.6,36.5,96.5,"75,7",117.5,"80,6",96.0,"97,5",121.1,90.1,100.1,"76,9","1,015.1",41.0,114.8,0.0,"1,170.9"
"Materials, Equipment",5.2,2.7,9.4,5.7,8.2,6.9,"6,4",6.0,7.0,"6,5","6,8",6.0,76.9,4.8,4.0,"0,0","85,7"
"Contributions, Indemnities",13.9,2.7,9.5,4.6,6.9,7.8,3.0,6.2,8.6,11.3,21.7,30.8,127.0,4.0,0.0,"0,0",131.0
Debt Service-Short Term,"0,0",0.0,0.0,"0,0",0.0,0.0,"0,0",0.0,0.0,0.0,"0,0",11.3,11.3,,,0.0,11.3
Debt Service-Long Term,16.1,4.5,"10,2",0.1,5.2,7.5,"10,7",7.3,9.1,4.7,12.3,12.1,"99,8",0.0,0.0,"0,0",99.8
Interfund Charges,0.0,0.4,0.0,"0,0",0.0,"0,0","0,0",0.0,0.0,"0,0",0.0,31.2,31.6,0.0,"0,0",0.0,31.6
"Advances, Subsidies",0.0,"22,7","0,0",0.0,"0,0",0.0,"0,0",0.0,0.0,0.0,0.0,0.0,"22,7",0.0,,0.0,22.7
Current Year Appropriation,196.6,229.8,"273,8",263.5,666.0,257.3,"299,8",263.0,294.0,320.6,315.2,313.9,"3,693.5",121.0,"118,8",0.0,"3,933.4"
Prior Year Encumbrances,52.3,36.0,25.2,10.3,7.0,15.1,9.1,"3,5",6.5,"5,6","3,6",4.2,178.3,,,0.0,178.3
Prior Year Vouchers Payable,59.4,26.2,6.6,"0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,0",92.2,"121,0",118.8,,92.2
,,,,,,,,,,,,,,,,,
TOTAL DISBURSEMENTS,308.3,"292,0",305.6,273.8,"672,9",272.4,308.9,"266,6",300.4,326.1,"318,8",318.1,"3,964.0",,,,
Excess (Def) of Receipts,,,,,,,,,,,,,,,,,
over Disbursements,3.8,(12.8),9.2,(1.3),(461.2),(42.7),4.9,182.1,69.4,107.1,62.2,(29.4),(108.7),,,,
Opening Balance,227.6,231.4,218.6,227.8,226.5,115.3,72.6,"77,5","259,5",329.0,"436,1","148,3",227.6,,,,
TRANS,"0,0","0,0",0.0,0.0,350.0,"0,0",0.0,0.0,0.0,"0,0",(350.0),0.0,"0,0",,,,
,,,,,,,,,,,,,,,,,
CLOSING BALANCE,231.4,"218,6",227.8,226.5,115.3,72.6,"77,5","259,5",329.0,436.1,148.3,118.9,118.9,,,,
