0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,(Amounts in,$millions),,,,,,,,,Under,Current
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,Mar 31,April 30,May 31,June 30,Total,Accrued,,(Over),Revenues
REVENUES,,,,,,,,,,,,,,,,,
Property Taxes,5.9,7.0,5.2,3.9,4.5,13.5,34.0,235.2,71.5,11.7,6.0,11.4,409.8,,,10.9,398.9
"Wage, Earnings, NP Tax","95,8",99.8,76.1,90.2,98.9,84.8,105.4,98.3,97.2,99.1,"98,9","87,6",1132.1,,,(4.2),1136.3
Realty Transfer Tax,10.9,9.7,9.8,8.9,9.1,12.6,9.0,5.4,8.8,9.9,11.5,12.8,118.4,,,3.7,114.7
Sales Tax,10.0,11.9,9.9,9.4,10.7,15.5,18.2,22.3,"16,6",18.3,22.1,19.3,184.2,"20,0",,(1.1),204.8
Business Privilege Tax,5.0,8.1,8.5,"8,5",(7.5),8.8,6.7,2.6,34.9,"210,9","60,5",11.7,358.7,,,(12.5),376.7
Other Taxes,7.8,"9,5",7.2,"6,6",9.4,7.9,6.6,5.7,6.4,12.5,"6,8",7.4,93.8,,,(0.9),94.7
Locally Generated Non-tax,18.4,19.8,"16,7",18.0,"18,8",20.1,"19,9",16.7,23.0,16.6,21.5,"20,4",229.9,0.0,,(17.4),247.3
Other Governments,4.0,54.8,56.6,164.0,24.6,13.6,17.5,"22,0",4.6,"8,9",138.2,141.1,649.9,190.0,,(15.8),855.7
Other Governments-PICA,25.0,"19,9",16.4,25.3,26.6,20.2,44.0,"28,3","31,5",19.5,18.1,"9,6",284.4,6.0,,2.2,288.2
Interfund Transfers,"0,0",0.0,0.0,0.0,0.0,0.0,0.0,"0,0","0,0",12.1,0.0,4.8,16.9,16.1,,0.0,33.0
Total Current Revenue,182.8,240.5,206.4,334.8,195.1,"197,0",261.3,436.5,294.5,419.5,383.6,"326,1",3478.1,232.1,,(35.1),3750.3
,,,,,,,,,,,,,,,,,
Collection of 6-30-09/Govt.,14.5,84.7,"0,0","0,0",0.0,0.0,"0,0","0,0","0,0","0,0","0,0",0.0,99.2,"0,0",,,
Other Fund Balance Adj.,0.0,"0,0",15.0,,,,,,,,,"0,0",15.0,,,,
Non-revenue receipts,,,,,,,,,,,,,0.0,,,,
Non-budget items,,,,,,,,,,,,,0.0,,,,
TOTAL CASH RECEIPTS,197.3,325.2,221.4,334.8,195.1,197.0,261.3,436.5,294.5,419.5,"383,6",326.1,"3592,3",,,,
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,V.P.,Encum- brances,Mergers,Budget Obliga- tions
Payroll,87.6,106.0,112.7,104.1,103.9,155.5,104.7,101.3,109.4,"99,4",99.6,139.6,"1,323.8",28.9,"0,0",0.0,"1,381.3"
Employee Benefits,39.1,41.1,40.2,41.2,42.4,36.1,36.3,44.2,"33,9",39.0,44.0,33.8,471.3,19.7,0.0,"0,0",498.1
Pension,3.7,(2.8),13.4,49.2,(2.8),1.7,(2.7),(2.0),211.0,85.0,(2.4),(3.9),347.4,"0,0",,"0,0",350.1
Purchase of Services,22.2,29.6,92.6,129.4,101.7,90.5,79.2,87.7,"94,6",92.7,67.5,82.4,"970,1","77,8",130.0,0.0,"1,127.7"
"Materials, Equipment",1.5,1.5,5.9,6.2,4.1,3.1,6.9,3.8,6.2,10.5,5.4,6.0,61.1,5.8,6.8,"0,0",75.4
"Contributions, Indemnities",5.7,"0,5",11.5,9.8,2.4,10.7,2.6,6.1,12.6,2.8,4.0,"58,6",127.3,1.2,0.0,"0,0",128.1
Debt Service-Short Term,"0,0",0.0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",4.5,4.5,,,"0,0",5.0
Debt Service-Long Term,8.5,29.7,"0,0",5.0,5.7,6.4,16.8,7.3,1.4,"0,5",19.8,0.0,101.1,"0,0","0,0",0.0,102.9
Interfund Charges,0.3,"0,5",0.0,0.0,"0,0",0.0,0.0,0.0,0.0,"0,0",0.0,0.5,1.3,26.3,"0,0","0,0","28,5"
"Advances, Subsidies",0.0,24.2,0.0,"0,0","0,0",0.0,"0,0",0.0,0.0,0.0,0.0,0.0,24.2,"0,0",,0.0,25.0
Current Year Appropriation,"168,6","230,3",276.3,344.9,257.4,304.0,243.8,248.4,469.1,329.9,237.9,321.5,"3,432.1","159,7",136.8,0.0,"3,722.1"
Prior Year Encumbrances,46.1,0.0,16.5,36.6,4.9,16.6,2.8,5.3,1.4,1.7,2.4,1.0,"135,3",0.0,0.0,0.0,161.3
Prior Year Vouchers Payable,50.2,13.0,0.0,0.0,0.0,0.0,"0,0","0,0","0,0",0.0,"0,0","0,0",63.2,"159,7",136.8,,
,,,,,,,,,,,,,,,,,
TOTAL DISBURSEMENTS,264.9,243.3,292.8,381.5,262.3,320.6,246.6,253.7,"470,5","331,6",240.3,"322,5","3,630.6",,,,
Excess (Def) of Receipts,,,,,,,,,,,,,,,,,
over Disbursements,(67.6),"81,9",(71.4),(46.7),(67.2),(123.6),14.7,"182,8",(176.0),87.9,"143,3",3.6,(38.4),,,,
Opening Balance,7.8,(59.8),22.1,220.7,174.0,111.8,(11.8),2.9,185.7,9.6,97.6,(34.2),7.8,,,,
TRANS,0.0,0.0,270.0,0.0,5.0,0.0,"0,0",0.0,"0,0",0.0,(275.0),"0,0",0.0,,,,
CLOSING BALANCE,(59.8),22.1,220.7,174.0,111.8,(11.8),2.9,185.7,"9,6",97.6,(34.2),(30.6),(30.6),,,,
