0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,414.8,378.2,433.3,324.4,212.1,268.9,317.3,499.2,212.1,353.8,374.4,316.1
Grants Revenue,(67.5),14.5,23.5,(17.9),(78.3),(116.1),(125.2),(120.5),(86.4),(91.4),(72.8),(88.4)
Community Development,(6.0),(4.4),(4.1),(4.0),(3.8),(4.3),(5.9),(3.9),(7.9),(3.3),(5.9),(7.0)
Vehicle Rental Tax,6.8,7.4,2.9,3.3,3.8,4.2,4.6,5.0,5.3,5.7,6.1,6.6
Hospital Assessment Fund,11.8,10.3,9.9,9.3,9.0,8.5,8.4,8.0,7.6,7.3,7.0,6.7
Housing Trust Fund,16.5,17.4,18.0,18.0,17.8,18.1,18.3,18.3,18.4,17.0,13.8,14.2
Other Funds,7.0,11.9,33.1,35.0,16.4,15.6,15.4,19.4,7.6,15.6,13.6,29.8
TOTAL OPERATING FUNDS,383.5,435.3,516.6,368.2,177.1,194.9,232.8,425.5,156.7,304.6,336.2,278.0
Capital Improvement,230.0,228.8,228.0,212.7,203.1,196.7,187.0,178.9,174.5,168.0,160.5,153.0
Industrial & Commercial Dev.,3.6,3.6,3.9,3.9,3.9,3.9,3.9,4.0,4.0,4.0,3.3,3.3
TOTAL CAPITAL FUNDS,233.7,232.5,232.0,216.6,207.1,200.6,190.9,182.9,178.5,172.0,163.8,156.3
TOTAL FUND EQUITY,617.1,667.8,748.5,584.8,384.2,395.5,423.7,608.3,335.2,476.6,500.0,"434,3"
