0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,(Amounts in Dec 31,$millions) Jan 31,Feb 28,Mar 31,April 30,May 31,June 30,Total,Accrued,,Under (Over),Current Revenues
REVENUES Property Taxes,5.9,7.0,5.2,3.9,4.5,13.5,34.0,235.2,71.5,"11,7",7.8,13.2,413.4,0.0,,0.0,413.4
"Wage, Earnings, NP Tax",95.8,99.8,76.1,90.2,98.9,84.8,105.4,98.3,97.2,99.1,101.4,84.4,"1,131.4",,,0.0,"1,131.4"
Realty Transfer Tax,10.9,9.7,9.8,8.9,9.1,12.6,9.0,5.4,8.8,9.9,10.6,14.0,118.7,,,0.0,118.7
Sales Tax,10.0,11.9,"9,9",9.4,10.7,15.5,18.2,22.3,16.6,18.3,17.4,19.6,179.8,20.0,,0.0,199.8
Business Privilege Tax,5.0,8.1,"8,5",8.5,(7.5),8.8,6.7,2.6,34.9,210.9,65.6,24.6,376.7,,,0.0,376.7
Other Taxes,7.8,9.5,7.2,6.6,9.4,7.9,"6,6",5.7,6.4,12.5,7.8,7.4,94.7,,,0.0,94.7
Locally Generated Non-tax,18.4,19.8,16.7,18.0,18.8,20.1,19.9,16.7,23.0,16.6,23.8,35.6,247.3,0.0,,0.0,247.3
Other Governments,4.0,54.8,56.6,164.0,24.6,13.6,17.5,22.0,4.6,8.9,152.5,124.6,647.7,208.0,,0.0,855.7
Other Governments-PICA,25.0,19.9,16.4,25.3,26.6,20.2,44.0,28.3,"31,5",19.5,29.1,21.4,307.2,6.0,,0.0,313.2
Interfund Transfers,"0,0",0.0,0.0,0.0,"0,0",0.0,0.0,0.0,0.0,12.1,0.6,4.2,"16,9",16.1,,0.0,33.0
Total Current Revenue,182.8,240.5,206.4,334.8,195.1,197.0,261.3,"436,5","294,5",419.5,416.5,348.9,"3,533.8",250.1,,(0.0),"3,783.9"
Collection of 6-30-09/Govt.,14.5,84.7,0.0,0.0,0.0,"0,0",0.0,"0,0","0,0",0.0,"0,0","0,0",99.2,0.0,,,
Other Fund Balance Adj.,0.0,0.0,15.0,,,,,,,,,0.0,15.0,,,,
Non-revenue receipts Non-budget items,,,,,,,,,,,,,0.0 0.0,,,,
TOTAL CASH RECEIPTS,"197,3",325.2,221.4,334.8,195.1,197.0,261.3,436.5,294.5,419.5,"416,5",348.9,"3,648.0",,,,
,,,,,,,,,,,,,,V.F,Encum- brances,Mergers,Budget Obliga- tions
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,,,,
Payroll,87.6,106.0,112.7,"104,1",103.9,155.5,104.7,101.3,109.4,99.4,112.2,"155,6","1,352.4","28,9","0,0",0.0,"1,381.3"
Employee Benefits,39.1,41.1,40.2,41.2,42.4,36.1,36.3,44.2,"33,9",39.0,43.3,41.6,478.4,19.7,0.0,0.0,498.1
Pension,3.7,(2.8),13.4,49.2,(2.8),1.7,(2.7),(2.0),211.0,85.0,"0,0",(3.6),350.1,"0,0",,0.0,350.1
Purchase of Services,22.2,29.6,92.6,129.4,101.7,"90,5",79.2,87.7,94.6,"92,7","76,7","59,8",956.7,41.0,130.0,0.0,"1,127.7"
"Materials, Equipment",1.5,1.5,5.9,6.2,4.1,3.1,6.9,3.8,6.2,10.5,5.6,8.4,63.8,4.8,6.8,0.0,75.4
"Contributions, Indemnities",5.7,"0,5",11.5,9.8,2.4,"10,7",2.6,6.1,12.6,2.8,28.0,"31,4",124.1,4.0,"0,0",0.0,128.1
Debt Service-Short Term,0.0,0.0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,0.0,0.0,5.0,5.0,,,0.0,5.0
Debt Service-Long Term,8.5,"29,7","0,0",5.0,5.7,6.4,16.8,7.3,1.4,"0,5",16.4,5.2,102.9,0.0,0.0,0.0,102.9
Interfund Charges,0.3,0.5,0.0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,0.0,1.4,2.2,26.3,"0,0",0.0,28.5
"Advances, Subsidies",0.0,24.2,"0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,0",0.8,25.0,0.0,,"0,0",25.0
Current Year Appropriation,168.6,230.3,276.3,344.9,257.4,304.0,243.8,248.4,469.1,329.9,282.2,305.6,"3,460.6",124.7,136.8,"0,0","3,722.1"
Prior Year Encumbrances,46.1,0.0,16.5,36.6,4.9,16.6,2.8,5.3,1.4,1.7,7.6,8.7,148.2,0.0,0.0,0.0,161.3
Prior Year Vouchers Payable,50.2,13.0,0.0,0.0,0.0,0.0,0.0,"0,0",0.0,0.0,"0,0","0,0",63.2,124.7,136.8,,
TOTAL DISBURSEMENTS,264.9,243.3,292.8,381.5,262.3,320.6,246.6,253.7,470.5,331.6,289.9,314.4,"3,672.0",,,,
Excess (Def) of Receipts,,,,,,,,,,,,,,,,,
over Disbursements,(67.6),81.9,(71.4),(46.7),(67.2),(123.6),14.7,182.8,(176.0),"87,9",126.6,"34,5",(24.0),,,,
Opening Balance,7.8,(59.8),22.1,220.7,174.0,111.8,(11.8),2.9,185.7,"9,6",97.6,(50.8),7.8,,,,
TRANS,0.0,0.0,270.0,0.0,5.0,0.0,0.0,"0,0",0.0,0.0,(275.0),0.0,0.0,,,,
,,,,,,,,,,,,,,,,,
CLOSING BALANCE,(59.8),22.1,220.7,"174,0","111,8",(11.8),2.9,185.7,9.6,"97,6",(50.8),(16.2),(16.2),,,,
