0,1,2,3,4,5,6,7,8,9,10,11,12
,I July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,308.6,"366,7",351.6,359.9,338.0,292.8,302.0,443.5,473.7,520.6,284.4,288.5
Grants Revenue,150.7,58.2,26.6,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Community Development,(20.6),8.3,12.5,18.5,4.7,4.0,0.5,(3.0),(3.0),(3.0),(3.0),"0,0"
Vehicle Rental Tax,5.1,5.5,5.9,3.8,4.2,4.6,5.0,5.4,3.3,3.7,4.1,4.5
Other Funds,7.0,10.7,14.3,9.0,9.0,9.0,9.0,"9,0",9.0,9.0,9.0,9.0
TOTAL OPERATING FUNDS,450.8,449.4,410.9,411.2,375.9,330.4,336.5,474.9,503.0,550.3,314.5,322.0
Capital Improvement,225.0,218.8,210.7,202.7,194.7,186.7,178.7,170.7,162.7,154.7,146.7,138.7
Industrial & Commercial Dev.,3.6,3.7,3.7,4.0,4.0,4.0,4.0,4.0,4.0,"4,0",4.0,4.0
TOTAL CAPITAL FUNDS,228.6,222.5,214.4,206.7,198.7,190.7,182.7,174.7,166.7,158.7,150.7,142.7
TOTAL FUND EQUITY,679.4,671.9,625.3,617.9,574.6,521.1,519.2,649.6,669.7,709.0,465.2,464.7
