0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued Not Accrued,Estimated Revenues,
REVENUES Real Estate Tax,9.2,8.5,6.5,6.0,5.8,34.3,64.1,346.5,114.7,34.2,15.3,8.1,653.1,(2.6),650.5,
"City, PICA Wage, Earnings, NP",180.0,149.1,151.1,175.8,155.9,148.3,223.4,143.4,175.5,227.1,174.2,140.0,2043.7,19.5,2063.2,
Tax to PICA,(42.3),(35.1),(35.7),(41.5),(36.5),(36.3),(53.4),(34.0),(42.6),(61.1),(44.0),(35.5),(498.1),0.8,(497.3),
"Total Wage, Earnings, Net Profits",137.7,114.0,115.3,134.3,119.4,112.0,170.0,109.4,132.9,165.9,130.2,104.4,1545.6,20.3,1565.8,
Realty Transfer Tax,38.3,29.0,20.8,27.5,28.7,21.8,36.9,25.0,19.1,24.8,34.4,26.9,333.2,(20.0),313.2,
Sales Tax,28.6,29.0,12.0,11.9,14.6,12.7,11.9,15.8,13.0,11.4,14.0,27.4,202.2,2.3,204.5,
Business Income & Receipts Tax,6.9,6.9,16.4,14.9,0.9,6.1,29.4,(2.2),40.3,274.8,44.4,10.9,449.8,(36.3),413.5,
Beverage Tax,6.9,6.5,6.7,7.6,6.1,6.0,6.5,5.8,5.5,6.5,6.2,7.0,77.3,1.5,78.8,
Other Taxes,10.2,9.5,12.2,10.3,9.7,10.2,9.8,11.1,9.2,11.3,10.1,9.2,122.7,0.4,123.1,
Locally Generated Non-tax,24.3,29.4,21.4,30.7,24.1,27.8,26.5,27.6,20.2,26.6,29.8,28.3,316.7,(8.4),308.2,
Total Other Governments,22.9,52.3,77.9,59.9,16.8,7.0,15.2,11.8,15.4,10.2,9.1,22.1,320.7,(8.8),311.9,
Total PICA Other Governments,25.8,37.2,29.7,17.2,41.8,13.1,62.7,29.2,39.0,56.6,50.3,23.4,425.9,15.4,441.3,
Interfund Transfers,0.0,"0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,58.5,63.6,
Total Current Revenue,310.7,322.5,318.8,320.3,267.9,250.9,432.8,580.2,409.2,622.3,343.7,272.8,4452.2,(36.2) 58.5,4474.4,
Collection of prior year(s) revenue,40.9,0.2,12.5,(2.8),0.0,"0,0",0.0,0.0,"0,0",0.0,0.0,0.0,50.8,,,
Other fund balance adjustments,,,,,,,,,,,,,,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Payable,brances,Obligations
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,,,
Payroll,69.7,172.3,133.4,127.2,135.9,121.6,179.9,122.6,127.9,123.4,137.8,123.8,1575.5,113.8,4.0,1693.4
Employee Benefits,45.8,36.2,65.6,33.7,42.2,46.2,47.0,43.5,47.0,54.5,46.1,62.4,570.2,41.6,"0,5",612.3
Pension,3.7,(6.5),4.8,64.2,(6.0),(2.5),(6.5),(2.7),611.7,(3.0),(2.2),(1.8),653.2,66.1,,719.3
Purchase of Services,42.6,50.8,76.3,89.1,61.0,48.2,61.3,50.3,87.8,52.2,92.1,65.5,777.1,23.8,121.6,922.6
"Materials, Equipment",3.0,3.8,8.5,6.8,5.3,6.1,6.9,5.6,5.9,5.6,5.3,6.1,68.9,4.0,35.1,108.0
"Contributions, Indemnities",14.3,5.0,10.2,8.8,11.5,5.0,5.5,10.6,2.9,4.6,2.4,114.1,194.9,1.6,,196.5
Debt Service-Short Term,"0,0",0.1,0.1,0.0,0.0,0.1,0.4,0.0,0.1,0.0,0.0,1.5,2.3,2.9,,5.3
Debt Service-Long Term,96.1,"0,5","0,0",0.6,9.2,7.4,31.2,"0,5",0.0,0.8,0.2,"0,0",146.5,5.6,,152.1
Interfund Charges,0.4,"0,0",0.0,0.0,0.0,0.0,"0,0",0.0,0.0,0.5,0.0,"0,0","0,9",35.2,,36.0
Advances & Misc. Pmts. / Labor Obligations,0.0,0.0,0.0,0.0,0.0,0.0,"0,0","0,0",0.0,0.0,0.0,0.0,0.0,,12.6,12.6
Current Year Appropriation,275.5,262.2,298.9,330.4,259.2,232.1,325.6,230.3,883.4,238.5,281.8,371.6,3989.6,294.7,173.8,4458.1
,,,,,,,,,,,,,,,,
Prior Yr. Expenditures against Encumbrances,38.3,25.3,19.3,9.0,6.7,3.4,4.3,5.2,1.7,1.5,1.8,0.5,117.0,,,
Prior Yr. Salaries & Vouchers Payable,77.4,(24.5),(9.5),89.8,31.0,5.8,(26.1),(2.3),8.1,17.1,(34.4),29.0,161.4,,,
,,,,,,,,,,,,,,,,
TOTAL DISBURSEMENTS,391.2,263.0,308.8,429.2,296.8,241.2,303.9,233.1,893.3,257.1,249.1,401.2,4268.0,,,
,,,,,,,,,,,,,,,,
Excess (Def) of Receipts over Disbursements,(39.6),59.6,22.6,(111.7),(28.9),9.7,128.9,347.0,(484.0),365.2,94.5,(128.3),,,,
Opening Balance,533.9,494.3,553.9,576.5,464.8,435.9,570.6,699.5,1046.5,562.5,927.7,897.3,,,,
TRAN,0.0,"0,0",0.0,0.0,"0,0",125.0,0.0,0.0,0.0,0.0,(125.0),0.0,,,,
,,,,,,,,,,,,,,,,
CLOSING BALANCE,494.3,553.9,576.5,464.8,435.9,570.6,699.5,1046.5,562.5,927.7,897.3,768.9,,,,
