0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Net Accrual / Adjust.,Estimated Revenues,
REVENUES Real Estate Tax,7.3,7.3,5.9,5.5,5.3,14.8,39.4,"298,6",81.0,20.0,8.2,8.7,502.0,(3.6),498.5,
"Total Wage, Earnings, Net Profits",89.4,111.3,85.2,102.3,97.6,90.1,112.4,93.7,96.1,117.2,101.4,94.3,1190.8,(10.4),1180.5,
Realty Transfer Tax,10.2,13.9,11.9,9.3,7.5,8.7,9.4,8.4,9.0,9.4,10.8,"10,5",118.9,(0.6),118.4,
Sales Tax,19.4,"22,0",20.3,19.4,21.5,20.5,"20,3",23.9,19.3,20.1,22.7,21.0,250.2,0.0,250.2,
Business Income & Receipts Tax,"3,6",3.6,9.7,9.5,(0.9),(0.0),12.8,10.7,34.1,145.5,161.2,5.9,395.8,(4.4),391.4,
Other Taxes,8.2,9.7,6.6,6.7,7.3,7.1,6.5,13.0,2.3,14.1,8.3,7.6,97.5,0.8,98.3,
Locally Generated Non-tax,19.4,22.8,16.9,17.5,25.7,22.4,19.6,23.3,27.5,14.5,25.5,23.2,258.2,(6.7),251.5,
Total Other Governments,3.7,53.2,98.3,69.1,4.6,17.4,19.6,54.4,17.6,12.5,23.1,17.1,390.6,23.8,414.4,
Total PICA Other Governments,26.0,13.9,22.6,21.6,23.1,25.4,22.2,17.7,39.0,25.2,26.4,27.5,"290,5",,290.5,
Interfund Transfers,8.4,"0,0",0.1,0.0,"0,0","0,0",0.0,"0,0","0,0",0.0,10.0,2.9,21.4,31.6,53.0,
Total Current Revenue,195.6,257.6,277.5,260.8,191.7,206.4,262.2,543.8,"325,9",378.5,397.6,218.5,3516.0,55.4,3546.6,
Collection of prior year(s) revenue,18.7,129.5,1.0,10.5,0.0,0.0,"0,0",0.0,0.0,0.0,0.0,0.0,159.6,,,
Other fund balance adjustments,,,,,,,,,,,,,,,,
TOTAL CASH RECEIPTS,214.3,387.1,278.6,271.3,191.7,206.4,262.2,543.8,325.9,378.5,397.6,218.5,3675.7,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Vouchers Payable / Adjust.,Encum- brances,Estimated Obligations
EXPENSES AND OBLIGATIONS Payroll,"73,7",111.6,99.0,99.2,136.1,96.3,103.8,106.6,96.5,97.2,140.8,106.6,1267.5,73.0,3.3,1343.8
Employee Benefits,38.1,39.5,36.4,"39,0",41.2,36.6,40.0,37.5,42.6,40.8,46.8,36.5,"475,0",(1.4),,473.6
Pension,3.7,(6.3),6.6,82.4,(4.4),(0.6),(6.0),(4.1),481.3,(4.3),(1.9),(8.0),538.4,16.0,,554.3
Purchase of Services,53.1,46.2,51.3,74.4,47.5,45.4,39.9,60.4,73.4,53.7,59.4,78.0,682.8,11.3,63.7,"757,8"
"Materials, Equipment",2.0,5.7,8.9,5.2,6.1,4.6,6.2,4.7,5.4,4.7,5.4,5.7,"64,5",5.1,14.7,84.3
"Contributions, Indemnities",11.0,7.8,8.7,1.8,5.2,12.0,3.1,1.7,10.2,3.7,50.5,"1,6",117.2,0.9,,118.2
Debt Service-Short Term,0.0,0.0,0.0,"0,0","0,0",0.0,"0,0",0.0,0.0,0.0,0.0,1.9,1.9,,,1.9
Debt Service-Long Term,53.1,7.7,"0,0",0.4,6.1,5.4,30.7,0.6,0.2,0.0,5.0,0.2,109.4,,,109.4
Interfund Charges,0.5,"0,0","0,0",0.0,0.0,0.0,0.0,0.0,0.0,"0,0",0.2,0.5,1.2,25.9,,27.1
"Advances, Subsidies",0.0,0.0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,"0,0","0,0","0,0",0.0,,,"0,0"
Current Year Appropriation,235.2,212.2,211.0,302.3,237.7,199.6,217.8,207.4,709.6,195.8,306.2,223.1,3257.9,130.7,81.7,3470.4
Prior Yr. Expenditures against Encumbrances,39.6,22.9,13.7,6.2,3.4,1.4,1.2,5.5,5.4,0.6,"0,6",0.4,101.0,,,
Prior Yr. Salaries & Vouchers Payable,"67,0",(5.0),3.0,"39,3",(53.9),49.9,(32.7),32.1,(86.4),94.6,(3.3),40.3,145.0,,,
TOTAL DISBURSEMENTS,341.9,230.1,227.7,347.8,187.2,250.9,186.3,245.1,628.6,291.1,"303,4",263.9,3503.9,,,
Excess (Def) of Receipts over Disbursements,(127.6),157.0,50.9,(76.5),"4,5",(44.6),75.9,298.7,(302.7),87.4,94.1,(45.4),,,,
Opening Balance,108.9,(18.7),138.3,189.2,112.7,117.2,245.7,321.5,620.2,317.5,405.0,326.1,,,,
TRANS,"0,0","0,0",0.0,"0,0","0,0",173.0,0.0,0.0,0.0,0.0,(173.0),0.0,,,,
CLOSING BALANCE,(18.7),138.3,189.2,112.7,117.2,"245,7",321.5,620.2,317.5,405.0,326.1,280.7,,,,
