0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
REVENUES,July 31,Aug 31,Sept 30,Oct 31,Nov 30,(Amounts Dec 31,$millions) Jan 31,Feb 29,Mar 31,April 30,May 31,June 30,Total,Accrued,,Under (Over),Budget Revenues
Property Taxes,9.1,7.4,"5,4",7.2,"4,9",13.3,"31,8","210,4","74,3",26.8,"2,5",1.5,394.5,,,5.2,399.7
"Wage, Earnings, NP Tax",95.9,"105,8","89,9",96.1,"103,6",92.0,"116,1",102.3,"102,7",103.5,114.5,93.4,"1,215.8",,,(26.7),"1,189.1"
Realty Transfer Tax,21.6,20.6,15.8,18.2,12.4,14.4,16.6,10.2,10.1,18.0,14.3,12.8,185.0,,,20.0,205.0
Sales Tax,"12,0","10,7",11.3,9.3,13.2,11.0,11.3,13.1,"10,7",10.4,"11,7",11.2,"135,9",,,2.5,"138,4"
Business Privilege Tax,7.4,3.3,14.2,(1.0),(4.1),1.6,14.3,4.2,26.3,199.0,149.2,23.8,438.2,,,(28.0),410.2
Other Taxes,"5,2","7,5",6.0,"6,4",5.9,4.9,4.8,4.4,"4,9",9.5,5.6,6.1,71.2,,,"1,1",72.3
Locally Generated Non-tax,18.0,22.5,19.1,16.9,23.6,41.5,23.9,17.6,19.0,19.0,"20,6",28.0,269.7,,,(2.5),267.2
Other Governments,4.1,137.1,6.4,180.9,9.2,13.2,"13,6",158.1,"97,3",46.4,"35,7",11.7,"713,6","81,0",,(24.6),770.0
Other Governments-PICA,18.8,33.1,14.7,26.2,"15,7",17.9,30.1,0.0,38.2,28.9,22.6,11.5,257.7,4.2,,(7.1),254.8
Interfund Transfers,0.0,"0,0","0,9","0,4","0,5","0,5",0.4,"0,5",0.5,0.5,"0,5",23.8,28.5,,,(3.8),24.7
Total Current Revenue,192.1,348.0,183.7,360.6,184.9,210.3,262.9,520.8,384.0,462.0,"377,1",223.8,"3,710.1",85.2,,(63.9),"3,731.4"
,,,,,,,,,,,,,,,,,
Collection of 6-30-07/Govt.,49.3,31.0,10.0,"0,0","0,0","0,0","0,0","0,0",0.0,"0,0","0,0",0.0,90.3,"0,0",,,
Other Fund Balance Adj. Non-revenue,7.9,,,,,,,,,,,(7.0),"0,9",,,,
receipts Non-budget items,,,,,,,,(2.6),,2.6,,,0.0 0.0,,,,
TOTAL CASH RECEIPTS,"249,3","379,0",193.7,"360,6",184.9,"210,3","262,9","518,2","384,0",464.6,"377,1","216,8","3,801.4",,,,
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,V.P.,Encum- brances,Mergers,Budget Obliga- tions
Payroll,"60,0",151.2,105.8,115.8,105.1,101.8,153.1,100.6,103.2,111.6,113.0,148.6,"1,369.8",12.5,0.0,(6.5),"1,375.8"
Employee Benefits,37.7,45.2,"35,8","51,6","38,4","64,7","53,5",50.4,43.4,44.1,"37,9",34.0,536.7,12.0,"0,7",(62.2),"487,2"
Pension,3.7,363.0,(2.6),16.5,(2.1),(2.6),1.4,(1.5),(2.5),63.7,(2.7),2.4,436.7,,,0.0,436.7
Purchase of Services,"23,9",73.0,82.6,"89,7",109.3,97.2,92.0,"109,0",88.8,"107,0","89,2","87,3","1,049.0",20.2,124.4,(25.0),"1,668.6"
"Materials, Equipment",5.8,"6,5",6.8,6.0,"5,6","8,5","7,9",6.1,"6,1",5.6,"7,6",2.6,75.1,"4,8",14.3,(5.8),88.4
"Contributions, indemnities",16.1,5.3,7.8,2.4,0.1,6.2,2.2,2.4,9.3,6.1,"36,3",18.7,112.9,2.0,0.0,4.8,119.7
Debt Service-Short Term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,0",8.0,8.0,,,2.0,10.0
Debt Service-Long Term,6.1,2.3,18.8,0.4,7.2,2.3,11.5,7.5,9.7,"0,9",24.4,2.2,93.3,,,(2.2),91.1
Interfund Charges,"0,0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,0",0.0,"0,0",30.9,30.9,,,(2.0),"28,9"
"Advances, Subsidies","32,3","0,0","0,0","0,0",0.0,"0,0","0,0",0.0,0.0,0.0,0.0,0.0,32.3,,,,32.3
Current Year Appropriation,"185,6",646.5,255.0,"282,4","263,6","278,1",321.6,"274,5","258,0","339,0","305,7","334,8","3,744.8","51,6",139.5,(96.9),"3,838.7"
Prior Year Encumbrances,60.3,37.7,12.3,"11,5",8.0,21.5,6.1,2.6,11.7,6.3,4.3,4.5,186.9,0.3,"47,0",24.5,258.7
Prior Year Vouchers Payable,67.9,"46,3","11,9",1.0,0.0,,,,,,,,127.1,51.9,186.5,,
TOTAL DISBURSEMENTS,"313,8",730.5,"279,2","294,9",271.6,"299,6","327,7","277,1","269,7",345.3,"310,0","339,4","4,058.8",,,,
Excess (Def) of Receipts,,,,,,,,,,,,,,,,,
over Disbursements,(64.5),(351.5),(85.5),"65,7",(86.7),(89.3),(64.8),"241,1",114.3,119.3,67.1,(122.6),(257.4),,,,
Opening Balance,"505,8","441,3",289.8,"204,3","270,0","183,3","94,0",29.2,"270,3","384,6",503.9,371.0,505.8,,,,
TRANS,,200.0,,,,,,,,,(200.0),,0.0,,,,
,,,,,,,,,,,,,,,,,
CLOSING BALANCE,441.3,289.8,204.3,"270,0",183.3,94.0,29.2,270.3,"384,6",503.9,"371,0",248.4,248.4,,,,
