0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued,Revenues,
REVENUES,,,,,,,,,,,,,,,,
Real Estate Tax,7.5,7.2,6.1,5.5,5.7,15.6,39.5,272.8,115.6,22.1,8.1,9.2,514.9,,514.9,
"City, PICA Wage, Earnings, NP",133.9,123.1,120.3,124.8,143.1,126.4,154.3,131.8,133.5,148.9,141.7,123.4,1605.1,,1605.1,
Tax to PICA,(30.4),(28.4),(27.8),(28.9),(35.3),(27.8),(37.1),(29.8),(29.8),(36.6),(33.8),(28.3),(373.8),,(373.8),
"Total Wage, Earnings, Net Profits",103.5,94.8,92.5,95.9,107.8,98.6,117.2,102.0,103.7,112.3,107.9,95.1,1231.2,,1231.2,
Realty Transfer Tax,12.8,10.2,8.7,12.6,8.9,10.5,10.2,6.9,9.4,10.8,11.3,12.4,124.5,,124.5,
Sales Tax,21.0,23.7,20.6,19.8,21.6,20.7,21.3,24.9,20.1,20.8,23.6,21.4,259.3,,259.3,
Business Income & Receipts Tax,1.1,3.9,12.6,7.2,(3.4),7.9,11.1,5.9,37.4,195.7,111.2,7.4,398.0,,398.0,
Other Taxes,7.3,9.6,7.5,7.4,8.3,8.0,7.1,7.7,6.2,13.3,8.2,8.1,98.6,,98.6,
Locally Generated Non-tax,22.5,24.1,19.4,21.4,21.0,22.1,19.3,20.2,21.7,16.7,21.1,21.6,251.0,,251.0,
Total Other Governments,3.1,54.0,70.2,66.4,11.6,47.5,17.0,10.5,6.3,7.6,24.0,6.7,325.0,27.8,352.7,
Total PICA Other Governments,23.6,26.3,22.0,22.5,28.4,24.2,32.3,22.8,27.9,28.6,26.2,22.9,307.7,,307.7,
Interfund Transfers,0.0,8.4,0.3,(0.3),0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,21.4,31.9,53.3,
Total Current Revenue,202.3,262.2,259.8,258.5,209.9,255.1,275.0,473.7,348.2,427.9,351.5,207.7,3531.7,59.6,3591.3,
,,,,,,,,,,,,,,,,
Collection of prior year(s) revenue,26.2,12.2,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.7,,51.7,
Other fund balance adjustments TOTAL CASH RECEIPTS,228.5,274.5,259.8,271.8,209.9,255.1,275.0,473.7,348.2,427.9,351.5,207.7,3583.4,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Vouchers Payable,Encum- brances,Estimated Obligations
EXPENSES AND OBLIGATIONS Payroll,71.0,113.0,102.2,101.4,140.8,101.5,109.9,100.5,101.6,101.3,140.1,101.3,1284.5,53.6,,1338.1
Employee Benefits,34.8,42.7,36.1,37.7,42.3,39.2,42.2,42.3,40.7,40.2,43.3,40.6,482.0,19.4,,501.5
Pension,3.7,(4.2),6.4,59.4,(1.5),(1.5),3.2,(1.5),452.2,106.1,(1.5),(1.5),619.3,,,619.3
Purchase of Services,46.8,46.3,61.4,66.9,53.2,51.6,55.0,65.0,78.7,63.2,55.2,54.2,697.4,23.1,76.9,797.4
"Materials, Equipment",3.9,4.7,7.9,5.8,4.7,5.8,6.1,5.1,6.0,7.1,6.0,5.9,68.8,4.6,11.9,85.3
"Contributions, Indemnities",13.0,3.3,4.5,10.5,42.3,7.8,3.5,3.7,8.1,4.2,2.0,30.4,133.4,5.2,,138.5
Debt Service-Short Term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,0",0.0,8.0,8.0,,,8.0
Debt Service-Long Term,8.4,62.9,0.0,0.0,5.2,5.4,31.0,0.5,0.1,0.5,5.5,0.0,119.4,,,119.4
Interfund Charges,0.0,0.5,0.0,"0,0",0.0,0.0,0.5,0.0,0.0,0.5,1.3,6.2,9.0,22.1,,31.1
"Advances, Subsidies",0.0,0.0,0.0,"0,0",0.0,"0,0",0.0,0.0,"0,0",0.0,0.0,0.0,0.0,,,0.0
Current Year Appropriation,181.6,269.2,218.5,281.7,286.9,209.7,251.4,215.6,687.3,323.0,251.9,245.0,3421.9,128.0,88.8,3638.7
Prior Yr. Expenditures against Encumbrances,28.0,11.0,6.6,2.8,5.4,3.8,3.0,2.8,2.7,1.8,1.1,1.1,70.1,,,
Prior Yr. Salaries & Vouchers Payable,31.3,49.6,(22.4),34.7,(4.0),9.0,(5.9),8.9,(5.5),17.1,(0.6),7.4,119.5,,,
TOTAL DISBURSEMENTS,240.8,329.8,202.7,319.2,288.4,222.5,248.5,227.3,684.5,341.9,252.4,253.5,3611.5,,,
,,,,,,,,,,,,,,,,
Excess (Def) of Receipts over Disbursements,(12.4),(55.3),57.2,(47.4),(78.5),32.5,26.5,246.4,(336.3),85.9,99.0,(45.8),,,,
Opening Balance,280.7,268.3,213.0,270.2,222.7,144.2,351.8,378.3,624.7,288.4,374.3,298.3,,,,
TRAN,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,"0,0",(175.0),0.0,,,,
,,,,,,,,,,,,,,,,
CLOSING BALANCE,268.3,213.0,270.2,222.7,144.2,351.8,378.3,624.7,288.4,374.3,298.3,252.6,,,,
