0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,Under,Budget
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,Mar 31,April 30,May 31,June 30,Total,Accrued,,(Over),Revenues
REVENUES Property Taxes,7.6,6.9,5.6,5.3,4.0,140,35.0,205.8,81 3,18.8,16.7,6.8,407.8,,,1.8,409.6
"Wage, Earnings, NP Tax",94.4,105.3,82.7,93.5,103.5,85.8,114.1,79.1,109.9,98 9,110.4,78.4,"1,156.0",,,(22.2),"1,133.8"
Realty Transfer Tax,20.5,23.2,17 3,16.9,180,19.3,21.3,12.1,15.4,14.6,18.2,13.2,210.0,,,(150,195 0
Sales Tax,11.3,12.5,10.7,10 7,12.1,10.1,10.2,12.3,10.1,10.6,12.0,12.4,135.0,,,(6.0),129.0
Business Privilege Tax,50,2.7,12.1,20 9,1.3,17 0,9.6,1.5,26.4,184.7,108 0,18.8,408.0,,,(29 1),3789
Other Taxes,5.3,7.6,50,40,4.1,4.3,5.4,5.4,4.5,82,8.7,80,70.5,,,(32),67 3
Locally Generated Non-tax,15.0,18.2,212,19.5,18.0,20 5,25 7,"17,8",26.3,15.9,20.4,21.8,2403,,,47,245 0
Other Governments,0.0,116.0,105.7,88 4,22.5,17.9,34.2,97.2,103.2,43 7,46,98,643.2,117.6,,28.8,7896
Other Governments-PICA,16.3,27.8,0.0,22.4,24.5,0.0,32.3,40.6,24.9,9.8,19.6,13.6,231.8,5.2,,5.2,242.2
Interfund Transfers,0.2,0.5,0.5,0.0,0.5,0.4,0.0,0.9,0.5,0.5,0.4,21 4,25 7,,,1.9,27 6
Total Current Revenue,175.6,320.7,260.8,2816,208.5,189.3,287.8,472.7,402.5,"405,7",318.9,204.4,"3,528.4",122.8,,(33.1),"3,618.0"
Collection of 6-30-06/Govt.,106.6,25.1,0.0,0.0,00,0.0,0.0,00,0.0,0.0,0.0,0.0,1316,00,,,
Other Fund Balance Adj.,7.0,,,,,,,,,,,(3.0),4.0,,,,
Non-revenue receipts Non-budget items,,,,,,,,,,,,,0.0 00,,,,
TOTAL CASH RECEIPTS,289.2,345.8,260.8,2816,208.5,189.3,287.8,472.7,402.5,405.7,318.9,201.4,"3,664 0",,,,
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,V.P.,Encum- brances,Mergers,Budget Obliga- tions
Payroll,56.9,143.2,100.9,102 1,110. 1,100.2,151 9,98.4,102.2,92.1,108.4,107.2,"1,273.6",52 1,2.9,(21.3),"1,307.2"
Employee Benefits,35.0,41.0,32.8,33.8,33.6,41.7,46.6,33.0,42.0,31.2,32 2,53.3,456.2,0.2,45,(15.5),445 4
Pension,360.2,(1.7),(2.1),17 3,(2.0),(1.8),1.3,(1.6),(18),57 5,(4 1),(2.1),419.1,0.0,,00,419 1
Purchase of Services,27.4,56.0,92.4,98.3,76.7,78.8,96.5,65 0,103.7,92 4,106 0,80.1,973.3,37.6,142.2,(5.0),"1,148.1"
"Materials, Equipment",2.3,5.3,8.0,46,5.5,53,5.3,6.0,8.0,63,7.6,7.9,72.1,2.6,14.1,(6.1),82 8
"Contributions, Indemnities",9.0,5.7,8.8,13,4.0,7.2,0.7,5.2,2.4,9.0,26.3,29.1,108.8,2.2,1.8,(2 1),110.8
Debt Service-Short Term,0.0,0.0,0.0,00,0.0,0.0,0.0,0.0,0.0,00,0.0,13.1,13.1,,,4.4,17.5
Debt Service-Long Term,1.2,2.3,18.8,07,7.5,0.8,6.3,5.3,19.0,0.8,15.4,6.5,84.6,,,3.1,87.7
Interfund Charges,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,00,0.0,31.0,61.6,0.0,0.0,(32.3),29.3
"Advances, Subsidies",31.2,0.0,0.0,00,0.0,0.0,0.0,0.0,0.0,0.0,00,0.0,31.2,,,,31.2
Current Year Appropriation,523.8,251.8,259.6,258.1,235.4,232.2,308.6,211.3,305.5,289.3,291.8,326.1,"3,493.6",94.8,165.5,(74.8),"3,679.1"
,,,,,,,,,,,,,,,,,
Prior Year Encumbrances,54.5,245,12.8,8.5,6.1,3.4,4.3,4.5,4.4,50,18,1.1,131.0,0.3,44.5,20.0,195.7
,,,,,,,,,,,,,,95.0,210.0,,
Prior Year Vouchers Payable,68.0,11.4,3.5,1.5,0.6,,,,,,,,84.9,,,,
TOTAL DISBURSEMENTS,646.3,287.7,275.9,268.1,242.1,235.6,312.9,215.8,309.9,294.3,293.6,327.2,"3,709.4",,,,
Excess (Def) of Receipts over Disbursements,(357.2),58.1,(15.1),13.5,(33.7),(46.3),(25.1),256.9,92.6,111.4,25.3,(125.8),(45.4),,,,
Opening Balance,355.7,308.6,366.7,351.6,365.1,331.4,285.1,2600,516.9,609.5,720.8,436.1,355.7,,,,
TRANS,310.0,,,,,,,,,,(310.0),,0.0,,,,
CLOSING BALANCE,308.6,366.7,351.6,365.1,331.4,285.1,260.0,516.9,609.5,720.8,436.1,310.3,310.3,,,,
