0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,494.3,553.9,576.5,464.8,435.9,570.6,699.5,953.9,597.8,772.6,593.5,605.0
Grants Revenue,(58.0),83.0,20.0,16.1,(56.3),(109.5),37.6,(199.8),(227.4),(236.8),(212.1),(119.4)
Community Development,(16.9),(15.1),(11.7),(11.8),(4.4),(8.1),(6.7),(4.6),(6.8),(3.4),(3.0),(6.1)
Vehicle Rental Tax,6.0,6.6,1.2,1.6,2.1,2.6,3.0,5.4,4.8,5.3,5.7,6.2
Hospital Assessment Fund,13.8,13.6,23.1,14.7,14.8,50.8,15.8,8.8,23.2,9.4,27.1,15.4
Housing Trust Fund,32.0,33.3,33.8,33.9,33.4,34.3,35.2,35.2,35.2,36.2,36.2,36.2
Other Funds,8.7,9.0,7.8,7.9,8.9,8.7,8.9,7.4,7.6,7.4,7.2,7.2
TOTAL OPERATING FUNDS,480.0,684.3,650.7,527.4,434.4,549.3,793.3,806.5,434.5,590.8,454.7,544.6
Capital Improvement,28.4,297.8,287.3,267.5,252.6,239.0,217.6,202.1,190.6,179.1,163.6,152.1
Industrial & Commercial Dev.,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
TOTAL CAPITAL FUNDS,38.1,307.6,297.1,277.3,262.4,248.8,227.5,212.0,200.5,189.0,173.5,162.0
TOTAL FUND EQUITY,518.1,992.0,947.8,804.7,696.8,798.1,1020.7,1018.5,634.9,779.8,628.1,706.5
