0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,677.1,696.4,747.4,602.0,601.3,456.1,500.6,813.5,464.2,669.7,726.0,684.6
Grants Revenue,24.4,84.5,35.8,77.9,(134.9),(192.9),(136.1),(171.4),(185.4),(180.3),(179.0),(144.7)
Community Development,(4.5),(9.8),(7.6),(7.9),(4.3),(4.8),(6.5),(5.2),(4.7),(1.0),(0.4),(7.1)
Vehicle Rental Tax,5.8,6.4,0.1,0.6,2.9,3.3,3.7,4.1,4.4,4.9,5.3,6.0
Hospital Assessment Fund,17.4,17.5,25.9,18.1,11.4,20.1,12.2,11.2,20.1,11.6,31.4,13.3
Housing Trust Fund,35.5,35.6,36.7,36.1,36.8,56.6,56.5,56.8,57.2,57.5,58.4,57.5
Other Funds,8.5,9.4,8.8,8.6,8.4,8.1,8.2,8.2,7.7,7.8,7.8,7.5
TOTAL OPERATING FUNDS,764.2,840.0,847.1,735.5,521.6,346.6,438.6,717.2,363.5,570.1,649.5,617.1
Capital Improvement,174.4,158.1,152.1,136.7,124.2,113.1,100.6,88.1,75.6,63.1,50.6,38.1
Industrial & Commercial Dev.,9.9,9.9,9.9,9.9,9.9,9.9,9.9,10.0,10.0,10.0,10.0,10.0
TOTAL CAPITAL FUNDS,184.3,168.0,162.0,146.6,134.1,123.0,110.5,98.1,85.6,73.1,60.6,48.1
TOTAL FUND EQUITY,948.4,1008.0,1009.1,882.1,655.8,469.6,549.1,815.2,449.0,643.2,710.1,665.2
