0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30,Total,Accrued,Not Accrued,Estimated Revenues
REVENUES Real Estate Tax,7.8,9.5,6.1,7.0,7.0,14.0,48.5,334.7,113.2,26.5,11.6,9.1,594.9,,,594.9
"Total Wage, Earnings, Net Profits",109.9,131.7,110.1,126.2,116.5,109.9,135.2,115.0,122.7,145.8,118.0,110.0,1451.1,,,1451.1
Realty Transfer Tax,25.6,19.0,17.8,22.8,18.1,20.7,19.7,15.7,21.7,22.4,21.9,24.3,249.6,,,249.6
Sales Tax,25.1,27.3,11.7,11.8,14.0,10.9,13.7,15.1,12.1,10.0,15.9,14.2,181.7,0.5,,182.2
Business Income & Receipts Tax,1.9,5.9,11.6,16.2,1.5,5.0,12.9,8.1,46.9,224.7,103.8,7.6,446.0,,,446.0
Beverage Tax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,7.7,7.7,7.7,7.7,38.5,7.7,,46.2
Other Taxes,9.9,12.7,9.2,10.2,9.3,8.8,8.7,10.6,7.4,13.7,10.2,9.0,119.5,,,119.5
Locally Generated Non-tax,25.0,28.0,23.5,21.7,22.4,19.9,24.4,23.5,27.2,21.5,24.9,24.2,286.2,,,286.2
Total Other Governments,11.9,57.3,78.7,56.1,14.4,6.6,14.3,22.5,9.5,11.7,12.3,24.6,320.0,(7.4),,312.6
Total PICA Other Governments,29.7,33.8,31.8,17.8,32.8,27.6,18.5,42.2,36.0,32.4,41.6,43.1,387.3,0.0,,387.3
Interfund Transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,30.5,,45.1,75.6
Total Current Revenue,246.7,325.1,300.5,289.8,236.1,223.3,295.8,595.2,404.4,516.3,367.9,304.4,4105.4,0.8,45.1,4151.3
Collection of prior year(s) revenue,24.7,0.0,0.0,5.3,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,30.5,,,
Other fund balance adjustments,,,,,,,,,,,,,,,,
TOTAL CASH RECEIPTS,271.4,325.1,300.5,295.1,236.1,"223,3",296.1,595.3,404.4,516.3,367.9,304.4,4135.9,,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30,Total,Payable,brances,Obligations
EXPENSES AND OBLIGATIONS Payroll,72.3,178.4,118.0,122.1,119.2,129.7,119.2,119.2,166.8,119.2,119.2,129.7,1513.0,67.4,3.5,1583.8
Employee Benefits,57.1,43.5,53.1,47.0,46.1,50.4,46.0,43.9,62.3,43.9,43.9,48.2,585.4,16.1,0.5,602.0
Pension,3.7,(7.8),4.5,60.4,(6.6),(1.1),(7.2),(5.6),482.8,107.9,(3.1),(2.6),625.3,23.5,,648.8
Purchase of Services,38.2,34.9,64.9,97.6,79.3,69.8,52.9,61.5,76.8,82.7,58.3,78.6,795.6,23.4,79.1,898.1
"Materials, Equipment",3.1,2.5,8.1,6.0,8.3,8.4,8.6,6.8,8.6,8.7,8.1,9.8,87.0,4.0,16.8,107.7
"Contributions, Indemnities",13.9,2.3,11.9,6.2,8.0,2.7,4.3,5.3,11.5,5.5,98.4,19.3,189.4,,,189.4
Debt Service-Short Term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,,,4.5
Debt Service-Long Term,92.3,0.5,0.0,0.0,0.5,14.3,9.2,24.7,0.5,0.0,0.0,7.3,149.5,,,149.5
Interfund Charges,0.0,0.3,0.0,0.0,0.0,1.0,0.1,1.3,0.0,0.1,0.6,5.0,8.3,23.8,,32.1
Advances & Misc. Pmts. / Labor Obligations,0.0,0.0,"0,0",0.0,0.0,1.1,1.2,1.2,1.2,1.2,1.2,1.2,8.3,,,8.3
Current Year Appropriation,280.6,254.6,260.6,339.3,254.9,276.3,234.3,258.2,810.6,369.1,326.6,301.1,3966.1,158.1,"99,9",4224.1
Prior Yr. Expenditures against Encumbrances,32.6,22.7,10.8,5.0,6.5,3.8,8.8,5.8,5.4,"2,5","0,9",1.8,106.6,,,
Prior Yr. Salaries & Vouchers Payable,63.3,(11.1),57.6,21.7,9.0,"0,0","0,0",0.0,0.0,"0,0",0.0,0.0,140.5,,,
,,,,,,,,,,,,,,,,
TOTAL DISBURSEMENTS,376.5,266.2,329.0,366.0,270.4,280.1,243.1,264.0,816.0,371.6,327.5,302.9,4213.2,,,
Excess (Def) of Receipts over Disbursements,(105.1),58.9,(28.5),(70.9),(34.3),(56.8),53.1,331.3,(411.6),144.6,40.4,1.5,,,,
Opening Balance,447.2,342.1,401.0,372.5,476.6,442.4,385.6,438.7,769.9,358.3,502.9,368.4,,,,
TRAN,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,(175.0),0.0,,,,
,,,,,,,,,,,,,,,,
CLOSING BALANCE,342.1,401.0,"372,5",476.6,442.4,385.6,438.7,769.9,358.3,502.9,368.4,369.8,,,,
