0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Accrued,Estimated Revenues,
REVENUES Real Estate Tax,7.3,7.3,5.9,5.5,5.3,14.8,"39,4","298,6",81.0,20.0,3.2,3.1,491.5,,491.5,
"Total Wage, Earnings, Net Profits",89.4,111.3,85.2,102.3,97.6,90.1,112.4,93.7,96.1,117.2,96.8,88.6,1180.5,,1180.5,
Realty Transfer Tax,10.2,13.9,11.9,9.3,7.5,8.7,9.4,8.4,9.0,9.4,"9,0",9.2,115.9,,115.9,
Sales Tax,19.4,22.0,20.3,19.4,21.5,20.5,20.3,23.9,19.3,20.1,"22,7",21.0,250.2,,250.2,
Business Income & Receipts Tax,3.6,3.6,9.7,9.5,(0.9),(0.0),12.8,10.7,34.1,"145,5",135.5,22.1,386.4,,386.4,
Other Taxes,8.2,9.7,6.6,6.7,7.3,7.1,6.5,13.0,2.3,14.1,7.8,"7,8",97.3,,97.3,
Locally Generated Non-tax,19.4,22.8,16.9,17.5,25.7,22.4,19.6,23.3,27.5,"14,5",18.2,20.4,248.2,,248.2,
Total Other Governments,3.7,53.2,98.3,69.1,4.6,17.4,19.6,54.4,17.6,"12,5",6.9,26.4,383.7,35.2,418.9,
Total PICA Other Governments,26.0,21.4,22.6,21.6,23.1,25.4,22.2,17.7,39.0,25.2,21.8,23.7,289.7,,289.7,
Interfund Transfers,8.4,"0,0",0.1,0.0,0.0,0.0,"0,0",0.0,0.0,"0,0",10.0,5.0,23.5,29.7,53.2,
Total Current Revenue,195.6,"265,1",277.5,260.8,191.7,206.4,262.2,543.8,325.9,378.5,"331,9",227.4,3466.8,64.9,3531.7,
Collection of prior year(s) revenue,18.7,"122,0",1.0,10.5,0.0,0.0,"0,0","0,0","0,0",0.0,"0,0",0.0,152.1,,,
Other fund balance adjustments,,,,,,,,,,,,,,,,
TOTAL CASH RECEIPTS,214.3,387.1,278.6,271.3,191.7,"206,4",262.2,543.8,325.9,378.5,331.9,227.4,"3618,9",,,
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30,Total,Vouchers Payable,Encum- brances,Estimated Obligations
EXPENSES AND OBLIGATIONS Payroll,73.7,111.6,99.0,99.2,136.1,96.3,103.8,106.6,"96,5",97.2,142.1,128.8,1290.9,54.2,,1345.1
Employee Benefits,38.1,"39,5",36.4,39.0,41.2,36.6,"40,0",37.5,42.6,40.8,"36,0",33.5,461.2,12.4,,473.6
Pension,3.7,(6.3),6.6,82.4,(4.4),(0.6),(6.0),(4.1),"481,3",(4.3),3.1,3.1,554.3,,,554.3
Surchase of Services,53.1,46.2,51.3,74.4,47.5,45.4,39.9,60.4,"73,4",53.7,56.7,66.4,"668,5",25.5,67.2,761.2
"Materials, Equipment",2.0,5.7,8.9,5.2,6.1,4.6,6.2,4.7,5.4,4.7,7.9,5.6,67.0,"4,0",13.3,84.3
"Contributions, Indemnities",11.0,7.8,8.7,1.8,5.2,12.0,3.1,1.7,10.2,3.7,48.9,1.5,115.5,"2,6",,118.2
Debt Service-Short Term,"0,0",0.0,"0,0",0.0,0.0,0.0,0.0,"0,0","0,0","0,0",0.0,4.0,4.0,,,4.0
Debt Service-Long Term,53.1,7.7,0.0,0.4,6.1,5.4,30.7,0.6,0.2,0.0,3.5,12.1,119.7,,,119.7
Interfund Charges,"0,5",0.0,"0,0",0.0,0.0,0.0,0.0,0.0,"0,0","0,0","0,0",4.5,5.0,22.1,,27.1
"Advances, Subsidies",0.0,0.0,0.0,0.0,"0,0","0,0","0,0","0,0",0.0,"0,0",0.0,0.0,"0,0",,,0.0
Current Year Appropriation,235.2,212.2,211.0,302.3,237.7,199.6,217.8,207.4,"709,6",195.8,"298,2",259.4,3286.2,120.7,"80,5",3487.5
Prior Yr. Expenditures against Encumbrances,39.6,22.9,13.7,6.2,"3,4",1.4,1.2,5.5,5.4,0.6,3.3,3.1,"106,3",,,
Prior Yr. Salaries & Vouchers Payable,67.0,(5.0),3.0,39.3,(53.9),"49,9",(32.7),32.1,(86.4),94.6,(12.2),0.0,95.8,,,
TOTAL DISBURSEMENTS,341.9,230.1,"227,7",347.8,187.2,250.9,186.3,245.1,"628,6",291.1,"289,3",262.5,"3488,3",,,
Excess (Def) of Receipts over Disbursements,(127.6),"157,0",50.9,(76.5),"4,5",(44.6),"75,9",298.7,(302.7),87.4,42.6,(35.1),,,,
Opening Balance,"108,9",(18.7),138.3,189.2,112.7,117.2,245.7,321.5,620.2,317.5,405.0,274.6,,,,
TRANS,"0,0",0.0,"0,0",0.0,0.0,173.0,"0,0",0.0,"0,0",0.0,(173.0),0.0,,,,
CLOSING BALANCE,(18.7),138.3,189.2,112.7,117.2,245.7,321.5,620.2,317.5,405.0,274.6,239.5,,,,
