0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,Mar 31,April 30,May 31,June 30,Total,Accrued,,(Over),Revenues
REVENUES Property Taxes,7.6,6.9,5.6,7.7,5.7,12.9,30.8,178.7,116.2,23.3,6.4,5.8,407.6,,,2.0,409.6
"Wage, Earnings, NP Tax",94.4,105.3,82.7,97.3,102.7,76.5,99.4,"88,8",87.5,109.3,125.2,85.9,"1,155.0",,,(21.1),"1,133.8"
Realty Transfer Tax,20.5,23.2,17.3,"14,0",11.9,13.4,13.8,11.6,16.7,20.7,18.3,13.7,195.0,,,0.0,195.0
Sales Tax,11.3,12.5,10.7,11.2,9.3,9.3,10.4,13.8,9.6,10.5,11.1,11.2,131.0,,,(2.0),129.0
Business Privilege Tax,5.0,2.7,12.1,4.0,1.4,"1,9",1.4,"16,9",26.7,117.6,128.2,81.6,399.5,,,(20.6),378.9
Other Taxes,5.3,7.6,5.0,5.6,6.1,5.0,4.4,5.4,5.0,8.8,6.2,"5,5",70.0,,,(2.7),67.3
Locally Generated Non-tax,15.0,18.2,21.2,19.5,19.8,20.6,19.0,21.9,19.8,19.2,18.5,20.2,232.9,,,12.1,245.0
Other Governments,"0,0",116.0,105.7,88.0,78.2,8.1,74.9,24.6,44.5,33.0,4.6,31.7,609.4,137.6,,42.6,789.6
Other Governments-PICA,16.3,27.8,0.0,22.4,17.4,17.5,24.5,17.2,19.4,"14,9",28.6,"22,6",228.8,8.2,,5.2,242.2
Interfund Transfers,0.2,0.5,0.5,0.5,0.5,0.5,"0,5","0,5",0.5,0.5,0.4,20.7,25.5,,,2.1,27.6
Total Current Revenue,175.6,320.7,260.8,270.1,"252,9",165.8,279.1,"379,4",345.9,"357,9",347.5,298.9,"3,454.6",145.7,,17.6,"3,618.0"
,,,,,,,,,,,,,,,,,
Collection of 6-30-06/Govt.,106.6,25.1,0.0,"0,0",0.0,"0,0",0.0,0.0,0.0,0.0,0.0,0.0,131.6,0.0,,,
Other Fund Balance Adj.,7.0,,,,,,,,,,,(3.0),4.0,,,,
Non-revenue receipts Non-budget items,,,,,,,,,,,,,0.0 0.0,,,,
TOTAL CASH RECEIPTS,289.2,345.8,260.8,"270,1",252.9,165.8,279.1,379.4,"345,9",357.9,347.5,295.9,"3,590.3",,,,
EXPENSES AND OBLIGATIONS,,,,,,,,,,,,,,,Encum- brances,Mergers,Budget Obliga- tions
Payroll,56.9,143.2,100.9,"101,8",108.2,98.3,103.9,96.6,139.5,91.3,108.1,108.5,"1,257.0",52.4,2.9,(5.1),"1,307.2"
Employee Benefits,35.0,41.0,32.8,36.5,26.9,35.1,34.2,34.1,38.6,37.9,34.1,54.5,440.8,0.2,4.4,"0,0","445,4"
Pension,360.2,(1.7),(2.1),17.1,(1.1),(1.7),2.1,(2.1),(1.8),53.4,(1.6),(1.6),419.1,0.0,,"0,0",419.1
Purchase of Services,27.4,56.0,92.4,91.4,"117,3",59.7,102.1,88.8,102.5,98.4,95.0,52.5,983.5,31.5,"125,7","7,4","1,148.1"
"Materials, Equipment",2.3,5.3,8.0,2.1,4.9,3.7,4.8,5.1,5.3,4.1,6.3,7.6,59.5,"2,5",23.1,(2.3),82.8
"Contributions, Indemnities","9,0",5.7,8.8,1.4,5.5,8.6,2.2,2.7,7.7,17.5,17.1,21.5,107.7,2.2,1.8,(0.9),110.8
Debt Service-Short Term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,0",13.1,13.1,,,4.4,17.5
Debt Service-Long Term,1.2,2.3,18.8,0.7,6.4,"0,8",6.8,10.3,"18,9",1.4,"12,9",4.1,84.6,,,3.1,"87,7"
Interfund Charges,"0,6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"30,7",31.3,0.0,"0,0",(2.0),29.3
"Advances, Subsidies",31.2,,,,,,,0.0,,,,,31.2,,,,31.2
Current Year Appropriation,523.8,251.8,259.6,250.9,268.2,"204,5",256.2,"235,5",310.7,303.9,271.9,"290,7","3,427.7",88.8,157.9,4.6,"3,679.0"
Prior Year Encumbrances,54.5,24.5,12.8,9.4,6.0,6.6,"13,7",2.4,4.9,7.1,1.8,1.1,144.9,0.3,"44,5",18.0,207.6
Prior Year Vouchers Payable,68.0,11.4,3.5,1.5,0.6,,,,,,,,84.9,89.1,202.4,,
TOTAL DISBURSEMENTS,646.3,287.7,275.9,"261,8",274.8,211.1,269.9,237.9,315.7,311.0,"273,7",291.8,"3,657.5",,,,
Excess (Def) of Receipts,,,,,,,,,,,,,,,,,
over Disbursements,(357.2),58.1,(15.1),8.3,(21.8),(45.3),9.3,141.4,30.2,46.9,73.8,4.1,(67.2),,,,
Opening Balance,355.7,308.6,366.7,351.6,"359,9",338.0,292.8,302.0,"443,5","473,7","520,6",284.4,355.7,,,,
TRANS,"310,0",,,,,,,,,,(310.0),,0.0,,,,
,,,,,,,,,,,,,,,,,
CLOSING BALANCE,308.6,"366,7",351.6,"359,9",338.0,292.8,"302,0",443.5,473.7,520.6,284.4,288.5,288.5,,,,
