0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30
General,276.2,522.2,522.3,401.7,446.1,389.2,395.8,725.0,336.5,452.1,337.2,303.2
Grants Revenue,(62.0),(81.5),(67.4),(221.9),(253.2),(306.8),(163.2),(172.1),(179.5),(180.9),(162.1),(112.0)
Community Development,(7.9),(6.1),(5.1),(1.7),(5.4),(3.4),(6.5),(4.1),(6.3),(2.8),(3.2),(6.0)
Vehicle Rental Tax,6.7,7.2,1.8,2.3,2.8,3.2,3.6,6.5,5.8,6.3,5.7,6.1
Hospital Assessment Fund,11.0,10.2,9.7,8.8,8.2,7.6,12.9,7.9,20.8,8.8,25.5,19.1
Housing Trust Fund,19.9,20.7,21.2,16.0,22.9,23.1,22.9,15.1,14.9,14.6,14.5,14.1
Other Funds,7.2,7.4,6.6,6.6,7.3,7.1,7.0,18.4,1.8,14.1,16.8,33.2
TOTAL OPERATING FUNDS,251.2,480.3,489.1,211.8,228.7,120.0,272.6,596.7,194.0,312.1,234.3,257.8
Capital Improvement,33.2,26.7,21.5,214.7,203.4,191.4,169.2,161.7,154.2,146.7,139.2,131.7
Industrial & Commercial Dev.,4.5,4.5,4.5,4.2,4.9,4.9,4.9,3.8,3.8,3.6,3.6,3.7
TOTAL CAPITAL FUNDS,37.7,31.3,26.1,218.9,208.3,196.3,174.1,165.5,158.0,150.3,142.8,135.4
TOTAL FUND EQUITY,288.9,511.5,515.2,430.7,437.0,316.2,446.7,762.2,351.9,462.5,377.1,393.2
