0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,494.3,553.9,576.5,464.8,435.9,570.6,699.5,1046.5,562.5,927.7,744.3,748.1
Grants Revenue,(58.0),83.0,20.0,16.1,(56.3),(109.5),37.6,(18.1),63.1,102.3,(17.1),(119.4)
Community Development,(16.9),(15.1),(11.7),(11.8),(4.4),(8.1),(6.7),(4.4),(3.6),3.1,(3.0),(6.1)
Vehicle Rental Tax,6.0,6.6,1.2,1.6,2.1,2.6,3.0,3.4,3.7,4.2,5.7,6.2
Hospital Assessment Fund,13.8,13.6,23.1,14.7,14.8,50.8,15.8,15.5,17.3,16.5,27.1,15.4
Housing Trust Fund,32.0,33.3,33.8,33.9,33.4,34.3,35.2,35.7,36.3,36.5,36.5,36.5
Other Funds,8.7,9.0,7.8,7.9,8.9,8.7,8.9,8.9,8.4,8.5,7.2,7.2
TOTAL OPERATING FUNDS,480.0,684.3,650.7,527.4,434.4,549.3,793.3,1087.5,687.7,1098.8,800.8,688.0
Capital Improvement,28.4,297.8,287.3,267.5,252.6,239.0,217.6,208.1,192.8,177.1,161.6,150.1
Industrial & Commercial Dev.,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
TOTAL CAPITAL FUNDS,38.1,307.6,297.1,277.3,262.4,248.8,227.5,217.9,202.7,187.0,171.5,160.0
TOTAL FUND EQUITY,518.1,992.0,947.8,804.7,696.8,798.1,1020.7,1305.4,890.4,1285.7,972.2,847.9
