0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 29,March 31,April 30,May 31,June 30
General,342.1,401.0,372.5,476.6,442.4,385.6,438.7,769.9,358.3,502.9,368.4,369.8
Grants Revenue,(123.7),(63.2),(55.9),(116.6),(145.7),(194.6),(157.3),(179.8),(207.4),(216.8),(212.1),(119.4)
Community Development,(4.1),(3.4),(4.7),(1.6),(4.2),(3.5),(6.8),(4.4),(5.9),(3.6),(2.7),(6.4)
Vehicle Rental Tax,6.4,7.0,1.6,2.1,3.3,3.7,4.1,4.4,4.8,5.2,5.7,6.1
Hospital Assessment Fund,11.2,26.5,34.0,12.6,9.9,11.6,10.3,8.9,21.0,9.2,26.2,12.4
Housing Trust Fund,25.9,26.8,27.7,28.7,20.2,21.7,19.8,19.8,19.5,19.1,19.3,18.2
Other Funds,8.7,9.0,7.8,7.9,19.6,16.8,12.3,14.9,7.2,9.8,13.5,19.3
TOTAL OPERATING FUNDS,266.5,403.7,383.1,409.8,345.4,241.3,321.0,633.8,197.5,326.0,218.2,300.1
Capital Improvement,114.2,114.6,105.2,98.5,89.0,79.5,70.0,60.5,51.0,41.5,32.0,22.5
Industrial & Commercial Dev.,5.1,5.1,5.4,5.4,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.0
TOTAL CAPITAL FUNDS,119.3,119.7,110.7,104.0,93.2,83.7,74.2,64.7,55.2,45.6,36.1,26.5
TOTAL FUND EQUITY,385.8,523.4,493.7,513.8,438.7,325.1,395.2,698.5,252.8,371.6,254.4,326.6
