0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,(18.7),138.3,189.2,112.7,117.2,245.7,"321,5",620.2,"317,5",405.0,274.6,239.5
Grants Revenue,123.7,136.9,61.2,58.7,(3.4),(67.3),(88.0),(112.7),(79.7),(83.2),(153.4),(87.3)
Community Development,(9.3),(0.7),0.3,(0.1),2.2,1.0,4.4,3.1,(4.5),(0.8),(7.4),(7.5)
Vehicle Rental Tax,6.3,"6,9",7.4,7.9,8.2,"8,6",9.0,9.3,9.7,10.1,4.8,5.2
Hospital Assessment Fund,5.2,5.0,6.6,6.2,5.9,7.7,7.4,7.3,9.3,8.8,23.4,19.8
Housing Trust Fund,11.2,11.6,11.9,11.9,11.9,9.8,9.9,10.3,10.3,10.7,14.4,14.7
Other Funds,29.4,14.5,19.7,"16,6",18.2,57.3,12.7,60.9,10.9,14.8,11.1,20.6
TOTAL OPERATING FUNDS,147.7,312.6,296.3,213.9,160.3,"262,7",277.0,598.5,273.5,365.2,167.4,205.0
Capital Improvement,201.0,193.2,183.6,176.3,169.1,160.2,"155,3",146.6,127.1,125.5,118.5,111.5
Industrial & Commercial Dev.,3.4,3.4,3.4,3.7,3.7,"3,7",3.7,3.7,3.7,3.7,3.5,3.5
TOTAL CAPITAL FUNDS,204.3,196.6,186.9,180.0,172.8,163.8,159.0,150.3,130.8,129.2,122.0,115.0
TOTAL FUND EQUITY,352.0,509.2,483.2,393.9,333.1,426.6,"436,0",748.7,404.3,494.4,289.4,320.0
