0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,(18.7),138.3,189.2,112.7,117.2,245.7,321.5,495.4,230.8,304.6,208.2,230.6
Grants Revenue,123.7,136.9,61.2,58.7,(3.4),(67.3),(88.0),(143.7),(173.4),(126.6),(153.4),(87.3)
Community Development,(9.3),(0.7),0.3,(0.1),2.2,1.0,4.4,(6.4),(4.4),(5.2),(7.4),(7.5)
Vehicle Rental Tax,6.3,6.9,7.4,7.9,8.2,8.6,9.0,5.4,3.9,4.3,4.8,5.2
Hospital Assessment Fund,5.2,5.0,6.6,6.2,5.9,7.7,7.4,7.1,20.1,8.6,23.4,19.8
Housing Trust Fund,11.2,11.6,11.9,11.9,11.9,9.8,9.9,16.5,"15,7",14.7,14.4,14.7
Other Funds,29.4,14.5,19.7,16.6,18.2,57.3,12.7,10.5,4.2,11.2,11.1,20.6
TOTAL OPERATING FUNDS,147.7,312.6,296.3,213.9,160.3,262.7,277.0,384.7,96.8,"211,6",101.0,196.1
Capital Improvement,201.0,193.2,183.6,176.3,169.1,160.2,155.3,159.1,154.5,151.1,146.1,134.6
Industrial & Commercial Dev.,3.4,3.4,3.4,3.7,"3,7",3.7,3.7,3.6,3.6,3.5,3.5,3.5
TOTAL CAPITAL FUNDS,204.3,"196,6",186.9,180.0,172.8,163.8,159.0,162.7,158.1,154.6,149.6,138.1
TOTAL FUND EQUITY,352.0,509.2,483.2,393.9,333.1,426.6,436.0,"547,4",254.9,366.2,250.6,334.2
