0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,231.4,218.6,227.8,226.5,"166,6",65.2,"-8,8","161,9",211.7,321.6,46.5,"21,8"
Grants Revenue,168.9,145.2,53.5,74.2,54.5,34.7,30.0,30.0,"30,0",35.0,35.0,"35,0"
Community Development,(13.2),(4.8),(8.8),(11.3),(11.3),(11.3),(9.0),(9.0),(9.0),(7.0),(7.0),(7.0)
Vehicle Rental Tax,"5,7",6.3,4.3,4.7,5.0,5.4,5.7,"6,0",6.3,6.6,4.1,4.4
Other Funds,"9,9","22,9",11.2,9.0,12.0,11.7,9.0,"9,0",9.0,9.0,9.0,9.0
TOTAL OPERATING FUNDS,402.7,"388,2",288.0,303.1,226.8,105.7,26.9,197.9,248.0,365.2,87.6,63.2
Capital Improvement,66.6,61.0,57.8,"46,6",48.7,37.0,186.8,178.8,170.8,162.8,154.8,146.8
Industrial & Commercial Dev.,4.3,4.3,"4,9","5,5",5.6,4.5,4.5,4.5,"4,5",4.5,"4,5",4.5
TOTAL CAPITAL FUNDS,70.9,65.3,62.7,52.1,54.3,41.5,191.3,183.3,175.3,167.3,159.3,151.3
TOTAL FUND EQUITY,473.6,"453,5",350.7,355.2,"281,1",147.2,218.2,381.2,423.3,532.5,246.9,"214,5"
