0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Nov 30,Amounts Dec 31,in Millions Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,217.0,305.8,"297,3",265.1,278.1,186.7,192.4,452.8,230.6,"248,3",136.1,100.2
Grants Revenue,111.5,108.1,104.3,44.2,"50,0","50,0",50.0,50.0,"50,0",40.0,40.0,"40,0"
Community Development,(1.3),(5.0),(4.1),(3.0),(3.0),(2.0),(2.0),(2.0),(2.0),(2.0),(2.0),(2.0)
Vehicle Rental Tax,5.2,5.7,2.2,6.4,6.8,7.2,7.6,8.0,5.9,6.4,"6,9",7.4
Hospital Assessment Fund,4.2,3.6,35.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"2,0",2.0
Housing Trust Fund,16.6,16.4,16.8,12.0,12.0,12.0,12.0,14.0,"14,0",14.0,12.0,12.0
Other Funds,26.5,20.6,16.8,9.0,9.0,"9,0",9.0,9.0,9.0,9.0,9.0,9.0
TOTAL OPERATING FUNDS,379.7,455.2,468.4,335.7,354.9,"264,9",271.0,533.8,"309,5",317.7,204.0,"168,6"
Capital Improvement,124.3,122.1,111.6,"105,0","98,0",229.5,219.5,209.5,"201,5",192.5,"183,5","173,5"
Industrial & Commercial Dev.,4.8,4.8,5.1,4.5,4.5,4.5,4.5,4.5,4.5,"4,5",4.5,4.5
TOTAL CAPITAL FUNDS,129.1,126.9,116.7,109.5,102.5,234.0,224.0,214.0,206.0,"197,0",188.0,178.0
TOTAL FUND EQUITY,508.8,582.1,585.1,445.2,457.4,498.9,495.0,747.8,"515,5",514.7,392.0,346.6
