0,1,2,3,4,5,6,7,8,9,10,11,12
,July 31,Aug 31,Sept 30,Oct 31,Actual Nov 30,Dec 31,Jan 31,Feb 28,March 31,April 30,May 31,June 30
General,231.4,218.6,227.8,226.5,166.6,65.2,(8.1),196.7,259.9,362.0,131.4,24.4
Grants Revenue,168.9,145.2,53.5,74.2,54.5,34.7,77.7,41.5,54.8,78.3,73.5,40.0
Community Development,(13.2),(4.8),(8.8),(11.3),(11.3),(11.3),(9.7),(10.0),(10.6),(9.9),(6.0),(8.0)
Vehicle Rental Tax,5.7,6.3,4.3,4.7,5.0,5.4,5.8,6.1,3.9,4.2,4.6,4.9
Other Funds,9.9,22.9,11.2,9.0,12.0,11.7,5.0,5.0,11.7,7.0,5.0,9.0
TOTAL OPERATING FUNDS,402.7,388.2,288.0,303.1,226.8,105.7,70.7,239.3,319.7,441.6,208.5,70.3
Capital Improvement,66.6,61.0,57.8,46.6,48.7,37.0,197.9,195.6,192.3,187.9,181.2,177.2
Industrial & Commercial Dev.,4.3,4.3,4.9,5.5,5.6,5.6,5.6,4.3,4.3,4.4,4.5,4.5
TOTAL CAPITAL FUNDS,70.9,65.3,62.7,52.1,54.3,42.6,203.5,199.9,196.6,192.3,185.7,181.7
TOTAL FUND EQUITY,473.6,453.5,350.7,355.2,281.1,148.3,274.2,439.2,516.3,633.9,394.2,252.0
