dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation
Art Museum Subsidy,2620000,2016,Actual,Full Year,2016-06-30,Art Museum,34,
Atwater Kent Museum,273470,2016,Actual,Full Year,2016-06-30,Atwater Kent Museum,18,Atwater Kent
Auditing (City Controller's Office),8411871,2016,Actual,Full Year,2016-06-30,City Controller's Office,61,
Board of Ethics,924707,2016,Actual,Full Year,2016-06-30,Board of Ethics,45,
Board of Revision of Taxes,995224,2016,Actual,Full Year,2016-06-30,Board of Revision of Taxes,63,BRT
City Commissioners (Election Board),10095472,2016,Actual,Full Year,2016-06-30,City Commissioner's Office,73,City Commissioners
City Council,15512500,2016,Actual,Full Year,2016-06-30,City Council,01,
City Planning Commission,2390786,2016,Actual,Full Year,2016-06-30,City Planning Commission,51,
City Representative,1068844,2016,Actual,Full Year,2016-06-30,Office of the City Representative,41,City Rep
City Treasurer,1114956,2016,Actual,Full Year,2016-06-30,Office of the City Treasurer,40,City Treasurer
Civil Service Commission (1),179973,2016,Actual,Full Year,2016-06-30,Civil Service Commission,55,
Commerce,4668598,2016,Actual,Full Year,2016-06-30,Office of the Director of Commerce,42,Commerce
Commerce-Convention Center Subsidy,15000000,2016,Actual,Full Year,2016-06-30,Commerce: Convention Center Subsidy,42CC,
Commerce-Economic Stimulus,3294448,2016,Actual,Full Year,2016-06-30,Commerce: Economic Stimulus,42ES,
District Attorney,35698216,2016,Actual,Full Year,2016-06-30,District Attorney's Office,69,DAO
Finance,22023621,2016,Actual,Full Year,2016-06-30,Office of the Director of Finance,35,Finance
Finance-Community College Subsidy,30909207,2016,Actual,Full Year,2016-06-30,Finance: Community College Subsidy,35CC,
Finance - Employee Benefits,1181264999,2016,Actual,Full Year,2016-06-30,Finance: Employee Benefits,35EB,
Finance-Hero Scholarship Awards,18000,2016,Actual,Full Year,2016-06-30,Finance: Hero Scholarship Awards,35HA,
Finance-Indemnities,0,2016,Actual,Full Year,2016-06-30,Finance: Indemnities,35IN,
Finance-Refunds,0,2016,Actual,Full Year,2016-06-30,Finance: Refunds,35R,
Finance-School District Contribution,104184673,2016,Actual,Full Year,2016-06-30,Finance: School District Contribution,35SD,
Finance-Witness Fees,136175,2016,Actual,Full Year,2016-06-30,Finance: Witness Fees,35WF,
Fire,246241653,2016,Actual,Full Year,2016-06-30,Fire Department,13,Fire
First Judicial District,117886691,2016,Actual,Full Year,2016-06-30,First Judicial District,84,FJD
Fleet Management,44454602,2016,Actual,Full Year,2016-06-30,Office of Fleet Management,25,Fleet
Fleet Management - Vehicle Purchases,17297984,2016,Actual,Full Year,2016-06-30,Fleet: Vehicle Lease/Purchases,25V,
Free Library,39764426,2016,Actual,Full Year,2016-06-30,The Free Library of Philadelphia,52,Free Library
Historical Commission,343279,2016,Actual,Full Year,2016-06-30,Historical Commission,32,
