dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,abbreviation,dept_code
Art Museum Subsidy,2040000,2021,Actual,Full Year,2021-06-30,Art Museum,,34
Auditing (City Controller's Office),9824760,2021,Actual,Full Year,2021-06-30,City Controller's Office,,61
Board of Ethics,817525,2021,Actual,Full Year,2021-06-30,Board of Ethics,,45
Board of Revision of Taxes,1049649,2021,Actual,Full Year,2021-06-30,Board of Revision of Taxes,BRT,63
City Commissioners (Election Board),20871241,2021,Actual,Full Year,2021-06-30,City Commissioner's Office,City Commissioners,73
City Council,17009546,2021,Actual,Full Year,2021-06-30,City Council,,01
City Treasurer,1714804,2021,Actual,Full Year,2021-06-30,Office of the City Treasurer,City Treasurer,40
Civil Service Commission,170033,2021,Actual,Full Year,2021-06-30,Civil Service Commission,,55
Commerce,3332692,2021,Actual,Full Year,2021-06-30,Office of the Director of Commerce,Commerce,42
Commerce-Convention Center Subsidy,15000000,2021,Actual,Full Year,2021-06-30,Commerce: Convention Center Subsidy,,42CC
Commerce-Economic Stimulus,2957678,2021,Actual,Full Year,2021-06-30,Commerce: Economic Stimulus,,42ES
District Attorney,42026933,2021,Actual,Full Year,2021-06-30,District Attorney's Office,DAO,69
Finance,56342371,2021,Actual,Full Year,2021-06-30,Office of the Director of Finance,Finance,35
Finance-Budget Stabilization Reserve,0,2021,Actual,Full Year,2021-06-30,Finance: Budget Stabilization Reserve,,35BSR
Finance-Disability-Reg #32 Payroll,2167137,2021,Actual,Full Year,2021-06-30,Finance: Reg #32,,35R32
Finance-Recession Reserve and Reopening,0,2021,Actual,Full Year,2021-06-30,Finance: Recession Reserve,,35RR
Finance-Community College Subsidy,41628751,2021,Actual,Full Year,2021-06-30,Finance: Community College Subsidy,,35CC
Finance - Employee Benefits *,1270300692,2021,Actual,Full Year,2021-06-30,Finance: Employee Benefits,,35EB
Finance-Hero Scholarship Awards,0,2021,Actual,Full Year,2021-06-30,Finance: Hero Scholarship Awards,,35HA
Finance-Indemnities,-5535036,2021,Actual,Full Year,2021-06-30,Finance: Indemnities,,35IN
Finance-Refunds,14153,2021,Actual,Full Year,2021-06-30,Finance: Refunds,,35R
Finance-School District Contribution,252578558,2021,Actual,Full Year,2021-06-30,Finance: School District Contribution,,35SD
Finance-Witness Fees,31007,2021,Actual,Full Year,2021-06-30,Finance: Witness Fees,,35WF
Fire,344502428,2021,Actual,Full Year,2021-06-30,Fire Department,Fire,13
First Judicial District,114312315,2021,Actual,Full Year,2021-06-30,First Judicial District,FJD,84
Fleet Services,41916725,2021,Actual,Full Year,2021-06-30,Office of Fleet Management,Fleet,25
Fleet Services - Vehicle Purchases,13352566,2021,Actual,Full Year,2021-06-30,Fleet: Vehicle Lease/Purchases,,25V
Free Library,40116664,2021,Actual,Full Year,2021-06-30,The Free Library of Philadelphia,Free Library,52
Human Relations Commission,2285473,2021,Actual,Full Year,2021-06-30,Commission on Human Relations,Human Relations,54
Human Services,154211458,2021,Actual,Full Year,2021-06-30,Department of Human Services,DHS,22
Labor,2377751,2021,Actual,Full Year,2021-06-30,Labor,,03
Law,16219764,2021,Actual,Full Year,2021-06-30,Law Department,Law,44
Licenses & Inspections,37334864,2021,Actual,Full Year,2021-06-30,Department of Licenses and Inspections,L&I,26
L&I-Board of Building Standards,85061,2021,Actual,Full Year,2021-06-30,L&I: Board of Building and Standards,,29
L&I-Board of L & I Review,129012,2021,Actual,Full Year,2021-06-30,L&I: Board of Review,,27
Managing Director's Office,63448139,2021,Actual,Full Year,2021-06-30,Managing Director's Office,MDO,10
Managing Director-Legal Services,50635963,2021,Actual,Full Year,2021-06-30,MDO: Legal Services,,10LS
Mayor's Office,6480074,2021,Actual,Full Year,2021-06-30,Mayor's Office,Mayor,05
Mayor's Office-Scholarships,196500,2021,Actual,Full Year,2021-06-30,Mayor's Office: Scholarships,,05S
Mayor's Office-Comm. Empowerment & Opp.,45000,2021,Actual,Full Year,2021-06-30,Mayor's Office of Community Empowerment and Opportunity,CEO,08
Mural Arts Program,2122763,2021,Actual,Full Year,2021-06-30,Mural Arts Program,Mural Arts,50
Office of Behavioral Hith & Intellectual disAbility,15477402,2021,Actual,Full Year,2021-06-30,Behavioral Health and Intellectual Disability Services,DBH/IDS,15
Office of the Chief Administrative Officer,5822476,2021,Actual,Full Year,2021-06-30,Office of the Chief Administrative Officer,CAO,65
Office of Children and Families,418820,2021,Actual,Full Year,2021-06-30,Office of Children and Families,OCF,66
Office of Homeless Services,44781994,2021,Actual,Full Year,2021-06-30,Office of Homeless Services,OHS,24
Office of Human Resources,5717867,2021,Actual,Full Year,2021-06-30,Office of Human Resources,OHR,56
Office of Innovation and Technology-Base,75346693,2021,Actual,Full Year,2021-06-30,Office of Innovation and Technology,OIT,04
Office of Innovation and Technology-911,15411322,2021,Actual,Full Year,2021-06-30,OIT: 911,,04911
Office of the Inspector General,1369200,2021,Actual,Full Year,2021-06-30,Office of the Inspector General,OIG,48
Office of Property Assessment,15213643,2021,Actual,Full Year,2021-06-30,Office of Property Assessment,OPA,59
Office of Sustainability,1081900,2021,Actual,Full Year,2021-06-30,Office of Sustainability,Sustainability,49
Parks and Recreation,52622772,2021,Actual,Full Year,2021-06-30,Department of Parks and Recreation,Parks & Recreation,16
Planning & Development,14706453,2021,Actual,Full Year,2021-06-30,Department of Planning and Development,Planning & Development,72
Police,759140543,2021,Actual,Full Year,2021-06-30,Police Department,Police,11
Prisons,219172828,2021,Actual,Full Year,2021-06-30,Philadelphia Prison System,Prisons,23
Procurement,5856103,2021,Actual,Full Year,2021-06-30,Procurement Department,Procurement,38
Public Health,156193405,2021,Actual,Full Year,2021-06-30,Department of Public Health,Public Health,14
Public Property,64650999,2021,Actual,Full Year,2021-06-30,Department of Public Property,Public Property,20
Public Property-SEPTA Subsidy,84608000,2021,Actual,Full Year,2021-06-30,Public Property: SEPTA Subsidy,,20SS
Public Property-Space Rentals,25007711,2021,Actual,Full Year,2021-06-30,Public Property: Space Rentals,,20SR
