dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,fiscal_year,class_900,total,abbreviation,dept_code,dept_name,dept_major_code
& Inspection-Demolition,0.0,0.0,0.0,0.0,0.0,0.0,2004,0,0.0,,26D,L&I: Demolition,26
Art Museum,0.0,0.0,0.0,2250000.0,0.0,0.0,2004,0,2250000.0,,34,Art Museum,34
Atwater Kent Museum,285546.0,5850.0,0.0,0.0,0.0,0.0,2004,0,291396.0,Atwater Kent,18,Atwater Kent Museum,18
Auditing,6956898.0,496015.0,46064.0,0.0,0.0,0.0,2004,0,7498977.0,,61,City Controller's Office,61
Board of Building Standards,99429.0,125.0,628.0,0.0,0.0,0.0,2004,0,100182.0,,29,L&I: Board of Building and Standards,29
Board of L.&I. Review,163650.0,30217.0,567.0,0.0,0.0,0.0,2004,0,194434.0,,27,L&I: Board of Review,27
Board of Revision of Taxes,7275313.0,444279.0,168445.0,0.0,0.0,0.0,2004,0,7888037.0,BRT,63,Board of Revision of Taxes,63
Camp William Penn,216643.0,113651.0,80189.0,0.0,0.0,0.0,2004,0,410483.0,,19,Camp William Penn,19
Capital Program Office,1143261.0,379809.0,86829.0,0.0,0.0,650000.0,2004,0,2259899.0,,07,Capital Program Office,07
City Commissioners,4706830.0,3183514.0,570048.0,0.0,0.0,0.0,2004,0,8460392.0,City Commissioners,73,City Commissioner's Office,73
City Council,11026478.0,1783134.0,533244.0,0.0,0.0,0.0,2004,0,13342856.0,,01,City Council,01
City Planning,3158314.0,122611.0,64765.0,0.0,0.0,0.0,2004,0,3345690.0,,51,City Planning Commission,51
City Treasurer,625411.0,82992.0,26980.0,0.0,0.0,0.0,2004,0,735383.0,City Treasurer,40,Office of the City Treasurer,40
Civic Center,150435.0,81649.0,1579.0,0.0,0.0,0.0,2004,0,233663.0,Aviation,43,Division of Aviation,43
Civil Service,126153.0,153.0,1840.0,0.0,0.0,0.0,2004,0,128146.0,,55,Civil Service Commission,55
Clerk of Quarter Sessions,4525499.0,22268.0,70394.0,0.0,0.0,0.0,2004,0,4618161.0,,64,Clerk of Quarter Sessions,64
Commerce-Economic Stimulus,0.0,4131250.0,0.0,0.0,0.0,0.0,2004,0,4131250.0,,42ES,Commerce: Economic Stimulus,42
Community College Subsidy,0.0,0.0,0.0,22467924.0,0.0,0.0,2004,0,22467924.0,,35CC,Finance: Community College Subsidy,35
