dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,fiscal_year,total,abbreviation,dept_code,dept_name,dept_major_code
Art Museum,0.0,0.0,0.0,2250000.0,0.0,0.0,0.0,2007,2250000.0,,34,Art Museum,34
Atwater Kent Museum,250997.0,5436.0,0.0,0.0,0.0,0.0,0.0,2007,256433.0,Atwater Kent,18,Atwater Kent Museum,18
Auditing,7039481.0,653800.0,92266.0,0.0,0.0,0.0,0.0,2007,7785547.0,,61,City Controller's Office,61
Board of Building Standards,91419.0,0.0,59.0,0.0,0.0,0.0,0.0,2007,91478.0,,29,L&I: Board of Building and Standards,29
Board of Ethics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,0.0,,45,Board of Ethics,45
Board of L.&I. Review,179400.0,4203.0,627.0,0.0,0.0,0.0,0.0,2007,184230.0,,27,L&I: Board of Review,27
Board of Revision of Taxes,7772791.0,337597.0,123151.0,0.0,0.0,1325499.0,0.0,2007,9559038.0,BRT,63,Board of Revision of Taxes,63
Camp William Penn,164382.0,96087.0,48483.0,0.0,0.0,0.0,0.0,2007,308952.0,,19,Camp William Penn,19
Capital Program Office,753799.0,347935.0,88373.0,0.0,0.0,572000.0,0.0,2007,1762107.0,,07,Capital Program Office,07
City Commissioners,4858835.0,3103810.0,477970.0,0.0,0.0,0.0,0.0,2007,8440615.0,City Commissioners,73,City Commissioner's Office,73
City Council,10591117.0,2234453.0,799118.0,0.0,0.0,0.0,0.0,2007,13624688.0,,01,City Council,01
City Planning,3042704.0,113234.0,58397.0,0.0,0.0,0.0,0.0,2007,3214335.0,,51,City Planning Commission,51
City Representative/Commerce,1165372.0,6298086.0,93773.0,2200000.0,0.0,0.0,0.0,2007,9757231.0,City Rep,41,Office of the City Representative,41
City Treasurer,555419.0,63525.0,22639.0,0.0,0.0,0.0,0.0,2007,641583.0,City Treasurer,40,Office of the City Treasurer,40
Civil Service,119559.0,24500.0,1872.0,0.0,0.0,0.0,0.0,2007,145931.0,,55,Civil Service Commission,55
Clerk of Quarter Sessions,4642061.0,21765.0,128600.0,0.0,0.0,0.0,0.0,2007,4792426.0,,64,Clerk of Quarter Sessions,64
Commerce-Economic Stimulus,0.0,6000000.0,0.0,0.0,0.0,0.0,0.0,2007,6000000.0,,42ES,Commerce: Economic Stimulus,42
Community College Subsidy,0.0,0.0,0.0,23467924.0,0.0,0.0,0.0,2007,23467924.0,,35CC,Finance: Community College Subsidy,35
Convention Center Subsidy,0.0,0.0,0.0,0.0,0.0,0.0,31199538.0,2007,31199538.0,,42CC,Commerce: Convention Center Subsidy,42
Debt Service (Sinking Fund),0.0,84265593.0,0.0,0.0,89153916.0,0.0,0.0,2007,173419509.0,Sinking Fund,37,Sinking Fund Commission,37
Director of Finance,9455980.0,8913902.0,494518.0,6113708.0,0.0,0.0,0.0,2007,24978108.0,Finance,35,Office of the Director of Finance,35
District Attorney,27643334.0,1682509.0,770696.0,0.0,0.0,222029.0,0.0,2007,30318568.0,DAO,69,District Attorney's Office,69
Fairmount Park Commission,8641840.0,2637832.0,665973.0,1850000.0,0.0,0.0,0.0,2007,13795645.0,,17,Fairmount Park Commission,17
Finance-Contribution to School District,0.0,0.0,0.0,35000000.0,0.0,0.0,0.0,2007,35000000.0,,35SD,Finance: School District Contribution,35
Finance-Employee Benefits,890330539.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,890330539.0,,35EB,Finance: Employee Benefits,35
Finance-PGW  Reimbursement,0.0,0.0,0.0,18000000.0,0.0,0.0,0.0,2007,18000000.0,,35PGW,Finance: PGW Reimbursement,35
Fire,175768344.0,6218164.0,6561359.0,0.0,0.0,7006640.0,0.0,2007,195554507.0,Fire,13,Fire Department,13
First Judicial District,88826470.0,24783624.0,2723814.0,0.0,0.0,0.0,0.0,2007,116333908.0,FJD,84,First Judicial District,84
Fleet Management,17158282.0,4266650.0,25663070.0,0.0,0.0,0.0,0.0,2007,47088002.0,Fleet,25,Office of Fleet Management,25
Fleet Management -Vehicle Purch.,0.0,0.0,12598757.0,0.0,0.0,0.0,0.0,2007,12598757.0,,25V,Fleet: Vehicle Lease/Purchases,25
Free Library,33995130.0,1352068.0,3843486.0,0.0,0.0,0.0,0.0,2007,39190684.0,Free Library,52,The Free Library of Philadelphia,52
Hero Scholarship Awards,0.0,0.0,0.0,26000.0,0.0,0.0,0.0,2007,26000.0,,35HA,Finance: Hero Scholarship Awards,35
Historical Commission,290833.0,18188.0,5607.0,0.0,0.0,0.0,0.0,2007,314628.0,,32,Historical Commission,32
Human Relations,2111219.0,37882.0,25602.0,0.0,0.0,0.0,0.0,2007,2174703.0,Human Relations,54,Commission on Human Relations,54
Human Services,90561664.0,495355454.0,4451493.0,506.0,0.0,0.0,0.0,2007,590369117.0,DHS,22,Department of Human Services,22
Indemnities,0.0,0.0,0.0,26632868.0,0.0,0.0,0.0,2007,26632868.0,,35IN,Finance: Indemnities,35
Labor Relations,495014.0,21176.0,30854.0,0.0,0.0,0.0,0.0,2007,547044.0,,03,Labor,03
Law,10091089.0,5817358.0,283474.0,0.0,0.0,0.0,0.0,2007,16191921.0,Law,44,Law Department,44
Legal Services,0.0,35403767.0,0.0,0.0,0.0,0.0,0.0,2007,35403767.0,,10LS,MDO: Legal Services,10
Licenses & Inspection,16511531.0,3335282.0,579736.0,0.0,0.0,0.0,0.0,2007,20426549.0,L&I,26,Department of Licenses and Inspections,26
Licenses & Inspection-Demolition,0.0,8049417.0,0.0,0.0,0.0,0.0,0.0,2007,8049417.0,,26D,L&I: Demolition,26
Managing Director,8117286.0,4399269.0,762770.0,0.0,0.0,0.0,0.0,2007,13279325.0,MDO,10,Managing Director's Office,10
Managing Director - Office of Technology,6699907.0,6478564.0,187752.0,0.0,0.0,287791.0,0.0,2007,13654014.0,OIT,04,Office of Innovation and Technology,04
Mayor - Mural Arts Program,453526.0,270261.0,0.0,0.0,0.0,0.0,0.0,2007,723787.0,Mural Arts,50,Mural Arts Program,50
Mayor - Scholarships,0.0,0.0,0.0,199855.0,0.0,0.0,0.0,2007,199855.0,,05S,Mayor's Office: Scholarships,05
Mayor's Office,4277032.0,701041.0,81047.0,0.0,0.0,0.0,0.0,2007,5059120.0,Mayor,05,Mayor's Office,05
Mayor's Office of Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,0.0,,46,Mayor's Office of Transportation and Utilities,46
Office of Behavioral Health / Mental Retardation Services,2222971.0,12128834.0,0.0,0.0,0.0,0.0,0.0,2007,14351805.0,DBH/IDS,15,Behavioral Health and Intellectual Disability Services,15
Office of Housing and Comm. Dev.,46341.0,5899865.0,0.0,0.0,0.0,371081.0,0.0,2007,6317287.0,,06,Office of Housing and Community Development,06
Office of Supportive Housing,6828986.0,31321085.0,426251.0,32275.0,0.0,0.0,0.0,2007,38608597.0,OHS,24,Office of Homeless Services,24
Personnel,3956530.0,781681.0,54297.0,0.0,0.0,0.0,0.0,2007,4792508.0,OHR,56,Office of Human Resources,56
Police,478231611.0,7406885.0,7793335.0,0.0,0.0,181133.0,0.0,2007,493612964.0,Police,11,Police Department,11
Prisons,115246659.0,87504361.0,4525611.0,1124660.0,0.0,0.0,0.0,2007,208401291.0,Prisons,23,Philadelphia Prison System,23
Procurement,2488146.0,2369304.0,75171.0,0.0,0.0,0.0,0.0,2007,4932621.0,Procurement,38,Procurement Department,38
Public Health,39900244.0,65546047.0,4318196.0,0.0,0.0,3000000.0,0.0,2007,112764487.0,Public Health,14,Department of Public Health,14
Public Property,9032956.0,29102317.0,1311404.0,0.0,0.0,25370421.0,0.0,2007,64817098.0,Public Property,20,Department of Public Property,20
Public Property-SEPTA Subsidy,0.0,58040145.0,0.0,0.0,0.0,0.0,0.0,2007,58040145.0,,20SS,Public Property: SEPTA Subsidy,20
Public Property-Space Rentals,0.0,15922591.0,0.0,0.0,0.0,0.0,0.0,2007,15922591.0,,20SR,Public Property: Space Rentals,20
Public Property-Telecomm.,0.0,21145268.0,0.0,0.0,0.0,0.0,0.0,2007,21145268.0,,20T,Public Property: Telecommunications,20
Public Property-Utilities,0.0,32070658.0,0.0,0.0,0.0,0.0,0.0,2007,32070658.0,,20U,Public Property: Utilities,20
Records,3550181.0,3755238.0,496456.0,2407.0,0.0,212896.0,0.0,2007,8017178.0,Records,31,Department of Records,31
Recreation,29330231.0,2392582.0,1871324.0,2000000.0,0.0,0.0,0.0,2007,35594137.0,Parks & Recreation,16,Department of Parks and Recreation,16
Refunds,0.0,0.0,0.0,10411.0,0.0,0.0,0.0,2007,10411.0,,35R,Finance: Refunds,35
Register of Wills,3315520.0,35127.0,21779.0,0.0,0.0,70965.0,0.0,2007,3443391.0,,68,Register of Wills,68
Revenue,12073257.0,3854058.0,653163.0,0.0,0.0,106315.0,0.0,2007,16686793.0,Revenue,36,Department of Revenue,36
Sheriff,13856672.0,487260.0,276587.0,0.0,0.0,0.0,0.0,2007,14620519.0,Sheriff,70,Office of the Sheriff,70
Streets,20364041.0,10688555.0,4256728.0,1577.0,0.0,0.0,0.0,2007,35310901.0,Streets,12,Streets Department,12
Streets - Sanitation,44468301.0,47663070.0,1341702.0,48171.0,0.0,0.0,0.0,2007,93521244.0,,12S,Streets: Sanitation,12
Witness Fees,0.0,135024.0,0.0,0.0,0.0,0.0,0.0,2007,135024.0,,35WF,Finance: Witness Fees,35
Youth Commission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,0.0,,47,Youth Commission,47
Zoning Bd. of Adj.,350156.0,47870.0,0.0,0.0,0.0,0.0,0.0,2007,398026.0,ZBA,30,Zoning Board of Adjustments,30
Zoning Code Commission,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,0.0,,57,Zoning Code Commission,57
