dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,fiscal_year,total,abbreviation,dept_code,dept_name,dept_major_code
Art Museum,0.0,0.0,0.0,2350000.0,0.0,0.0,0.0,2011,2350000.0,,34,Art Museum,34
Atwater Kent Museum,182101.0,0.0,0.0,85000.0,0.0,0.0,0.0,2011,267101.0,Atwater Kent,18,Atwater Kent Museum,18
Auditing,6725248.0,1114450.0,0.0,0.0,0.0,0.0,0.0,2011,7839698.0,,61,City Controller's Office,61
Board of Building Standards,61104.0,0.0,59.0,0.0,0.0,0.0,0.0,2011,61163.0,,29,L&I: Board of Building and Standards,29
Board of Ethics,642747.0,27026.0,11010.0,0.0,0.0,0.0,0.0,2011,680783.0,,45,Board of Ethics,45
Board of L.&I. Review,126917.0,8823.0,0.0,0.0,0.0,0.0,0.0,2011,135740.0,,27,L&I: Board of Review,27
Board of Revision of Taxes,1848725.0,21287.0,9854.0,0.0,0.0,0.0,0.0,2011,1879866.0,BRT,63,Board of Revision of Taxes,63
City Commissioners,5320735.0,3032994.0,450782.0,0.0,0.0,0.0,0.0,2011,8804511.0,City Commissioners,73,City Commissioner's Office,73
City Counci,11603703.0,1905415.0,263108.0,0.0,0.0,0.0,0.0,2011,13772226.0,,01,City Council,01
City Planning,2129152.0,84436.0,34650.0,0.0,0.0,0.0,0.0,2011,2248238.0,,51,City Planning Commission,51
City Representative,327235.0,527127.0,49543.0,0.0,0.0,0.0,0.0,2011,903905.0,City Rep,41,Office of the City Representative,41
City Treasurer,666050.0,89085.0,5577.0,0.0,0.0,0.0,0.0,2011,760712.0,City Treasurer,40,Office of the City Treasurer,40
Civil Service,137932.0,29500.0,477.0,0.0,0.0,0.0,0.0,2011,167909.0,,55,Civil Service Commission,55
Commerce,1595054.0,340757.0,14847.0,0.0,0.0,0.0,0.0,2011,1950658.0,Commerce,42,Office of the Director of Commerce,42
Commerce-Economic Stimulus,0.0,1372143.0,0.0,0.0,0.0,0.0,0.0,2011,1372143.0,,42ES,Commerce: Economic Stimulus,42
Community College Subsidy,0.0,0.0,0.0,25409207.0,0.0,0.0,0.0,2011,25409207.0,,35CC,Finance: Community College Subsidy,35
Convention Center Subsidy,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,2011,15000000.0,,42CC,Commerce: Convention Center Subsidy,42
Director of Finance,8827172.0,3943353.0,97369.0,3492249.0,0.0,0.0,0.0,2011,16360143.0,Finance,35,Office of the Director of Finance,35
District Attorney,28386002.0,1616706.0,500412.0,0.0,0.0,0.0,0.0,2011,30503120.0,DAO,69,District Attorney's Office,69
Finance-Contribution  to School District,0.0,0.0,0.0,38600000.0,0.0,0.0,0.0,2011,38600000.0,,35SD,Finance: School District Contribution,35
Finance-Employee Benefits,967058680.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,967058680.0,,35EB,Finance: Employee Benefits,35
Finance-PGW Reimbursement,0.0,0.0,0.0,1700000.0,0.0,0.0,0.0,2011,1700000.0,,35PGW,Finance: PGW Reimbursement,35
Fire,174356738.0,6418370.0,6429204.0,0.0,0.0,6562000.0,0.0,2011,193766312.0,Fire,13,Fire Department,13
First Judicial District,84989346.0,27944548.0,2305307.0,0.0,0.0,0.0,0.0,2011,115239201.0,FJD,84,First Judicial District,84
