dept_name_raw,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,fiscal_year,total,abbreviation,dept_code,dept_name,dept_major_code
Art Museum,0.0,0.0,0.0,2300000.0,0.0,0.0,0.0,2010,2300000.0,,34,Art Museum,34
Atwater Kent Museum,248059.0,0.0,0.0,50000.0,0.0,0.0,0.0,2010,298059.0,Atwater Kent,18,Atwater Kent Museum,18
Auditing,6886798.0,521219.0,0.0,0.0,0.0,0.0,0.0,2010,7408017.0,,61,City Controller's Office,61
Board of Building Standards,61224.0,0.0,59.0,0.0,0.0,0.0,0.0,2010,61283.0,,29,L&I: Board of Building and Standards,29
Board of Ethics,679563.0,23076.0,2906.0,0.0,0.0,0.0,0.0,2010,705545.0,,45,Board of Ethics,45
Board of L.&I. Review,120849.0,6191.0,0.0,0.0,0.0,0.0,0.0,2010,127040.0,,27,L&I: Board of Review,27
Board of Revision of Taxes,7074332.0,335998.0,52682.0,0.0,0.0,0.0,0.0,2010,7463012.0,BRT,63,Board of Revision of Taxes,63
City Commissioners,5858757.0,2741043.0,421344.0,0.0,0.0,0.0,0.0,2010,9021144.0,City Commissioners,73,City Commissioner's Office,73
City Council,11916408.0,1159186.0,297890.0,0.0,0.0,0.0,0.0,2010,13373484.0,,01,City Council,01
City Planning,2745493.0,109955.0,48572.0,0.0,0.0,0.0,0.0,2010,2904020.0,,51,City Planning Commission,51
City Representative,329524.0,544833.0,31805.0,0.0,0.0,0.0,0.0,2010,906162.0,City Rep,41,Office of the City Representative,41
City Treasurer,619313.0,7954.0,20292.0,0.0,0.0,0.0,0.0,2010,647559.0,City Treasurer,40,Office of the City Treasurer,40
Civil Service,128307.0,24500.0,1304.0,0.0,0.0,0.0,0.0,2010,154111.0,,55,Civil Service Commission,55
Clerk of Quarter Sessions,4445754.0,19275.0,44538.0,0.0,0.0,0.0,0.0,2010,4509567.0,,64,Clerk of Quarter Sessions,64
Commerce,1431917.0,252592.0,11862.0,0.0,0.0,0.0,0.0,2010,1696371.0,Commerce,42,Office of the Director of Commerce,42
Commerce-Economic Stimulus,0.0,1452386.0,0.0,0.0,0.0,0.0,0.0,2010,1452386.0,,42ES,Commerce: Economic Stimulus,42
Community College Subsidy,0.0,0.0,0.0,26467924.0,0.0,0.0,0.0,2010,26467924.0,,35CC,Finance: Community College Subsidy,35
Convention Center Subsidy,0.0,0.0,0.0,0.0,0.0,24171817.0,0.0,2010,24171817.0,,42CC,Commerce: Convention Center Subsidy,42
Director of Finance,9559489.0,4273490.0,93398.0,1969035.0,0.0,0.0,0.0,2010,15895412.0,Finance,35,Office of the Director of Finance,35
District Attorney,29075731.0,881630.0,114158.0,0.0,0.0,0.0,0.0,2010,30071519.0,DAO,69,District Attorney's Office,69
Division of Technology,10540202.0,26273502.0,1707666.0,0.0,0.0,0.0,0.0,2010,38521370.0,OIT,04,Office of Innovation and Technology,04
Finance-Contribution  to School District,0.0,0.0,0.0,38540000.0,0.0,0.0,0.0,2010,38540000.0,,35SD,Finance: School District Contribution,35
Finance-Employee Benefits,829855069.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,829855069.0,,35EB,Finance: Employee Benefits,35
Finance-PGW Reimbursement,0.0,0.0,0.0,18000000.0,0.0,0.0,0.0,2010,18000000.0,,35PGW,Finance: PGW Reimbursement,35
Fire,169463842.0,6915300.0,6516662.0,0.0,0.0,5992000.0,0.0,2010,188887804.0,Fire,13,Fire Department,13
First Judicial District,81332197.0,23669831.0,2225041.0,0.0,0.0,0.0,0.0,2010,107227069.0,FJD,84,First Judicial District,84
Fleet Management,16666891.0,4640777.0,23293313.0,0.0,0.0,0.0,0.0,2010,44600981.0,Fleet,25,Office of Fleet Management,25
Fleet Management -Vehicle Lease/Purch.,0.0,0.0,2722425.0,0.0,0.0,0.0,0.0,2010,2722425.0,,25V,Fleet: Vehicle Lease/Purchases,25
Free Library,29099281.0,1512374.0,1869357.0,0.0,0.0,0.0,0.0,2010,32481012.0,Free Library,52,The Free Library of Philadelphia,52
Hero Scholarship Awards,0.0,0.0,0.0,42500.0,0.0,0.0,0.0,2010,42500.0,,35HA,Finance: Hero Scholarship Awards,35
Historical Commission,360053.0,20919.0,5852.0,0.0,0.0,0.0,0.0,2010,386824.0,,32,Historical Commission,32
Human Relations,1947511.0,26432.0,9477.0,0.0,0.0,0.0,0.0,2010,1983420.0,Human Relations,54,Commission on Human Relations,54
Human Services (1),94110383.0,465526642.0,1445049.0,0.0,0.0,0.0,0.0,2010,561082074.0,DHS,22,Department of Human Services,22
Indemnities,0.0,0.0,0.0,32718289.0,0.0,0.0,0.0,2010,32718289.0,,35IN,Finance: Indemnities,35
Labor Relations,509093.0,4606.0,9472.0,0.0,0.0,0.0,0.0,2010,523171.0,,03,Labor,03
Law,10065455.0,7595951.0,228570.0,0.0,0.0,0.0,0.0,2010,17889976.0,Law,44,Law Department,44
Legal Services,0.0,35941188.0,0.0,0.0,0.0,0.0,0.0,2010,35941188.0,,10LS,MDO: Legal Services,10
Licenses & Inspection,14202452.0,8227383.0,266979.0,0.0,0.0,0.0,0.0,2010,22696814.0,L&I,26,Department of Licenses and Inspections,26
Managing Director,12308160.0,3718407.0,444780.0,0.0,0.0,0.0,0.0,2010,16471347.0,MDO,10,Managing Director's Office,10
Mayor - Mural Arts Program,460634.0,512548.0,0.0,0.0,0.0,0.0,0.0,2010,973182.0,Mural Arts,50,Mural Arts Program,50
Mayor - Scholarships,0.0,0.0,0.0,193305.0,0.0,0.0,0.0,2010,193305.0,,05S,Mayor's Office: Scholarships,05
Mayor's Office,3146395.0,418143.0,33041.0,0.0,0.0,0.0,0.0,2010,3597579.0,Mayor,05,Mayor's Office,05
Mayor's Office of Transportation,482014.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,482014.0,,46,Mayor's Office of Transportation and Utilities,46
Office of Behavioral Health and  Intellectual Disability,1563276.0,12675594.0,0.0,0.0,0.0,0.0,0.0,2010,14238870.0,DBH/IDS,15,Behavioral Health and Intellectual Disability Services,15
Office of Human Resources,3313279.0,692524.0,41240.0,0.0,0.0,0.0,0.0,2010,4047043.0,OHR,56,Office of Human Resources,56
