full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,dept_code,abbreviation
3,223470,2687,2016,Actual,Full Year,Atwater Kent Museum,2016-06-30,Atwater Kent Museum,18,Atwater Kent
4,248440,3134,2017,Actual,Full Year,Atwater Kent Museum,2017-06-30,Atwater Kent Museum,18,Atwater Kent
4,256771,2413,2018,Actual,Full Year,Atwater Kent Museum,2018-06-30,Atwater Kent Museum,18,Atwater Kent
0,0,0,2019,Adopted Budget,Full Year,Atwater Kent Museum,2019-06-30,Atwater Kent Museum,18,Atwater Kent
0,0,0,2019,Target Budget,Full Year,Atwater Kent Museum,2019-06-30,Atwater Kent Museum,18,Atwater Kent
0,0,0,2019,Current Projection,Full Year,Atwater Kent Museum,2019-06-30,Atwater Kent Museum,18,Atwater Kent
137,7994175,66941,2016,Actual,Full Year,Auditing,2016-06-30,City Controller's Office,61,
127,8055899,13806,2017,Actual,Full Year,Auditing,2017-06-30,City Controller's Office,61,
116,8324348,88050,2018,Actual,Full Year,Auditing,2018-06-30,City Controller's Office,61,
134,8370558,50000,2019,Adopted Budget,Full Year,Auditing,2019-06-30,City Controller's Office,61,
134,8687295,80000,2019,Target Budget,Full Year,Auditing,2019-06-30,City Controller's Office,61,
124,8687295,73000,2019,Current Projection,Full Year,Auditing,2019-06-30,City Controller's Office,61,
10,862716,0,2016,Actual,Full Year,Board of Ethics,2016-06-30,Board of Ethics,45,
11,920605,0,2017,Actual,Full Year,Board of Ethics,2017-06-30,Board of Ethics,45,
10,942040,0,2018,Actual,Full Year,Board of Ethics,2018-06-30,Board of Ethics,45,
12,964792,0,2019,Adopted Budget,Full Year,Board of Ethics,2019-06-30,Board of Ethics,45,
12,988971,0,2019,Target Budget,Full Year,Board of Ethics,2019-06-30,Board of Ethics,45,
10,988971,0,2019,Current Projection,Full Year,Board of Ethics,2019-06-30,Board of Ethics,45,
14,890697,0,2016,Actual,Full Year,Board of Revision of Taxes,2016-06-30,Board of Revision of Taxes,63,BRT
13,898026,0,2017,Actual,Full Year,Board of Revision of Taxes,2017-06-30,Board of Revision of Taxes,63,BRT
11,904051,0,2018,Actual,Full Year,Board of Revision of Taxes,2018-06-30,Board of Revision of Taxes,63,BRT
15,945976,0,2019,Adopted Budget,Full Year,Board of Revision of Taxes,2019-06-30,Board of Revision of Taxes,63,BRT
16,1012795,0,2019,Target Budget,Full Year,Board of Revision of Taxes,2019-06-30,Board of Revision of Taxes,63,BRT
11,1012795,200,2019,Current Projection,Full Year,Board of Revision of Taxes,2019-06-30,Board of Revision of Taxes,63,BRT
92,5514242,1041102,2016,Actual,Full Year,City Commissioners,2016-06-30,City Commissioner's Office,73,City Commissioners
99,5960120,1140928,2017,Actual,Full Year,City Commissioners,2017-06-30,City Commissioner's Office,73,City Commissioners
100,5524532,803429,2018,Actual,Full Year,City Commissioners,2018-06-30,City Commissioner's Office,73,City Commissioners
105,5926203,780191,2019,Adopted Budget,Full Year,City Commissioners,2019-06-30,City Commissioner's Office,73,City Commissioners
105,6001999,993863,2019,Target Budget,Full Year,City Commissioners,2019-06-30,City Commissioner's Office,73,City Commissioners
94,6001999,1034000,2019,Current Projection,Full Year,City Commissioners,2019-06-30,City Commissioner's Office,73,City Commissioners
187,12842195,20234,2016,Actual,Full Year,City Council,2016-06-30,City Council,01,
194,13295341,35812,2017,Actual,Full Year,City Council,2017-06-30,City Council,01,
192,13909585,14624,2018,Actual,Full Year,City Council,2018-06-30,City Council,01,
195,14824858,0,2019,Adopted Budget,Full Year,City Council,2019-06-30,City Council,01,
195,14902138,5000,2019,Target Budget,Full Year,City Council,2019-06-30,City Council,01,
197,14902138,3000,2019,Current Projection,Full Year,City Council,2019-06-30,City Council,01,
31,2211557,0,2016,Actual,Full Year,City Planning Commission,2016-06-30,City Planning Commission,51,
30,2351776,7270,2017,Actual,Full Year,City Planning Commission,2017-06-30,City Planning Commission,51,
0,0,0,2018,Actual,Full Year,City Planning Commission,2018-06-30,City Planning Commission,51,
0,0,0,2019,Adopted Budget,Full Year,City Planning Commission,2019-06-30,City Planning Commission,51,
0,0,0,2019,Target Budget,Full Year,City Planning Commission,2019-06-30,City Planning Commission,51,
0,0,0,2019,Current Projection,Full Year,City Planning Commission,2019-06-30,City Planning Commission,51,
7,453196,7828,2016,Actual,Full Year,City Representative,2016-06-30,Office of the City Representative,41,City Rep
6,505031,4291,2017,Actual,Full Year,City Representative,2017-06-30,Office of the City Representative,41,City Rep
