full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,dept_code,abbreviation
2,180906,2530,2015,Actual,Full Year,Atwater Kent Museum,2015-06-30,Atwater Kent Museum,18,Atwater Kent
3,223470,2687,2016,Actual,Full Year,Atwater Kent Museum,2016-06-30,Atwater Kent Museum,18,Atwater Kent
4,248440,3134,2017,Actual,Full Year,Atwater Kent Museum,2017-06-30,Atwater Kent Museum,18,Atwater Kent
4,251897,0,2018,Adopted Budget,Full Year,Atwater Kent Museum,2018-06-30,Atwater Kent Museum,18,Atwater Kent
4,247148,2300,2018,Target Budget,Full Year,Atwater Kent Museum,2018-06-30,Atwater Kent Museum,18,Atwater Kent
4,247148,2300,2018,Current Projection,Full Year,Atwater Kent Museum,2018-06-30,Atwater Kent Museum,18,Atwater Kent
129,7599194,138581,2015,Actual,Full Year,Auditing,2015-06-30,City Controller's Office,61,
137,7994175,66941,2016,Actual,Full Year,Auditing,2016-06-30,City Controller's Office,61,
127,8055899,13807,2017,Actual,Full Year,Auditing,2017-06-30,City Controller's Office,61,
140,8426765,50000,2018,Adopted Budget,Full Year,Auditing,2018-06-30,City Controller's Office,61,
140,8173054,100000,2018,Target Budget,Full Year,Auditing,2018-06-30,City Controller's Office,61,
116,8173054,100000,2018,Current Projection,Full Year,Auditing,2018-06-30,City Controller's Office,61,
9,843844,0,2015,Actual,Full Year,Board of Ethics,2015-06-30,Board of Ethics,45,
10,862716,0,2016,Actual,Full Year,Board of Ethics,2016-06-30,Board of Ethics,45,
11,920605,0,2017,Actual,Full Year,Board of Ethics,2017-06-30,Board of Ethics,45,
12,985489,0,2018,Adopted Budget,Full Year,Board of Ethics,2018-06-30,Board of Ethics,45,
12,963764,0,2018,Target Budget,Full Year,Board of Ethics,2018-06-30,Board of Ethics,45,
10,963764,0,2018,Current Projection,Full Year,Board of Ethics,2018-06-30,Board of Ethics,45,
12,985057,0,2015,Actual,Full Year,Board of Revision of Taxes,2015-06-30,Board of Revision of Taxes,63,BRT
