full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,dept_code,abbreviation
4,256771,2413,2018,Actual,Full Year,Atwater Kent Museum,2018-06-30,Atwater Kent Museum,18,Atwater Kent
0,0,0,2019,Actual,Full Year,Atwater Kent Museum,2019-06-30,Atwater Kent Museum,18,Atwater Kent
0,0,0,2020,Actual,Full Year,Atwater Kent Museum,2020-06-30,Atwater Kent Museum,18,Atwater Kent
0,0,0,2021,Target Budget,YTD,Atwater Kent Museum,2020-09-30,Atwater Kent Museum,18,Atwater Kent
0,0,0,2021,Actual,YTD,Atwater Kent Museum,2020-09-30,Atwater Kent Museum,18,Atwater Kent
0,0,0,2021,Adopted Budget,Full Year,Atwater Kent Museum,2020-09-30,Atwater Kent Museum,18,Atwater Kent
0,0,0,2021,Target Budget,Full Year,Atwater Kent Museum,2020-09-30,Atwater Kent Museum,18,Atwater Kent
0,0,0,2021,Current Projection,Full Year,Atwater Kent Museum,2020-09-30,Atwater Kent Museum,18,Atwater Kent
116,8324348,88050,2018,Actual,Full Year,Auditing,2018-06-30,City Controller's Office,61,
124,8650965,73243,2019,Actual,Full Year,Auditing,2019-06-30,City Controller's Office,61,
121,9466389,60388,2020,Actual,Full Year,Auditing,2020-06-30,City Controller's Office,61,
119,2064751,20000,2021,Target Budget,YTD,Auditing,2020-09-30,City Controller's Office,61,
119,2064751,13237,2021,Actual,YTD,Auditing,2020-09-30,City Controller's Office,61,
135,9045839,80000,2021,Adopted Budget,Full Year,Auditing,2020-09-30,City Controller's Office,61,
135,9045839,80000,2021,Target Budget,Full Year,Auditing,2020-09-30,City Controller's Office,61,
135,9045839,80000,2021,Current Projection,Full Year,Auditing,2020-09-30,City Controller's Office,61,
10,942040,0,2018,Actual,Full Year,Board of Ethics,2018-06-30,Board of Ethics,45,
10,875033,0,2019,Actual,Full Year,Board of Ethics,2019-06-30,Board of Ethics,45,
7,922164,0,2020,Actual,Full Year,Board of Ethics,2020-06-30,Board of Ethics,45,
8,174560,0,2021,Target Budget,YTD,Board of Ethics,2020-09-30,Board of Ethics,45,
8,174560,0,2021,Actual,YTD,Board of Ethics,2020-09-30,Board of Ethics,45,
10,915196,0,2021,Adopted Budget,Full Year,Board of Ethics,2020-09-30,Board of Ethics,45,
10,915196,0,2021,Target Budget,Full Year,Board of Ethics,2020-09-30,Board of Ethics,45,
10,915196,0,2021,Current Projection,Full Year,Board of Ethics,2020-09-30,Board of Ethics,45,
11,904051,0,2018,Actual,Full Year,Board of Revision of Taxes,2018-06-30,Board of Revision of Taxes,63,BRT
11,928286,190,2019,Actual,Full Year,Board of Revision of Taxes,2019-06-30,Board of Revision of Taxes,63,BRT
14,1044789,1967,2020,Actual,Full Year,Board of Revision of Taxes,2020-06-30,Board of Revision of Taxes,63,BRT
15,220438,0,2021,Target Budget,YTD,Board of Revision of Taxes,2020-09-30,Board of Revision of Taxes,63,BRT
15,220438,0,2021,Actual,YTD,Board of Revision of Taxes,2020-09-30,Board of Revision of Taxes,63,BRT
16,987587,0,2021,Adopted Budget,Full Year,Board of Revision of Taxes,2020-09-30,Board of Revision of Taxes,63,BRT
16,987587,0,2021,Target Budget,Full Year,Board of Revision of Taxes,2020-09-30,Board of Revision of Taxes,63,BRT
