full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,dept_code,abbreviation
4,220143,1937,2013,Actual,Full Year,Atwater Kent Museum,2013-06-30,Atwater Kent Museum,18,Atwater Kent
3,227307,2333,2014,Actual,Full Year,Atwater Kent Museum,2014-06-30,Atwater Kent Museum,18,Atwater Kent
2,180906,2530,2015,Actual,Full Year,Atwater Kent Museum,2015-06-30,Atwater Kent Museum,18,Atwater Kent
4,243498,2843,2016,Adopted Budget,Full Year,Atwater Kent Museum,2016-06-30,Atwater Kent Museum,18,Atwater Kent
4,243498,2843,2016,Target Budget,Full Year,Atwater Kent Museum,2016-06-30,Atwater Kent Museum,18,Atwater Kent
3,243498,2687,2016,Current Projection,Full Year,Atwater Kent Museum,2016-06-30,Atwater Kent Museum,18,Atwater Kent
118,6475510,58829,2013,Actual,Full Year,Auditing,2013-06-30,City Controller's Office,61,
111,7070173,65036,2014,Actual,Full Year,Auditing,2014-06-30,City Controller's Office,61,
129,7599194,138581,2015,Actual,Full Year,Auditing,2015-06-30,City Controller's Office,61,
140,7772885,50000,2016,Adopted Budget,Full Year,Auditing,2016-06-30,City Controller's Office,61,
140,8192885,75000,2016,Target Budget,Full Year,Auditing,2016-06-30,City Controller's Office,61,
137,8192885,66941,2016,Current Projection,Full Year,Auditing,2016-06-30,City Controller's Office,61,
8,685698,0,2013,Actual,Full Year,Board of Ethics,2013-06-30,Board of Ethics,45,
9,741674,0,2014,Actual,Full Year,Board of Ethics,2014-06-30,Board of Ethics,45,
9,843844,0,2015,Actual,Full Year,Board of Ethics,2015-06-30,Board of Ethics,45,
12,956989,0,2016,Adopted Budget,Full Year,Board of Ethics,2016-06-30,Board of Ethics,45,
12,956989,0,2016,Target Budget,Full Year,Board of Ethics,2016-06-30,Board of Ethics,45,
10,956989,0,2016,Current Projection,Full Year,Board of Ethics,2016-06-30,Board of Ethics,45,
7,1021653,0,2013,Actual,Full Year,Board of Revision of Taxes,2013-06-30,Board of Revision of Taxes,63,BRT
11,1015351,0,2014,Actual,Full Year,Board of Revision of Taxes,2014-06-30,Board of Revision of Taxes,63,BRT
12,985057,0,2015,Actual,Full Year,Board of Revision of Taxes,2015-06-30,Board of Revision of Taxes,63,BRT
