full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,dept_code,abbreviation
3,227307,2333,2014,Actual,Full Year,Atwater Kent Museum,2014-06-30,Atwater Kent Museum,18,Atwater Kent
2,180906,2530,2015,Actual,Full Year,Atwater Kent Museum,2015-06-30,Atwater Kent Museum,18,Atwater Kent
3,223470,2687,2016,Actual,Full Year,Atwater Kent Museum,2016-06-30,Atwater Kent Museum,18,Atwater Kent
4,244817,2267,2017,Adopted Budget,Full Year,Atwater Kent Museum,2017-06-30,Atwater Kent Museum,18,Atwater Kent
4,248444,3267,2017,Target Budget,Full Year,Atwater Kent Museum,2017-06-30,Atwater Kent Museum,18,Atwater Kent
4,248444,3267,2017,Current Projection,Full Year,Atwater Kent Museum,2017-06-30,Atwater Kent Museum,18,Atwater Kent
111,7070173,65036,2014,Actual,Full Year,Auditing,2014-06-30,City Controller's Office,61,
129,7599194,138581,2015,Actual,Full Year,Auditing,2015-06-30,City Controller's Office,61,
137,7994175,66941,2016,Actual,Full Year,Auditing,2016-06-30,City Controller's Office,61,
140,8009512,50000,2017,Adopted Budget,Full Year,Auditing,2017-06-30,City Controller's Office,61,
135,8070097,20000,2017,Target Budget,Full Year,Auditing,2017-06-30,City Controller's Office,61,
127,8070097,13900,2017,Current Projection,Full Year,Auditing,2017-06-30,City Controller's Office,61,
9,741674,0,2014,Actual,Full Year,Board of Ethics,2014-06-30,Board of Ethics,45,
9,843844,0,2015,Actual,Full Year,Board of Ethics,2015-06-30,Board of Ethics,45,
10,862716,0,2016,Actual,Full Year,Board of Ethics,2016-06-30,Board of Ethics,45,
12,961403,0,2017,Adopted Budget,Full Year,Board of Ethics,2017-06-30,Board of Ethics,45,
12,972118,0,2017,Target Budget,Full Year,Board of Ethics,2017-06-30,Board of Ethics,45,
11,972118,0,2017,Current Projection,Full Year,Board of Ethics,2017-06-30,Board of Ethics,45,
11,1015351,0,2014,Actual,Full Year,Board of Revision of Taxes,2014-06-30,Board of Revision of Taxes,63,BRT
12,985057,0,2015,Actual,Full Year,Board of Revision of Taxes,2015-06-30,Board of Revision of Taxes,63,BRT
14,890697,0,2016,Actual,Full Year,Board of Revision of Taxes,2016-06-30,Board of Revision of Taxes,63,BRT
15,819627,0,2017,Adopted Budget,Full Year,Board of Revision of Taxes,2017-06-30,Board of Revision of Taxes,63,BRT
15,832785,0,2017,Target Budget,Full Year,Board of Revision of Taxes,2017-06-30,Board of Revision of Taxes,63,BRT
15,832785,0,2017,Current Projection,Full Year,Board of Revision of Taxes,2017-06-30,Board of Revision of Taxes,63,BRT
84,4822174,863984,2014,Actual,Full Year,City Commissioners,2014-06-30,City Commissioner's Office,73,City Commissioners
91,5192287,916270,2015,Actual,Full Year,City Commissioners,2015-06-30,City Commissioner's Office,73,City Commissioners
92,5514242,1041102,2016,Actual,Full Year,City Commissioners,2016-06-30,City Commissioner's Office,73,City Commissioners
104,5638818,345806,2017,Adopted Budget,Full Year,City Commissioners,2017-06-30,City Commissioner's Office,73,City Commissioners
104,5793295,1145806,2017,Target Budget,Full Year,City Commissioners,2017-06-30,City Commissioner's Office,73,City Commissioners
94,5793295,1145806,2017,Current Projection,Full Year,City Commissioners,2017-06-30,City Commissioner's Office,73,City Commissioners
169,11997588,886,2014,Actual,Full Year,City Council,2014-06-30,City Council,01,
176,12339907,10351,2015,Actual,Full Year,City Council,2015-06-30,City Council,01,
187,12842195,20234,2016,Actual,Full Year,City Council,2016-06-30,City Council,01,
195,14309858,0,2017,Adopted Budget,Full Year,City Council,2017-06-30,City Council,01,
195,14469130,20000,2017,Target Budget,Full Year,City Council,2017-06-30,City Council,01,
186,14469130,36000,2017,Current Projection,Full Year,City Council,2017-06-30,City Council,01,
30,2192556,150,2014,Actual,Full Year,City Planning Commission,2014-06-30,City Planning Commission,51,
29,2176554,1055,2015,Actual,Full Year,City Planning Commission,2015-06-30,City Planning Commission,51,
31,2211557,0,2016,Actual,Full Year,City Planning Commission,2016-06-30,City Planning Commission,51,
32,2369484,0,2017,Adopted Budget,Full Year,City Planning Commission,2017-06-30,City Planning Commission,51,
32,2370957,5000,2017,Target Budget,Full Year,City Planning Commission,2017-06-30,City Planning Commission,51,
30,2370957,7300,2017,Current Projection,Full Year,City Planning Commission,2017-06-30,City Planning Commission,51,
7,400499,2953,2014,Actual,Full Year,City Representative,2014-06-30,Office of the City Representative,41,City Rep
6,417223,8737,2015,Actual,Full Year,City Representative,2015-06-30,Office of the City Representative,41,City Rep
7,453196,7828,2016,Actual,Full Year,City Representative,2016-06-30,Office of the City Representative,41,City Rep
8,589381,0,2017,Adopted Budget,Full Year,City Representative,2017-06-30,Office of the City Representative,41,City Rep
8,595176,5000,2017,Target Budget,Full Year,City Representative,2017-06-30,Office of the City Representative,41,City Rep
6,595176,4300,2017,Current Projection,Full Year,City Representative,2017-06-30,Office of the City Representative,41,City Rep
14,785368,0,2014,Actual,Full Year,City Treasurer,2014-06-30,Office of the City Treasurer,40,City Treasurer
